i,suite,case,CRYSTAL_THRESH,BLOCK_SIZE,NO_SET,SIZE,CHUNK,NO_FRUNCATE,FILE_COUNT,SIM_TIME,SKIP_WARMUP,SIM_SIZE,DISK_SIZE,SEED,DISK_GEOMETRY,FILE_SIZE,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
26,bench_p26_wt,bench_p26_wt_random,-1,131072,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,41500352,0,0,0,0,0,0,3312,41.142116
26,bench_p26_wt,bench_p26_wt_random,-1,131072,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,41500352,0,0,0,0,0,0,608,41.142171
26,bench_p26_wt,bench_p26_wt_random,-1,131072,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,41500352,0,0,0,0,0,0,1296,41.142218
26,bench_p26_wt,bench_p26_wt_random,-1,131072,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,41500352,0,0,0,0,0,0,8126464,41.142263
27,bench_p26_wt,bench_p26_wt_random,-1,262144,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,43121088,112948388,2840286,11142,3426353133,1454226432,1460404224,3600119157399,42.521662
27,bench_p26_wt,bench_p26_wt_random,-1,262144,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,43121088,0,0,0,0,0,0,3312,42.521766
27,bench_p26_wt,bench_p26_wt_random,-1,262144,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,43121088,0,0,0,0,0,0,608,42.521820
27,bench_p26_wt,bench_p26_wt_random,-1,262144,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,43121088,0,0,0,0,0,0,1296,42.521868
27,bench_p26_wt,bench_p26_wt_random,-1,262144,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,43121088,0,0,0,0,0,0,8912896,42.521913
21,bench_p26_wt,bench_p26_wt_random,-1,4096,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,10948800,132249051,1141003,157401,2319093322,584193536,644714496,3600072290686,44.574938
21,bench_p26_wt,bench_p26_wt_random,-1,4096,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,10948800,0,0,0,0,0,0,3248,44.575044
21,bench_p26_wt,bench_p26_wt_random,-1,4096,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,10948800,0,0,0,0,0,0,608,44.575098
21,bench_p26_wt,bench_p26_wt_random,-1,4096,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,10948800,0,0,0,0,0,0,1296,44.575147
21,bench_p26_wt,bench_p26_wt_random,-1,4096,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,10948800,0,0,0,0,0,0,7745536,44.575200
22,bench_p26_wt,bench_p26_wt_random,-1,8192,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,16363392,128172990,1494806,98057,2629124628,765340672,803282944,3600009735036,49.481099
22,bench_p26_wt,bench_p26_wt_random,-1,8192,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,16363392,0,0,0,0,0,0,3312,49.481203
22,bench_p26_wt,bench_p26_wt_random,-1,8192,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,16363392,0,0,0,0,0,0,608,49.481257
22,bench_p26_wt,bench_p26_wt_random,-1,8192,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,16363392,0,0,0,0,0,0,1296,49.481304
22,bench_p26_wt,bench_p26_wt_random,-1,8192,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,16363392,0,0,0,0,0,0,6856704,49.481348
23,bench_p26_wt,bench_p26_wt_random,-1,16384,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,16108672,128792876,1438613,46113,2634038502,736569856,755515392,3600034099986,50.028402
23,bench_p26_wt,bench_p26_wt_random,-1,16384,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,16108672,0,0,0,0,0,0,3312,50.028507
23,bench_p26_wt,bench_p26_wt_random,-1,16384,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,16108672,0,0,0,0,0,0,608,50.028558
23,bench_p26_wt,bench_p26_wt_random,-1,16384,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,16108672,0,0,0,0,0,0,1296,50.028603
23,bench_p26_wt,bench_p26_wt_random,-1,16384,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,16108672,0,0,0,0,0,0,6815744,50.028644
24,bench_p26_wt,bench_p26_wt_random,-1,32768,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,26044864,125237886,1758945,27795,2731717359,900579840,910786560,3600004693437,50.557788
24,bench_p26_wt,bench_p26_wt_random,-1,32768,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,26044864,0,0,0,0,0,0,3312,50.557884
24,bench_p26_wt,bench_p26_wt_random,-1,32768,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,26044864,0,0,0,0,0,0,608,50.557931
24,bench_p26_wt,bench_p26_wt_random,-1,32768,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,26044864,0,0,0,0,0,0,1296,50.557972
24,bench_p26_wt,bench_p26_wt_random,-1,32768,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,26044864,0,0,0,0,0,0,7045120,50.558012
25,bench_p26_wt,bench_p26_wt_random,-1,65536,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,37129856,117210054,2464445,19402,3193420459,1261795840,1271529472,3600032708785,53.571596
25,bench_p26_wt,bench_p26_wt_random,-1,65536,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,37129856,0,0,0,0,0,0,3312,53.571691
25,bench_p26_wt,bench_p26_wt_random,-1,65536,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,37129856,0,0,0,0,0,0,608,53.571732
25,bench_p26_wt,bench_p26_wt_random,-1,65536,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,37129856,0,0,0,0,0,0,1296,53.571766
25,bench_p26_wt,bench_p26_wt_random,-1,65536,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,37129856,0,0,0,0,0,0,7405568,53.571797
28,bench_p26_wt,bench_p26_wt_random,-1,524288,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,45158336,112317691,2896174,11344,3451714372,1482841088,1486880768,3600005790220,56.949332
28,bench_p26_wt,bench_p26_wt_random,-1,524288,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,45158336,0,0,0,0,0,0,3312,56.949410
28,bench_p26_wt,bench_p26_wt_random,-1,524288,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,45158336,0,0,0,0,0,0,608,56.949446
28,bench_p26_wt,bench_p26_wt_random,-1,524288,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,45158336,0,0,0,0,0,0,1296,56.949475
28,bench_p26_wt,bench_p26_wt_random,-1,524288,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,45158336,0,0,0,0,0,0,11010048,56.949502
29,bench_p26_wt,bench_p26_wt_random,-1,1048576,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,44528576,112498782,2880985,11288,3430857598,1475064320,1479540736,3600007082074,57.072364
29,bench_p26_wt,bench_p26_wt_random,-1,1048576,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,44528576,0,0,0,0,0,0,3328,57.072429
29,bench_p26_wt,bench_p26_wt_random,-1,1048576,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,44528576,0,0,0,0,0,0,608,57.072461
29,bench_p26_wt,bench_p26_wt_random,-1,1048576,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,44528576,0,0,0,0,0,0,1296,57.072488
29,bench_p26_wt,bench_p26_wt_random,-1,1048576,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,44528576,0,0,0,0,0,0,13631488,57.072512
30,bench_p26_wt,bench_p26_wt_many,-1,4096,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,29705728,136837650,669904,96774,3012443093,342990848,396386304,3600000659663,53.393048
30,bench_p26_wt,bench_p26_wt_many,-1,4096,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,29705728,0,0,0,0,0,0,3488,53.393173
30,bench_p26_wt,bench_p26_wt_many,-1,4096,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,29705728,0,0,0,0,0,0,848,53.393233
30,bench_p26_wt,bench_p26_wt_many,-1,4096,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,29705728,0,0,0,0,0,0,1296,53.393285
30,bench_p26_wt,bench_p26_wt_many,-1,4096,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,29705728,0,0,0,0,0,0,32718848,53.393333
31,bench_p26_wt,bench_p26_wt_many,-1,8192,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,28458240,136556736,633385,42874,3910454934,324293120,351223808,3600001956642,65.821223
31,bench_p26_wt,bench_p26_wt_many,-1,8192,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,28458240,0,0,0,0,0,0,3552,65.821344
31,bench_p26_wt,bench_p26_wt_many,-1,8192,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,28458240,0,0,0,0,0,0,848,65.821404
31,bench_p26_wt,bench_p26_wt_many,-1,8192,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,28458240,0,0,0,0,0,0,1296,65.821456
31,bench_p26_wt,bench_p26_wt_many,-1,8192,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,28458240,0,0,0,0,0,0,32440320,65.821504
32,bench_p26_wt,bench_p26_wt_many,-1,16384,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,27023552,135954917,580502,19081,5442003492,297217024,312623104,3600004484268,89.228452
32,bench_p26_wt,bench_p26_wt_many,-1,16384,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,27023552,0,0,0,0,0,0,3552,89.228566
32,bench_p26_wt,bench_p26_wt_many,-1,16384,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,27023552,0,0,0,0,0,0,848,89.228635
32,bench_p26_wt,bench_p26_wt_many,-1,16384,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,27023552,0,0,0,0,0,0,1296,89.228685
32,bench_p26_wt,bench_p26_wt_many,-1,16384,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,27023552,0,0,0,0,0,0,32325632,89.228733
34,bench_p26_wt,bench_p26_wt_many,-1,65536,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,18422656,133781695,385293,3130,11013915366,197270016,205127680,3600176141586,99.071830
34,bench_p26_wt,bench_p26_wt_many,-1,65536,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,18422656,0,0,0,0,0,0,3552,99.071942
34,bench_p26_wt,bench_p26_wt_many,-1,65536,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,18422656,0,0,0,0,0,0,848,99.072001
34,bench_p26_wt,bench_p26_wt_many,-1,65536,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,18422656,0,0,0,0,0,0,1296,99.072052
34,bench_p26_wt,bench_p26_wt_many,-1,65536,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,18422656,0,0,0,0,0,0,34078720,99.072101
