i,suite,case,FILE_COUNT,SEED,SIZE,NO_SET,FS,DISK_SIZE,BLOCK_SIZE,DISK_GEOMETRY,SKIP_WARMUP,SIM_SIZE,CHUNK,FILE_SIZE,SIM_TIME,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
28,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,524288,0,0,0,64,64,3600000000000,0,usage,1482624,0,0,0,0,0,0,6815744,5.436870
27,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,262144,0,0,0,64,64,3600000000000,0,write,2206656,260719915,1395698,67392,260719915,188581132,276037632,3605019112604,6.242579
27,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,262144,0,0,0,64,64,3600000000000,0,stack,2206656,0,0,0,0,0,0,3280,6.242685
27,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,262144,0,0,0,64,64,3600000000000,0,ctx,2206656,0,0,0,0,0,0,608,6.242789
27,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,262144,0,0,0,64,64,3600000000000,0,heap,2206656,0,0,0,0,0,0,784,6.242839
27,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,262144,0,0,0,64,64,3600000000000,0,usage,2206656,0,0,0,0,0,0,4456448,6.242884
26,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,131072,0,0,0,64,64,3600000000000,0,write,2860480,368889785,1647188,64960,368889785,212586221,266076160,3600993463423,6.943334
26,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,131072,0,0,0,64,64,3600000000000,0,stack,2860480,0,0,0,0,0,0,3248,6.943419
26,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,131072,0,0,0,64,64,3600000000000,0,ctx,2860480,0,0,0,0,0,0,608,6.943453
26,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,131072,0,0,0,64,64,3600000000000,0,heap,2860480,0,0,0,0,0,0,784,6.943481
26,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,131072,0,0,0,64,64,3600000000000,0,usage,2860480,0,0,0,0,0,0,5767168,6.943507
22,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,8192,0,0,0,64,64,3600000000000,0,write,6621696,710336913,1754680,63678,710336913,224610735,260825088,3600202096293,7.887140
