i,suite,case,FS,FILE_SIZE,SKIP_WARMUP,PROG_SIZE,NO_FRUNCATE,DISK_SIZE,CHUNK,SIM_TIME,SIM_SIZE,FILE_COUNT,SIZE,NO_SET,DISK_GEOMETRY,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
29,bench_p26_wt,bench_p26_wt_random,32,64,0,16,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,14514368,0,0,0,0,0,0,3248,36.123799
29,bench_p26_wt,bench_p26_wt_random,32,64,0,16,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,14514368,0,0,0,0,0,0,608,36.123852
29,bench_p26_wt,bench_p26_wt_random,32,64,0,16,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,14514368,0,0,0,0,0,0,784,36.123898
29,bench_p26_wt,bench_p26_wt_random,32,64,0,16,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,14514368,0,0,0,0,0,0,5898240,36.123943
27,bench_p26_wt,bench_p26_wt_random,32,64,0,4,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,14676544,86929325,5538787,10537,1995556160,1127459128,1381105664,3600328131304,36.535805
27,bench_p26_wt,bench_p26_wt_random,32,64,0,4,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,14676544,0,0,0,0,0,0,3248,36.535903
27,bench_p26_wt,bench_p26_wt_random,32,64,0,4,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,14676544,0,0,0,0,0,0,608,36.535952
27,bench_p26_wt,bench_p26_wt_random,32,64,0,4,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,14676544,0,0,0,0,0,0,784,36.536002
27,bench_p26_wt,bench_p26_wt_random,32,64,0,4,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,14676544,0,0,0,0,0,0,5767168,36.536045
31,bench_p26_wt,bench_p26_wt_random,32,64,0,64,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,14213120,89097537,5316703,10626,2072578056,1148140864,1392771072,3600156439640,36.936349
31,bench_p26_wt,bench_p26_wt_random,32,64,0,64,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,14213120,0,0,0,0,0,0,3200,36.936447
31,bench_p26_wt,bench_p26_wt_random,32,64,0,64,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,14213120,0,0,0,0,0,0,608,36.936498
31,bench_p26_wt,bench_p26_wt_random,32,64,0,64,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,14213120,0,0,0,0,0,0,784,36.936561
31,bench_p26_wt,bench_p26_wt_random,32,64,0,64,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,14213120,0,0,0,0,0,0,5767168,36.936608
32,bench_p26_wt,bench_p26_wt_random,32,64,0,128,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,13177664,93251685,4905568,10368,2161516187,1128477312,1358954496,3600333202689,37.068558
