i,suite,case,FILE_COUNT,DISK_GEOMETRY,SIM_TIME,SEED,NO_SET,NO_FRUNCATE,SIM_SIZE,SKIP_WARMUP,SIZE,CHUNK,FILE_SIZE,BLOCK_SIZE,DISK_SIZE,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
29,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,ctx,22199488,0,0,0,0,0,0,608,41.010109
29,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,heap,22199488,0,0,0,0,0,0,1296,41.010134
29,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,usage,22199488,0,0,0,0,0,0,19922944,41.010159
32,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,write,27018112,135933719,582494,19149,5441108845,298236928,313737216,3600000326935,44.147052
32,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,stack,27018112,0,0,0,0,0,0,3248,44.147163
32,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,ctx,27018112,0,0,0,0,0,0,848,44.147220
32,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,heap,27018112,0,0,0,0,0,0,1296,44.147274
32,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,usage,27018112,0,0,0,0,0,0,32473088,44.147330
30,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,4096,134217728,3,write,29390848,136868216,667923,96413,3002000096,341976576,394907648,3600017016992,45.575775
30,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,4096,134217728,3,stack,29390848,0,0,0,0,0,0,3248,45.575890
30,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,4096,134217728,3,ctx,29390848,0,0,0,0,0,0,848,45.575950
30,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,4096,134217728,3,heap,29390848,0,0,0,0,0,0,1296,45.576007
30,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,4096,134217728,3,usage,29390848,0,0,0,0,0,0,32591872,45.576053
31,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,write,28604224,136535349,634499,42956,3922447919,324863488,351895552,3600003469181,51.917713
