i,suite,case,SEED,NO_FRUNCATE,DISK_SIZE,SIM_TIME,CRYSTAL_THRESH,FS,FILE_SIZE,SIZE,CHUNK,SIM_SIZE,SKIP_WARMUP,FILE_COUNT,NO_SET,DISK_GEOMETRY,READ_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2,ctx,46515520,0,0,0,0,0,0,624,33.043085
13,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2,heap,46515520,0,0,0,0,0,0,784,33.043113
13,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2,usage,46515520,0,0,0,0,0,0,1159168,33.043139
24,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4096,write,43573312,6649323520,1389427,61663,6649323520,189821265,252571648,3600280316419,11.024731
24,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4096,stack,43573312,0,0,0,0,0,0,3328,11.024801
24,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4096,ctx,43573312,0,0,0,0,0,0,624,11.024832
24,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4096,heap,43573312,0,0,0,0,0,0,8464,11.024859
24,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4096,usage,43573312,0,0,0,0,0,0,4218880,11.024882
36,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2048,write,12294208,22806151168,1614103,45304,22806151168,175499189,185565184,3600047447919,30.415460
36,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2048,stack,12294208,0,0,0,0,0,0,3312,30.415616
36,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2048,ctx,12294208,0,0,0,0,0,0,608,30.415679
36,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2048,heap,12294208,0,0,0,0,0,0,4368,30.415731
36,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2048,usage,12294208,0,0,0,0,0,0,7761920,30.415782
35,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1024,write,13081792,18181152768,1723324,48438,18181152768,187796206,198402048,3600009323434,32.352016
35,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1024,stack,13081792,0,0,0,0,0,0,3312,32.352125
35,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1024,ctx,13081792,0,0,0,0,0,0,608,32.352184
35,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1024,heap,13081792,0,0,0,0,0,0,2320,32.352235
35,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1024,usage,13081792,0,0,0,0,0,0,7782400,32.352284
34,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,512,write,13926080,13164399616,1843427,51826,13164399616,201071418,212279296,3600103446094,33.625180
34,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,512,stack,13926080,0,0,0,0,0,0,3312,33.625304
34,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,512,ctx,13926080,0,0,0,0,0,0,608,33.625376
34,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,512,heap,13926080,0,0,0,0,0,0,1296,33.625429
34,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,512,usage,13926080,0,0,0,0,0,0,7778304,33.625479
31,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,64,write,15584832,3274416512,2075995,58538,3274416512,227312012,239771648,3600090640996,34.551962
31,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,64,stack,15584832,0,0,0,0,0,0,3312,34.552066
31,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,64,ctx,15584832,0,0,0,0,0,0,608,34.552121
31,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,64,heap,15584832,0,0,0,0,0,0,784,34.552170
31,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,64,usage,15584832,0,0,0,0,0,0,7745536,34.552216
32,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,128,write,15275840,5203256192,2027955,57252,5203256192,222304437,234504192,3600058663535,35.626280
32,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,128,stack,15275840,0,0,0,0,0,0,3312,35.626386
32,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,128,ctx,15275840,0,0,0,0,0,0,608,35.626442
32,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,128,heap,15275840,0,0,0,0,0,0,784,35.626492
32,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,128,usage,15275840,0,0,0,0,0,0,7737344,35.626539
25,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1,write,15950080,1036906950,2132387,60023,1036906950,233118552,245854208,3600087605112,35.993093
25,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1,stack,15950080,0,0,0,0,0,0,3312,35.993196
25,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1,ctx,15950080,0,0,0,0,0,0,608,35.993249
25,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1,heap,15950080,0,0,0,0,0,0,784,35.993305
25,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1,usage,15950080,0,0,0,0,0,0,7729152,35.993350
33,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,256,write,14691776,8618481152,1948685,54925,8618481152,213138194,224972800,3600063484246,36.374949
33,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,256,stack,14691776,0,0,0,0,0,0,3312,36.375054
33,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,256,ctx,14691776,0,0,0,0,0,0,608,36.375108
33,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,256,heap,14691776,0,0,0,0,0,0,784,36.375156
33,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,256,usage,14691776,0,0,0,0,0,0,7700480,36.375201
30,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,32,write,15764416,2168064384,2104037,59271,2168064384,230169302,242774016,3600095248610,36.876512
30,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,32,stack,15764416,0,0,0,0,0,0,3312,36.876615
30,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,32,ctx,15764416,0,0,0,0,0,0,608,36.876664
30,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,32,heap,15764416,0,0,0,0,0,0,784,36.876711
30,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,32,usage,15764416,0,0,0,0,0,0,7696384,36.876774
29,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,16,write,15858240,1593992144,2117959,59655,1593992144,231666317,244346880,3600010868215,37.562784
29,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,16,stack,15858240,0,0,0,0,0,0,3312,37.562873
29,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,16,ctx,15858240,0,0,0,0,0,0,608,37.562915
29,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,16,heap,15858240,0,0,0,0,0,0,784,37.562950
29,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,16,usage,15858240,0,0,0,0,0,0,7708672,37.562984
28,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,8,write,15900608,1351010568,2124547,59814,1351010568,232319886,244998144,3600094852554,40.194637
28,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,8,stack,15900608,0,0,0,0,0,0,3312,40.194726
28,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,8,ctx,15900608,0,0,0,0,0,0,608,40.194767
28,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,8,heap,15900608,0,0,0,0,0,0,784,40.194801
28,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,8,usage,15900608,0,0,0,0,0,0,7708672,40.194833
27,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4,write,15926336,1183279364,2128737,59924,1183279364,232748364,245448704,3600020133956,41.203882
27,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4,stack,15926336,0,0,0,0,0,0,3312,41.203964
27,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4,ctx,15926336,0,0,0,0,0,0,608,41.204003
27,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4,heap,15926336,0,0,0,0,0,0,784,41.204036
27,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4,usage,15926336,0,0,0,0,0,0,7704576,41.204065
26,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2,write,15936192,1114204158,2130241,59972,1114204158,232908291,245645312,3600021892329,42.512495
26,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2,stack,15936192,0,0,0,0,0,0,3312,42.512571
26,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2,ctx,15936192,0,0,0,0,0,0,608,42.512606
26,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2,heap,15936192,0,0,0,0,0,0,784,42.512634
26,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2,usage,15936192,0,0,0,0,0,0,7720960,42.512660
37,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4096,write,12803776,19836289024,1685068,47311,19836289024,183429341,193785856,3600111021159,13.243133
37,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4096,stack,12803776,0,0,0,0,0,0,3312,13.243222
37,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4096,ctx,12803776,0,0,0,0,0,0,608,13.243255
37,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4096,heap,12803776,0,0,0,0,0,0,8464,13.243284
37,bench_p26_wt,bench_p26_wt_random,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4096,usage,12803776,0,0,0,0,0,0,7757824,13.243313
49,bench_p26_wt,bench_p26_wt_many,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2048,write,32436800,45104197632,991665,31041,45104197632,117717587,127143936,3600000753449,55.084693
49,bench_p26_wt,bench_p26_wt_many,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2048,stack,32436800,0,0,0,0,0,0,3552,55.084812
