i,suite,case,SKIP_WARMUP,CHUNK,NO_SET,DISK_GEOMETRY,FILE_SIZE,SEED,FS,PROG_SIZE,FILE_COUNT,DISK_SIZE,NO_FRUNCATE,SIZE,SIM_TIME,CRYSTAL_THRESH,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
22,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,1024,32768,134217728,0,2097152,3600000000000,-1,0,write,10792000,729515483,863576,71583,729515483,221075456,293203968,3600060783160,56.908679
22,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,1024,32768,134217728,0,2097152,3600000000000,-1,0,stack,10792000,0,0,0,0,0,0,3344,56.908779
22,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,1024,32768,134217728,0,2097152,3600000000000,-1,0,ctx,10792000,0,0,0,0,0,0,624,56.908819
22,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,1024,32768,134217728,0,2097152,3600000000000,-1,0,heap,10792000,0,0,0,0,0,0,2320,56.908853
22,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,1024,32768,134217728,0,2097152,3600000000000,-1,0,usage,10792000,0,0,0,0,0,0,1478656,56.908883
23,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,2048,32768,134217728,0,2097152,3600000000000,-1,0,write,4577344,744375296,723240,72853,744375296,185149440,298405888,3600968511488,66.374424
23,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,2048,32768,134217728,0,2097152,3600000000000,-1,0,stack,4577344,0,0,0,0,0,0,3344,66.374524
23,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,2048,32768,134217728,0,2097152,3600000000000,-1,0,ctx,4577344,0,0,0,0,0,0,624,66.374567
23,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,2048,32768,134217728,0,2097152,3600000000000,-1,0,heap,4577344,0,0,0,0,0,0,4368,66.374603
23,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,2048,32768,134217728,0,2097152,3600000000000,-1,0,usage,4577344,0,0,0,0,0,0,2236416,66.374638
24,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,4096,32768,134217728,0,2097152,3600000000000,-1,0,write,4354112,536124124,1222384,76399,536124124,312930304,312930304,3954353025632,43.610221
24,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,4096,32768,134217728,0,2097152,3600000000000,-1,0,stack,4354112,0,0,0,0,0,0,3344,43.610296
24,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,4096,32768,134217728,0,2097152,3600000000000,-1,0,ctx,4354112,0,0,0,0,0,0,624,43.610328
24,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,4096,32768,134217728,0,2097152,3600000000000,-1,0,heap,4354112,0,0,0,0,0,0,8464,43.610353
24,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,4096,32768,134217728,0,2097152,3600000000000,-1,0,usage,4354112,0,0,0,0,0,0,917504,43.610376
27,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,4,32768,134217728,0,2097152,3600000000000,-1,0,write,15955264,1045852831,2075599,60519,1045852831,235236136,247885824,3600082538960,36.671698
27,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,4,32768,134217728,0,2097152,3600000000000,-1,0,stack,15955264,0,0,0,0,0,0,3312,36.671825
27,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,4,32768,134217728,0,2097152,3600000000000,-1,0,ctx,15955264,0,0,0,0,0,0,608,36.671884
27,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,4,32768,134217728,0,2097152,3600000000000,-1,0,heap,15955264,0,0,0,0,0,0,784,36.671933
27,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,4,32768,134217728,0,2097152,3600000000000,-1,0,usage,15955264,0,0,0,0,0,0,7708672,36.671983
26,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,2,32768,134217728,0,2097152,3600000000000,-1,0,write,15887488,1032490487,2134575,60007,1032490487,233106124,245788672,3600066212028,36.798744
26,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,2,32768,134217728,0,2097152,3600000000000,-1,0,stack,15887488,0,0,0,0,0,0,3312,36.798846
26,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,2,32768,134217728,0,2097152,3600000000000,-1,0,ctx,15887488,0,0,0,0,0,0,608,36.798902
26,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,2,32768,134217728,0,2097152,3600000000000,-1,0,heap,15887488,0,0,0,0,0,0,784,36.798950
26,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,2,32768,134217728,0,2097152,3600000000000,-1,0,usage,15887488,0,0,0,0,0,0,7741440,36.798998
28,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,8,32768,134217728,0,2097152,3600000000000,-1,0,write,15757696,1038926327,2077395,60509,1038926327,235065080,247844864,3600070872064,37.022758
28,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,8,32768,134217728,0,2097152,3600000000000,-1,0,stack,15757696,0,0,0,0,0,0,3312,37.022858
28,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,8,32768,134217728,0,2097152,3600000000000,-1,0,ctx,15757696,0,0,0,0,0,0,608,37.022913
28,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,8,32768,134217728,0,2097152,3600000000000,-1,0,heap,15757696,0,0,0,0,0,0,784,37.022977
28,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,8,32768,134217728,0,2097152,3600000000000,-1,0,usage,15757696,0,0,0,0,0,0,7778304,37.023025
25,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,1,32768,134217728,0,2097152,3600000000000,-1,0,write,15950080,1036906950,2132387,60023,1036906950,233118552,245854208,3600087605112,37.111950
25,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,1,32768,134217728,0,2097152,3600000000000,-1,0,stack,15950080,0,0,0,0,0,0,3312,37.112052
25,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,1,32768,134217728,0,2097152,3600000000000,-1,0,ctx,15950080,0,0,0,0,0,0,608,37.112108
