i,suite,case,FS,FILE_SIZE,NO_FRUNCATE,SKIP_WARMUP,CHUNK,SIM_SIZE,SIM_TIME,READ_SIZE,DISK_GEOMETRY,NO_SET,FILE_COUNT,SEED,DISK_SIZE,SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
36,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,2048,1,0,32768,42,134217728,2097152,heap,12891392,0,0,0,0,0,0,4624,44.742314
36,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,2048,1,0,32768,42,134217728,2097152,usage,12891392,0,0,0,0,0,0,5373952,44.742359
25,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,1,1,0,32768,42,134217728,2097152,write,13076096,111871247,2948980,13361,3107402239,1509877760,1751252992,3600165228013,45.889334
25,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,1,1,0,32768,42,134217728,2097152,stack,13076096,0,0,0,0,0,0,3120,45.889441
25,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,1,1,0,32768,42,134217728,2097152,ctx,13076096,0,0,0,0,0,0,608,45.889498
25,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,1,1,0,32768,42,134217728,2097152,heap,13076096,0,0,0,0,0,0,1296,45.889548
25,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,1,1,0,32768,42,134217728,2097152,usage,13076096,0,0,0,0,0,0,5373952,45.889596
35,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,1024,1,0,32768,42,134217728,2097152,write,15673216,60179582,3539926,16029,61623891968,1812442112,2100953088,3600249801728,47.665955
35,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,1024,1,0,32768,42,134217728,2097152,stack,15673216,0,0,0,0,0,0,3072,47.666067
35,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,1024,1,0,32768,42,134217728,2097152,ctx,15673216,0,0,0,0,0,0,608,47.666124
35,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,1024,1,0,32768,42,134217728,2097152,heap,15673216,0,0,0,0,0,0,2576,47.666173
