i,suite,case,FS,SEED,SKIP_WARMUP,NO_SET,SIZE,CHUNK,SIM_SIZE,DISK_SIZE,BLOCK_SIZE,NO_FRUNCATE,FILE_SIZE,SIM_TIME,DISK_GEOMETRY,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,usage,258715968,0,0,0,0,0,0,823296,7.262295
13,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,write,251314496,130547658,1259361,68572,130547658,277667939,280870912,3600051034601,7.570353
13,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,stack,251314496,0,0,0,0,0,0,3264,7.570425
13,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,ctx,251314496,0,0,0,0,0,0,624,7.570462
13,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,heap,251314496,0,0,0,0,0,0,784,7.570491
13,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,usage,251314496,0,0,0,0,0,0,1826816,7.570518
29,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,write,885760,112719720,661160,74240,112719720,93463119,304087040,3611533437981,2.611151
29,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,stack,885760,0,0,0,0,0,0,3312,2.611253
29,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,ctx,885760,0,0,0,0,0,0,608,2.611300
29,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,heap,885760,0,0,0,0,0,0,784,2.611341
29,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,usage,885760,0,0,0,0,0,0,8388608,2.611381
25,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,write,3617408,423093199,1749817,64016,423093199,221706529,262209536,3601920891083,5.341712
25,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,stack,3617408,0,0,0,0,0,0,3248,5.341816
25,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,ctx,3617408,0,0,0,0,0,0,608,5.341882
25,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,heap,3617408,0,0,0,0,0,0,784,5.341929
25,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,usage,3617408,0,0,0,0,0,0,4849664,5.341972
