i,suite,case,NO_SET,READ_SIZE,CHUNK,SIZE,CRYSTAL_THRESH,SEED,DISK_SIZE,SIM_TIME,DISK_GEOMETRY,FILE_COUNT,NO_FRUNCATE,FS,SKIP_WARMUP,FILE_SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
22,bench_p26_wt,bench_p26_wt_linear,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,584382528,0,0,0,0,0,0,3328,81.261265
22,bench_p26_wt,bench_p26_wt_linear,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,584382528,0,0,0,0,0,0,624,81.261307
22,bench_p26_wt,bench_p26_wt_linear,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,584382528,0,0,0,0,0,0,2576,81.261349
22,bench_p26_wt,bench_p26_wt_linear,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,584382528,0,0,0,0,0,0,4849664,81.261383
20,bench_p26_wt,bench_p26_wt_linear,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,609332800,67733372,5942329,32268,17339743232,3042472448,4229431296,3600045472256,82.422764
20,bench_p26_wt,bench_p26_wt_linear,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,609332800,0,0,0,0,0,0,3328,82.422839
20,bench_p26_wt,bench_p26_wt_linear,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,609332800,0,0,0,0,0,0,624,82.431408
20,bench_p26_wt,bench_p26_wt_linear,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,609332800,0,0,0,0,0,0,1296,82.431454
20,bench_p26_wt,bench_p26_wt_linear,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,609332800,0,0,0,0,0,0,4194304,82.431486
24,bench_p26_wt,bench_p26_wt_linear,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,339497024,42619366,3308586,17980,87284461568,1693996032,2356674560,3600024415232,28.489226
24,bench_p26_wt,bench_p26_wt_linear,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,339497024,0,0,0,0,0,0,3328,28.489300
24,bench_p26_wt,bench_p26_wt_linear,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,339497024,0,0,0,0,0,0,624,28.497906
24,bench_p26_wt,bench_p26_wt_linear,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,339497024,0,0,0,0,0,0,8720,28.497997
24,bench_p26_wt,bench_p26_wt_linear,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,339497024,0,0,0,0,0,0,6291456,28.498047
26,bench_p26_wt,bench_p26_wt_random,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,25513024,126744849,1663152,6540,2138354474,851533824,857210880,3600095955998,62.379156
26,bench_p26_wt,bench_p26_wt_random,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,25513024,0,0,0,0,0,0,3312,62.379281
26,bench_p26_wt,bench_p26_wt_random,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,25513024,0,0,0,0,0,0,608,62.379341
26,bench_p26_wt,bench_p26_wt_random,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,25513024,0,0,0,0,0,0,1296,62.379407
26,bench_p26_wt,bench_p26_wt_random,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,25513024,0,0,0,0,0,0,7995392,62.379464
27,bench_p26_wt,bench_p26_wt_random,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,26638848,125759778,1741005,6845,2312655832,891394560,897187840,3600007624456,62.872040
