i,suite,case,FS,NO_FRUNCATE,FILE_COUNT,SIM_TIME,SKIP_WARMUP,CHUNK,BLOCK_SIZE,SEED,NO_SET,DISK_SIZE,SIM_SIZE,SIZE,DISK_GEOMETRY,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
27,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,262144,42,0,134217728,0,2097152,1,64,ctx,17971584,0,0,0,0,0,0,608,35.857093
27,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,262144,42,0,134217728,0,2097152,1,64,heap,17971584,0,0,0,0,0,0,1296,35.857129
27,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,262144,42,0,134217728,0,2097152,1,64,usage,17971584,0,0,0,0,0,0,6029312,35.857162
25,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,65536,42,0,134217728,0,2097152,1,64,write,13377600,113838952,2772798,23941,3123646549,1419672576,1568997376,3600364325455,36.293617
25,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,65536,42,0,134217728,0,2097152,1,64,stack,13377600,0,0,0,0,0,0,3296,36.293689
25,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,65536,42,0,134217728,0,2097152,1,64,ctx,13377600,0,0,0,0,0,0,608,36.293722
25,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,65536,42,0,134217728,0,2097152,1,64,heap,13377600,0,0,0,0,0,0,1296,36.293750
25,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,65536,42,0,134217728,0,2097152,1,64,usage,13377600,0,0,0,0,0,0,4587520,36.293775
28,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,524288,42,0,134217728,0,2097152,1,64,write,22113152,87740936,5038015,36108,3476687522,2579463680,4732747776,3601157608454,38.392884
28,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,524288,42,0,134217728,0,2097152,1,64,stack,22113152,0,0,0,0,0,0,3280,38.392945
28,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,524288,42,0,134217728,0,2097152,1,64,ctx,22113152,0,0,0,0,0,0,608,38.392976
28,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,524288,42,0,134217728,0,2097152,1,64,heap,22113152,0,0,0,0,0,0,1296,38.393000
28,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,524288,42,0,134217728,0,2097152,1,64,usage,22113152,0,0,0,0,0,0,6815744,38.393023
31,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,8192,42,0,134217728,0,2097152,1,64,write,28604224,136535349,634499,42956,3922447919,324863488,351895552,3600003469181,31.525002
31,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,8192,42,0,134217728,0,2097152,1,64,stack,28604224,0,0,0,0,0,0,3248,31.525112
31,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,8192,42,0,134217728,0,2097152,1,64,ctx,28604224,0,0,0,0,0,0,848,31.525168
31,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,8192,42,0,134217728,0,2097152,1,64,heap,28604224,0,0,0,0,0,0,1296,31.525216
31,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,8192,42,0,134217728,0,2097152,1,64,usage,28604224,0,0,0,0,0,0,32309248,31.525258
30,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,4096,42,0,134217728,0,2097152,1,64,write,29390848,136868216,667923,96413,3002000096,341976576,394907648,3600017016992,43.039591
30,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,4096,42,0,134217728,0,2097152,1,64,stack,29390848,0,0,0,0,0,0,3248,43.039697
30,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,4096,42,0,134217728,0,2097152,1,64,ctx,29390848,0,0,0,0,0,0,848,43.039750
30,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,4096,42,0,134217728,0,2097152,1,64,heap,29390848,0,0,0,0,0,0,1296,43.039796
30,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,4096,42,0,134217728,0,2097152,1,64,usage,29390848,0,0,0,0,0,0,32591872,43.039839
32,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,16384,42,0,134217728,0,2097152,1,64,write,27018112,135933719,582494,19149,5441108845,298236928,313737216,3600000326935,71.714769
32,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,16384,42,0,134217728,0,2097152,1,64,stack,27018112,0,0,0,0,0,0,3248,71.714873
32,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,16384,42,0,134217728,0,2097152,1,64,ctx,27018112,0,0,0,0,0,0,848,71.714926
32,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,16384,42,0,134217728,0,2097152,1,64,heap,27018112,0,0,0,0,0,0,1296,71.714973
32,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,16384,42,0,134217728,0,2097152,1,64,usage,27018112,0,0,0,0,0,0,32473088,71.715029
33,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,32768,42,0,134217728,0,2097152,1,64,write,23505920,134949139,499119,8114,7891856360,255548928,265879552,3600006810680,72.979963
33,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,32768,42,0,134217728,0,2097152,1,64,stack,23505920,0,0,0,0,0,0,3312,72.980061
33,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,32768,42,0,134217728,0,2097152,1,64,ctx,23505920,0,0,0,0,0,0,848,72.980113
33,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,32768,42,0,134217728,0,2097152,1,64,heap,23505920,0,0,0,0,0,0,1296,72.980158
33,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,32768,42,0,134217728,0,2097152,1,64,usage,23505920,0,0,0,0,0,0,33161216,72.980203
34,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,65536,42,0,134217728,0,2097152,1,64,write,18537088,133787552,385528,3142,10995366409,197390336,205914112,3600040451755,90.902840
34,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,65536,42,0,134217728,0,2097152,1,64,stack,18537088,0,0,0,0,0,0,3312,90.902938
34,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,65536,42,0,134217728,0,2097152,1,64,ctx,18537088,0,0,0,0,0,0,848,90.902989
34,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,65536,42,0,134217728,0,2097152,1,64,heap,18537088,0,0,0,0,0,0,1296,90.903032
34,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,65536,42,0,134217728,0,2097152,1,64,usage,18537088,0,0,0,0,0,0,34471936,90.903072
35,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,131072,42,0,134217728,0,2097152,1,64,write,13886336,131426228,288678,1183,15411009979,147803136,155058176,3600002231521,108.016793
35,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,131072,42,0,134217728,0,2097152,1,64,stack,13886336,0,0,0,0,0,0,3312,108.016896
35,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,131072,42,0,134217728,0,2097152,1,64,ctx,13886336,0,0,0,0,0,0,848,108.016948
35,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,131072,42,0,134217728,0,2097152,1,64,heap,13886336,0,0,0,0,0,0,1296,108.016992
35,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,131072,42,0,134217728,0,2097152,1,64,usage,13886336,0,0,0,0,0,0,34340864,108.017039
38,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,1048576,42,0,134217728,0,2097152,1,64,write,2237504,126707217,48816,232,24894525870,24993792,30408704,3600080539626,127.460380
38,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,1048576,42,0,134217728,0,2097152,1,64,stack,2237504,0,0,0,0,0,0,3248,127.460464
38,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,1048576,42,0,134217728,0,2097152,1,64,ctx,2237504,0,0,0,0,0,0,848,127.460504
38,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,1048576,42,0,134217728,0,2097152,1,64,heap,2237504,0,0,0,0,0,0,1296,127.460538
38,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,1048576,42,0,134217728,0,2097152,1,64,usage,2237504,0,0,0,0,0,0,20971520,127.460571
36,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,262144,42,0,134217728,0,2097152,1,64,write,8846016,129265733,182908,754,19694971341,93648896,98828288,3600001524279,140.609380
36,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,262144,42,0,134217728,0,2097152,1,64,stack,8846016,0,0,0,0,0,0,3312,140.609457
36,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,262144,42,0,134217728,0,2097152,1,64,ctx,8846016,0,0,0,0,0,0,848,140.609493
36,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,262144,42,0,134217728,0,2097152,1,64,heap,8846016,0,0,0,0,0,0,1296,140.609522
36,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,262144,42,0,134217728,0,2097152,1,64,usage,8846016,0,0,0,0,0,0,34603008,140.609553
37,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,524288,42,0,134217728,0,2097152,1,64,write,4553984,127348633,96657,440,23386298407,49488384,57671680,3600015360229,152.880131
37,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,524288,42,0,134217728,0,2097152,1,64,stack,4553984,0,0,0,0,0,0,3312,152.880202
