i,suite,case,NO_SET,SEED,FS,CHUNK,NO_FRUNCATE,SIM_SIZE,SKIP_WARMUP,FILE_SIZE,READ_SIZE,SIZE,DISK_GEOMETRY,FILE_COUNT,SIM_TIME,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
30,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,32,2097152,0,32768,3600000000000,134217728,ctx,7726912,0,0,0,0,0,0,608,17.587793
30,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,32,2097152,0,32768,3600000000000,134217728,heap,7726912,0,0,0,0,0,0,784,17.587848
30,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,32,2097152,0,32768,3600000000000,134217728,usage,7726912,0,0,0,0,0,0,4784128,17.587900
32,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,128,2097152,0,32768,3600000000000,134217728,write,7538304,3912987392,1953374,59068,3912987392,211396339,241942528,3600116270601,17.783460
32,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,128,2097152,0,32768,3600000000000,134217728,stack,7538304,0,0,0,0,0,0,3296,17.783570
32,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,128,2097152,0,32768,3600000000000,134217728,ctx,7538304,0,0,0,0,0,0,608,17.783630
32,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,128,2097152,0,32768,3600000000000,134217728,heap,7538304,0,0,0,0,0,0,784,17.783682
32,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,128,2097152,0,32768,3600000000000,134217728,usage,7538304,0,0,0,0,0,0,4747264,17.783731
31,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,64,2097152,0,32768,3600000000000,134217728,write,7653056,2546998784,1984511,60002,2546998784,214788912,245768192,3600028715408,18.218590
31,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,64,2097152,0,32768,3600000000000,134217728,stack,7653056,0,0,0,0,0,0,3296,18.218700
31,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,64,2097152,0,32768,3600000000000,134217728,ctx,7653056,0,0,0,0,0,0,608,18.218759
31,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,64,2097152,0,32768,3600000000000,134217728,heap,7653056,0,0,0,0,0,0,784,18.218811
31,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,64,2097152,0,32768,3600000000000,134217728,usage,7653056,0,0,0,0,0,0,4706304,18.218861
25,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,1,2097152,0,32768,3600000000000,134217728,write,7800256,843240476,2023461,61169,843240476,219014615,250548224,3600057088597,18.800754
25,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,1,2097152,0,32768,3600000000000,134217728,stack,7800256,0,0,0,0,0,0,3296,18.800848
25,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,1,2097152,0,32768,3600000000000,134217728,ctx,7800256,0,0,0,0,0,0,608,18.800896
