i,suite,case,SKIP_WARMUP,SIM_SIZE,SIZE,BLOCK_SIZE,CHUNK,DISK_SIZE,FILE_SIZE,FILE_COUNT,SEED,FS,NO_FRUNCATE,DISK_GEOMETRY,SIM_TIME,NO_SET,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,4630524992,0,0,0,0,0,0,1310720,79.257002
20,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,4559310912,29765446,10645801,41608,1224287858,5450650112,5453643776,3600061333622,81.078164
20,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,4559310912,0,0,0,0,0,0,3232,81.078234
20,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,4559310912,0,0,0,0,0,0,624,81.078265
20,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,4559310912,0,0,0,0,0,0,1296,81.078290
20,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,4559310912,0,0,0,0,0,0,6291456,81.078314
21,bench_p26_wt,bench_p26_wt_random,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,6404480,128756221,1447661,207419,2484405099,741202432,849588224,3600050040561,25.589956
21,bench_p26_wt,bench_p26_wt_random,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,6404480,0,0,0,0,0,0,3296,25.590068
21,bench_p26_wt,bench_p26_wt_random,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,6404480,0,0,0,0,0,0,608,25.590132
21,bench_p26_wt,bench_p26_wt_random,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,6404480,0,0,0,0,0,0,1296,25.590178
21,bench_p26_wt,bench_p26_wt_random,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,6404480,0,0,0,0,0,0,5234688,25.590221
24,bench_p26_wt,bench_p26_wt_random,0,0,2097152,32768,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,13907392,115703933,2605744,44620,3069889331,1334140928,1462108160,3600208827593,28.051329
24,bench_p26_wt,bench_p26_wt_random,0,0,2097152,32768,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,13907392,0,0,0,0,0,0,3200,28.051446
24,bench_p26_wt,bench_p26_wt_random,0,0,2097152,32768,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,13907392,0,0,0,0,0,0,608,28.051502
24,bench_p26_wt,bench_p26_wt_random,0,0,2097152,32768,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,13907392,0,0,0,0,0,0,1296,28.051551
24,bench_p26_wt,bench_p26_wt_random,0,0,2097152,32768,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,13907392,0,0,0,0,0,0,4325376,28.051596
25,bench_p26_wt,bench_p26_wt_random,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,13377600,113838952,2772798,23941,3123646549,1419672576,1568997376,3600364325455,28.110163
25,bench_p26_wt,bench_p26_wt_random,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,13377600,0,0,0,0,0,0,3296,28.110277
25,bench_p26_wt,bench_p26_wt_random,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,13377600,0,0,0,0,0,0,608,28.110331
25,bench_p26_wt,bench_p26_wt_random,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,13377600,0,0,0,0,0,0,1296,28.110379
25,bench_p26_wt,bench_p26_wt_random,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,13377600,0,0,0,0,0,0,4587520,28.110423
22,bench_p26_wt,bench_p26_wt_random,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,6129600,132208319,1151685,79563,2225510213,589662720,651780096,3600172042271,31.478240
22,bench_p26_wt,bench_p26_wt_random,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,6129600,0,0,0,0,0,0,3296,31.478343
22,bench_p26_wt,bench_p26_wt_random,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,6129600,0,0,0,0,0,0,608,31.478396
22,bench_p26_wt,bench_p26_wt_random,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,6129600,0,0,0,0,0,0,1296,31.478442
22,bench_p26_wt,bench_p26_wt_random,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,6129600,0,0,0,0,0,0,4489216,31.478487
23,bench_p26_wt,bench_p26_wt_random,0,0,2097152,16384,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,12106368,121107193,2128087,73288,2810778510,1089580544,1200750592,3600163761546,35.646721
23,bench_p26_wt,bench_p26_wt_random,0,0,2097152,16384,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,12106368,0,0,0,0,0,0,3296,35.646827
23,bench_p26_wt,bench_p26_wt_random,0,0,2097152,16384,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,12106368,0,0,0,0,0,0,608,35.655134
23,bench_p26_wt,bench_p26_wt_random,0,0,2097152,16384,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,12106368,0,0,0,0,0,0,1296,35.655189
23,bench_p26_wt,bench_p26_wt_random,0,0,2097152,16384,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,12106368,0,0,0,0,0,0,4259840,35.655234
26,bench_p26_wt,bench_p26_wt_random,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,13076096,111871247,2948980,13361,3107402239,1509877760,1751252992,3600165228013,37.015516
26,bench_p26_wt,bench_p26_wt_random,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,13076096,0,0,0,0,0,0,3120,37.015609
26,bench_p26_wt,bench_p26_wt_random,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,13076096,0,0,0,0,0,0,608,37.015655
26,bench_p26_wt,bench_p26_wt_random,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,13076096,0,0,0,0,0,0,1296,37.015695
26,bench_p26_wt,bench_p26_wt_random,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,13076096,0,0,0,0,0,0,5373952,37.015735
27,bench_p26_wt,bench_p26_wt_random,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,17971584,103021635,3744568,19928,3022676829,1917218816,2612002816,3600500543463,37.568192
27,bench_p26_wt,bench_p26_wt_random,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,17971584,0,0,0,0,0,0,3280,37.568272
27,bench_p26_wt,bench_p26_wt_random,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,17971584,0,0,0,0,0,0,608,37.568399
27,bench_p26_wt,bench_p26_wt_random,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,17971584,0,0,0,0,0,0,1296,37.568443
27,bench_p26_wt,bench_p26_wt_random,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,17971584,0,0,0,0,0,0,6029312,37.568496
28,bench_p26_wt,bench_p26_wt_random,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,22113152,87740936,5038015,36108,3476687522,2579463680,4732747776,3601157608454,39.887173
28,bench_p26_wt,bench_p26_wt_random,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,22113152,0,0,0,0,0,0,3280,39.887241
28,bench_p26_wt,bench_p26_wt_random,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,22113152,0,0,0,0,0,0,608,39.887275
28,bench_p26_wt,bench_p26_wt_random,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,22113152,0,0,0,0,0,0,1296,39.887302
28,bench_p26_wt,bench_p26_wt_random,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,22113152,0,0,0,0,0,0,6815744,39.887329
29,bench_p26_wt,bench_p26_wt_random,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,22199488,82109368,5382661,59720,3575569445,2755922432,7827619840,3600522618047,40.882556
29,bench_p26_wt,bench_p26_wt_random,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,22199488,0,0,0,0,0,0,3312,40.882620
29,bench_p26_wt,bench_p26_wt_random,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,22199488,0,0,0,0,0,0,608,40.882652
29,bench_p26_wt,bench_p26_wt_random,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,22199488,0,0,0,0,0,0,1296,40.882678
29,bench_p26_wt,bench_p26_wt_random,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,22199488,0,0,0,0,0,0,19922944,40.882702
32,bench_p26_wt,bench_p26_wt_many,0,0,2097152,16384,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,26309568,135651247,612509,20071,5384719456,313604608,328843264,3600004901152,42.443729
32,bench_p26_wt,bench_p26_wt_many,0,0,2097152,16384,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,26309568,0,0,0,0,0,0,3248,42.443845
32,bench_p26_wt,bench_p26_wt_many,0,0,2097152,16384,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,26309568,0,0,0,0,0,0,848,42.443911
32,bench_p26_wt,bench_p26_wt_many,0,0,2097152,16384,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,26309568,0,0,0,0,0,0,1296,42.443959
32,bench_p26_wt,bench_p26_wt_many,0,0,2097152,16384,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,26309568,0,0,0,0,0,0,32047104,42.444003
30,bench_p26_wt,bench_p26_wt_many,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,29034176,136498119,701767,100416,3004592908,359304704,411303936,3600002081764,45.786010
30,bench_p26_wt,bench_p26_wt_many,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,29034176,0,0,0,0,0,0,3248,45.786111
30,bench_p26_wt,bench_p26_wt_many,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,29034176,0,0,0,0,0,0,848,45.786165
30,bench_p26_wt,bench_p26_wt_many,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,29034176,0,0,0,0,0,0,1296,45.786211
30,bench_p26_wt,bench_p26_wt_many,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,29034176,0,0,0,0,0,0,32444416,45.786256
31,bench_p26_wt,bench_p26_wt_many,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,28186304,136196318,667357,44979,3898979775,341686784,368467968,3600003545901,53.963146
31,bench_p26_wt,bench_p26_wt_many,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,28186304,0,0,0,0,0,0,3248,53.963253
31,bench_p26_wt,bench_p26_wt_many,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,28186304,0,0,0,0,0,0,848,53.963306
31,bench_p26_wt,bench_p26_wt_many,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,28186304,0,0,0,0,0,0,1296,53.963353
31,bench_p26_wt,bench_p26_wt_many,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,28186304,0,0,0,0,0,0,32415744,53.963410
33,bench_p26_wt,bench_p26_wt_many,0,0,2097152,32768,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,22927744,134628964,529101,8580,7884340767,270899712,281149440,3600007289421,78.731779
33,bench_p26_wt,bench_p26_wt_many,0,0,2097152,32768,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,22927744,0,0,0,0,0,0,3312,78.731885
33,bench_p26_wt,bench_p26_wt_many,0,0,2097152,32768,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,22927744,0,0,0,0,0,0,848,78.731939
33,bench_p26_wt,bench_p26_wt_many,0,0,2097152,32768,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,22927744,0,0,0,0,0,0,1296,78.731986
33,bench_p26_wt,bench_p26_wt_many,0,0,2097152,32768,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,22927744,0,0,0,0,0,0,33882112,78.732034
34,bench_p26_wt,bench_p26_wt_many,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,17504960,133456803,409162,3311,11089785624,209490944,216989696,3600007071432,96.116110
