i,suite,case,SIM_SIZE,NO_FRUNCATE,SKIP_WARMUP,NO_SET,FILE_COUNT,SEED,DISK_SIZE,FS,PROG_SIZE,CHUNK,DISK_GEOMETRY,SIM_TIME,SIZE,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
20,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,256,64,0,3600000000000,2097152,64,heap,241021248,0,0,0,0,0,0,784,10.611721
20,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,256,64,0,3600000000000,2097152,64,usage,241021248,0,0,0,0,0,0,2039808,10.611760
21,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,512,64,0,3600000000000,2097152,64,write,211440192,245780868,1077996,70084,245780868,275966976,287064064,3600096797856,10.941925
21,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,512,64,0,3600000000000,2097152,64,stack,211440192,0,0,0,0,0,0,3168,10.941995
21,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,512,64,0,3600000000000,2097152,64,ctx,211440192,0,0,0,0,0,0,528,10.942027
21,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,512,64,0,3600000000000,2097152,64,heap,211440192,0,0,0,0,0,0,1296,10.942052
21,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,512,64,0,3600000000000,2097152,64,usage,211440192,0,0,0,0,0,0,1814528,10.942077
22,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,1024,64,0,3600000000000,2097152,64,write,168813632,335672973,1037240,70373,335672973,265533440,288247808,3600191239688,11.611635
22,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,1024,64,0,3600000000000,2097152,64,stack,168813632,0,0,0,0,0,0,3088,11.611712
22,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,1024,64,0,3600000000000,2097152,64,ctx,168813632,0,0,0,0,0,0,528,11.611761
22,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,1024,64,0,3600000000000,2097152,64,heap,168813632,0,0,0,0,0,0,2320,11.611794
22,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,1024,64,0,3600000000000,2097152,64,usage,168813632,0,0,0,0,0,0,1101824,11.611824
23,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,2048,64,0,3600000000000,2097152,64,write,119531584,409486745,920512,71359,409486745,235651072,292286464,3600238559208,11.983222
23,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,2048,64,0,3600000000000,2097152,64,stack,119531584,0,0,0,0,0,0,3024,11.983305
23,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,2048,64,0,3600000000000,2097152,64,ctx,119531584,0,0,0,0,0,0,528,11.983339
23,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,2048,64,0,3600000000000,2097152,64,heap,119531584,0,0,0,0,0,0,4368,11.983367
23,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,2048,64,0,3600000000000,2097152,64,usage,119531584,0,0,0,0,0,0,2207744,11.983392
24,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,4096,64,0,3600000000000,2097152,64,write,97087552,306848378,1115184,69699,306848378,285487104,285487104,3600275858192,5.542154
24,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,4096,64,0,3600000000000,2097152,64,stack,97087552,0,0,0,0,0,0,3088,5.542220
24,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,4096,64,0,3600000000000,2097152,64,ctx,97087552,0,0,0,0,0,0,528,5.542252
24,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,4096,64,0,3600000000000,2097152,64,heap,97087552,0,0,0,0,0,0,8464,5.542276
24,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,4096,64,0,3600000000000,2097152,64,usage,97087552,0,0,0,0,0,0,667648,5.542299
36,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,2048,64,0,3600000000000,2097152,64,write,772992,717613359,706168,73016,717613359,180779008,299073536,3600318791512,16.696028
36,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,2048,64,0,3600000000000,2097152,64,stack,772992,0,0,0,0,0,0,3072,16.696142
36,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,2048,64,0,3600000000000,2097152,64,ctx,772992,0,0,0,0,0,0,512,16.696198
36,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,2048,64,0,3600000000000,2097152,64,heap,772992,0,0,0,0,0,0,4368,16.696257
