i,suite,case,FILE_SIZE,SIZE,SIM_TIME,FILE_COUNT,SIM_SIZE,NO_SET,NO_FRUNCATE,DISK_SIZE,SEED,SKIP_WARMUP,DISK_GEOMETRY,READ_SIZE,CHUNK,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
23,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2048,64,3,write,10234728512,16379765,8648517,89625,33545758720,11736775680,11747328000,3600011041792,146.251759
23,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2048,64,3,stack,10234728512,0,0,0,0,0,0,3312,146.251842
23,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2048,64,3,ctx,10234728512,0,0,0,0,0,0,624,146.251877
23,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2048,64,3,heap,10234728512,0,0,0,0,0,0,4624,146.251905
23,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2048,64,3,usage,10234728512,0,0,0,0,0,0,1310720,146.251932
24,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4096,64,3,write,10879373376,19107512,7926118,91317,39132184576,11946779648,11969101824,3600011201536,92.418524
24,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4096,64,3,stack,10879373376,0,0,0,0,0,0,3280,92.418596
24,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4096,64,3,ctx,10879373376,0,0,0,0,0,0,624,92.418627
24,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4096,64,3,heap,10879373376,0,0,0,0,0,0,8720,92.418653
24,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4096,64,3,usage,10879373376,0,0,0,0,0,0,2097152,92.418677
26,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2,64,3,write,8035008,125276681,1801855,8170,1969166452,922549760,1070858240,3600009476764,37.557870
26,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2,64,3,stack,8035008,0,0,0,0,0,0,3120,37.557997
26,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2,64,3,ctx,8035008,0,0,0,0,0,0,608,37.558058
26,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2,64,3,heap,8035008,0,0,0,0,0,0,1296,37.558123
26,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2,64,3,usage,8035008,0,0,0,0,0,0,5767168,37.558176
27,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4,64,3,write,8207424,124751911,1841580,8350,2093408116,942888960,1094451200,3600139189660,38.115864
27,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4,64,3,stack,8207424,0,0,0,0,0,0,3120,38.115981
27,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4,64,3,ctx,8207424,0,0,0,0,0,0,608,38.116041
27,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4,64,3,heap,8207424,0,0,0,0,0,0,1296,38.116094
