i,suite,case,READ_SIZE,SIM_TIME,FS,NO_FRUNCATE,NO_SET,SIM_SIZE,CHUNK,SKIP_WARMUP,DISK_GEOMETRY,FILE_SIZE,FILE_COUNT,DISK_SIZE,SEED,SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
21,bench_p26_wt,bench_p26_wt_linear,512,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,5035505216,0,0,0,0,0,0,624,107.118532
21,bench_p26_wt,bench_p26_wt_linear,512,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,5035505216,0,0,0,0,0,0,1552,107.118565
21,bench_p26_wt,bench_p26_wt_linear,512,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,5035505216,0,0,0,0,0,0,917504,107.118596
22,bench_p26_wt,bench_p26_wt_linear,1024,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,7527203904,16638009,10276059,67309,17037321216,8817284096,8822325248,3600003086336,131.760084
22,bench_p26_wt,bench_p26_wt_linear,1024,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,7527203904,0,0,0,0,0,0,3280,131.760182
22,bench_p26_wt,bench_p26_wt_linear,1024,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,7527203904,0,0,0,0,0,0,624,131.760223
22,bench_p26_wt,bench_p26_wt_linear,1024,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,7527203904,0,0,0,0,0,0,2576,131.760259
22,bench_p26_wt,bench_p26_wt_linear,1024,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,7527203904,0,0,0,0,0,0,1179648,131.760293
23,bench_p26_wt,bench_p26_wt_linear,2048,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,10234728512,16379765,8648517,89625,33545758720,11736775680,11747328000,3600011041792,149.900709
23,bench_p26_wt,bench_p26_wt_linear,2048,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,10234728512,0,0,0,0,0,0,3312,149.900801
23,bench_p26_wt,bench_p26_wt_linear,2048,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,10234728512,0,0,0,0,0,0,624,149.900842
23,bench_p26_wt,bench_p26_wt_linear,2048,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,10234728512,0,0,0,0,0,0,4624,149.900883
23,bench_p26_wt,bench_p26_wt_linear,2048,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,10234728512,0,0,0,0,0,0,1310720,149.900915
24,bench_p26_wt,bench_p26_wt_linear,4096,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,10879373376,19107512,7926118,91317,39132184576,11946779648,11969101824,3600011201536,90.152642
24,bench_p26_wt,bench_p26_wt_linear,4096,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,10879373376,0,0,0,0,0,0,3280,90.152714
24,bench_p26_wt,bench_p26_wt_linear,4096,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,10879373376,0,0,0,0,0,0,624,90.152745
24,bench_p26_wt,bench_p26_wt_linear,4096,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,10879373376,0,0,0,0,0,0,8720,90.152770
24,bench_p26_wt,bench_p26_wt_linear,4096,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,10879373376,0,0,0,0,0,0,2097152,90.152794
26,bench_p26_wt,bench_p26_wt_random,2,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,8035008,125276681,1801855,8170,1969166452,922549760,1070858240,3600009476764,36.064828
26,bench_p26_wt,bench_p26_wt_random,2,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,8035008,0,0,0,0,0,0,3120,36.064963
26,bench_p26_wt,bench_p26_wt_random,2,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,8035008,0,0,0,0,0,0,608,36.065023
26,bench_p26_wt,bench_p26_wt_random,2,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,8035008,0,0,0,0,0,0,1296,36.065077
26,bench_p26_wt,bench_p26_wt_random,2,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,8035008,0,0,0,0,0,0,5767168,36.065123
27,bench_p26_wt,bench_p26_wt_random,4,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,8207424,124751911,1841580,8350,2093408116,942888960,1094451200,3600139189660,36.694860
27,bench_p26_wt,bench_p26_wt_random,4,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,8207424,0,0,0,0,0,0,3120,36.694967
27,bench_p26_wt,bench_p26_wt_random,4,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,8207424,0,0,0,0,0,0,608,36.695026
27,bench_p26_wt,bench_p26_wt_random,4,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,8207424,0,0,0,0,0,0,1296,36.695078
27,bench_p26_wt,bench_p26_wt_random,4,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,8207424,0,0,0,0,0,0,5242880,36.695128
28,bench_p26_wt,bench_p26_wt_random,8,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,10204800,119280194,2294723,10396,2807892560,1174898176,1362624512,3600892749296,42.079879
28,bench_p26_wt,bench_p26_wt_random,8,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,10204800,0,0,0,0,0,0,3120,42.079990
28,bench_p26_wt,bench_p26_wt_random,8,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,10204800,0,0,0,0,0,0,608,42.080051
28,bench_p26_wt,bench_p26_wt_random,8,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,10204800,0,0,0,0,0,0,1296,42.080117
28,bench_p26_wt,bench_p26_wt_random,8,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,10204800,0,0,0,0,0,0,5505024,42.080168
36,bench_p26_wt,bench_p26_wt_random,2048,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,12891392,44424919,2906416,13167,90982234112,1488084992,1725825024,3600795723776,44.669503
36,bench_p26_wt,bench_p26_wt_random,2048,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,12891392,0,0,0,0,0,0,3072,44.669606
36,bench_p26_wt,bench_p26_wt_random,2048,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,12891392,0,0,0,0,0,0,608,44.669659
36,bench_p26_wt,bench_p26_wt_random,2048,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,12891392,0,0,0,0,0,0,4624,44.669707
36,bench_p26_wt,bench_p26_wt_random,2048,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,12891392,0,0,0,0,0,0,5373952,44.669751
