i,suite,case,SKIP_WARMUP,CHUNK,FS,SEED,SIM_TIME,SIM_SIZE,FILE_SIZE,FILE_COUNT,SIZE,PROG_SIZE,NO_FRUNCATE,DISK_GEOMETRY,NO_SET,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
24,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,4096,0,1,0,134217728,ctx,19091906496,0,0,0,0,0,0,400,109.093136
24,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,4096,0,1,0,134217728,heap,19091906496,0,0,0,0,0,0,12304,109.093162
24,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,4096,0,1,0,134217728,usage,19091906496,0,0,0,0,0,0,1835008,109.093186
29,bench_p26_wt,bench_p26_wt_random,0,64,2,42,3600000000000,0,64,32768,2097152,16,0,1,0,134217728,write,169600,23692778,11253006,22160,5775480077,2880507584,2904555520,3601936877623,263.517709
29,bench_p26_wt,bench_p26_wt_random,0,64,2,42,3600000000000,0,64,32768,2097152,16,0,1,0,134217728,stack,169600,0,0,0,0,0,0,1520,263.517838
29,bench_p26_wt,bench_p26_wt_random,0,64,2,42,3600000000000,0,64,32768,2097152,16,0,1,0,134217728,ctx,169600,0,0,0,0,0,0,384,263.517897
29,bench_p26_wt,bench_p26_wt_random,0,64,2,42,3600000000000,0,64,32768,2097152,16,0,1,0,134217728,heap,169600,0,0,0,0,0,0,784,263.517946
29,bench_p26_wt,bench_p26_wt_random,0,64,2,42,3600000000000,0,64,32768,2097152,16,0,1,0,134217728,usage,169600,0,0,0,0,0,0,2359296,263.517992
28,bench_p26_wt,bench_p26_wt_random,0,64,2,42,3600000000000,0,64,32768,2097152,8,0,1,0,134217728,write,169600,23698374,11253006,22160,5775421457,2880491864,2904555520,3602072992459,263.632956
28,bench_p26_wt,bench_p26_wt_random,0,64,2,42,3600000000000,0,64,32768,2097152,8,0,1,0,134217728,stack,169600,0,0,0,0,0,0,1520,263.633041
