i,suite,case,SIZE,SKIP_WARMUP,CHUNK,PROG_SIZE,DISK_GEOMETRY,NO_FRUNCATE,DISK_SIZE,NO_SET,FILE_COUNT,SIM_SIZE,SIM_TIME,FILE_SIZE,SEED,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
21,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,512,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,209854016,0,0,0,0,0,0,1296,10.088001
21,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,512,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,209854016,0,0,0,0,0,0,196608,10.088038
22,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,1024,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,165176384,336769729,1035412,70387,336769729,265065472,288305152,3600124765736,10.775949
22,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,1024,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,165176384,0,0,0,0,0,0,3136,10.776024
22,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,1024,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,165176384,0,0,0,0,0,0,624,10.776062
22,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,1024,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,165176384,0,0,0,0,0,0,2320,10.776107
22,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,1024,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,165176384,0,0,0,0,0,0,1769472,10.776137
23,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,2048,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,115923008,410364876,916440,71395,410364876,234608640,292433920,3600244508640,11.401098
23,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,2048,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,115923008,0,0,0,0,0,0,3216,11.401169
23,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,2048,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,115923008,0,0,0,0,0,0,624,11.401203
23,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,2048,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,115923008,0,0,0,0,0,0,4368,11.401230
23,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,2048,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,115923008,0,0,0,0,0,0,675840,11.401256
24,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,4096,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,95154240,298017297,1116800,69800,298017297,285900800,285900800,3605121946280,5.599649
24,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,4096,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,95154240,0,0,0,0,0,0,3168,5.599717
24,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,4096,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,95154240,0,0,0,0,0,0,624,5.599749
24,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,4096,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,95154240,0,0,0,0,0,0,8464,5.599775
