i,suite,case,NO_FRUNCATE,CHUNK,DISK_GEOMETRY,SKIP_WARMUP,CRYSTAL_THRESH,SIZE,NO_SET,FILE_COUNT,SEED,SIM_SIZE,PROG_SIZE,FS,SIM_TIME,FILE_SIZE,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
20,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,256,31,3600000000000,64,134217728,usage,214147392,0,0,0,0,0,0,1441792,62.112007
21,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,512,31,3600000000000,64,134217728,write,434032192,96922961,4232836,22986,3902565198,2167212032,3012820992,3600096243402,69.317061
21,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,512,31,3600000000000,64,134217728,stack,434032192,0,0,0,0,0,0,3328,69.317154
21,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,512,31,3600000000000,64,134217728,ctx,434032192,0,0,0,0,0,0,624,69.317196
21,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,512,31,3600000000000,64,134217728,heap,434032192,0,0,0,0,0,0,1296,69.317230
21,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,512,31,3600000000000,64,134217728,usage,434032192,0,0,0,0,0,0,6815744,69.317262
22,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,1024,31,3600000000000,64,134217728,write,467315776,110156891,2716674,28205,5563263406,2781874176,3696885760,3600003952618,81.579650
22,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,1024,31,3600000000000,64,134217728,stack,467315776,0,0,0,0,0,0,3280,81.579748
22,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,1024,31,3600000000000,64,134217728,ctx,467315776,0,0,0,0,0,0,624,81.579787
22,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,1024,31,3600000000000,64,134217728,heap,467315776,0,0,0,0,0,0,2320,81.579819
