i,suite,case,FILE_SIZE,SIM_SIZE,CHUNK,SIM_TIME,SEED,DISK_SIZE,NO_SET,BLOCK_SIZE,CRYSTAL_THRESH,NO_FRUNCATE,SIZE,DISK_GEOMETRY,SKIP_WARMUP,FILE_COUNT,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
20,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,1048576,-1,0,2097152,0,0,32768,31,heap,45564480,0,0,0,0,0,0,784,18.592168
20,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,1048576,-1,0,2097152,0,0,32768,31,usage,45564480,0,0,0,0,0,0,7340032,18.592192
24,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,32768,-1,0,2097152,0,0,32768,31,write,16038464,761311051,1947279,61912,761311051,247483245,253591552,3600272265679,14.632452
24,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,32768,-1,0,2097152,0,0,32768,31,stack,16038464,0,0,0,0,0,0,3312,14.632561
24,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,32768,-1,0,2097152,0,0,32768,31,ctx,16038464,0,0,0,0,0,0,608,14.632618
24,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,32768,-1,0,2097152,0,0,32768,31,heap,16038464,0,0,0,0,0,0,784,14.632675
24,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,32768,-1,0,2097152,0,0,32768,31,usage,16038464,0,0,0,0,0,0,7045120,14.632719
25,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,65536,-1,0,2097152,0,0,32768,31,write,16148032,716925692,1978950,61680,716925692,247473324,252641280,3600729428516,15.118009
25,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,65536,-1,0,2097152,0,0,32768,31,stack,16148032,0,0,0,0,0,0,3312,15.118126
25,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,65536,-1,0,2097152,0,0,32768,31,ctx,16148032,0,0,0,0,0,0,608,15.118180
25,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,65536,-1,0,2097152,0,0,32768,31,heap,16148032,0,0,0,0,0,0,784,15.118229
25,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,65536,-1,0,2097152,0,0,32768,31,usage,16148032,0,0,0,0,0,0,7405568,15.118275
23,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,16384,-1,0,2097152,0,0,32768,31,write,14627136,883720841,2054342,60848,883720841,241234547,249233408,3600010266097,20.625819
23,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,16384,-1,0,2097152,0,0,32768,31,stack,14627136,0,0,0,0,0,0,3312,20.625926
23,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,16384,-1,0,2097152,0,0,32768,31,ctx,14627136,0,0,0,0,0,0,608,20.625983
23,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,16384,-1,0,2097152,0,0,32768,31,heap,14627136,0,0,0,0,0,0,784,20.626031
23,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,16384,-1,0,2097152,0,0,32768,31,usage,14627136,0,0,0,0,0,0,6701056,20.626078
26,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,131072,-1,0,2097152,0,0,32768,31,write,15795584,691367013,1976911,61728,691367013,248002218,252837888,3601061204838,20.878471
26,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,131072,-1,0,2097152,0,0,32768,31,stack,15795584,0,0,0,0,0,0,3312,20.878569
26,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,131072,-1,0,2097152,0,0,32768,31,ctx,15795584,0,0,0,0,0,0,608,20.878624
26,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,131072,-1,0,2097152,0,0,32768,31,heap,15795584,0,0,0,0,0,0,784,20.878679
26,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,131072,-1,0,2097152,0,0,32768,31,usage,15795584,0,0,0,0,0,0,8257536,20.878724
27,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,262144,-1,0,2097152,0,0,32768,31,write,15829248,682917897,1990561,61632,682917897,246817148,252444672,3601842600092,21.172714
27,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,262144,-1,0,2097152,0,0,32768,31,stack,15829248,0,0,0,0,0,0,3312,21.172816
27,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,262144,-1,0,2097152,0,0,32768,31,ctx,15829248,0,0,0,0,0,0,608,21.172867
27,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,262144,-1,0,2097152,0,0,32768,31,heap,15829248,0,0,0,0,0,0,784,21.172911
27,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,262144,-1,0,2097152,0,0,32768,31,usage,15829248,0,0,0,0,0,0,9437184,21.172953
21,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,4096,-1,0,2097152,0,0,32768,31,write,15950080,1036906950,2132387,60023,1036906950,233118552,245854208,3600087605112,21.789109
21,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,4096,-1,0,2097152,0,0,32768,31,stack,15950080,0,0,0,0,0,0,3312,21.789199
21,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,4096,-1,0,2097152,0,0,32768,31,ctx,15950080,0,0,0,0,0,0,608,21.789246
21,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,4096,-1,0,2097152,0,0,32768,31,heap,15950080,0,0,0,0,0,0,784,21.789290
21,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,4096,-1,0,2097152,0,0,32768,31,usage,15950080,0,0,0,0,0,0,7729152,21.789330
22,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,8192,-1,0,2097152,0,0,32768,31,write,14699200,868679838,2027569,61104,868679838,239042916,250281984,3600174013980,22.301126
22,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,8192,-1,0,2097152,0,0,32768,31,stack,14699200,0,0,0,0,0,0,3312,22.301220
22,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,8192,-1,0,2097152,0,0,32768,31,ctx,14699200,0,0,0,0,0,0,608,22.301261
22,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,8192,-1,0,2097152,0,0,32768,31,heap,14699200,0,0,0,0,0,0,784,22.301293
22,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,8192,-1,0,2097152,0,0,32768,31,usage,14699200,0,0,0,0,0,0,6766592,22.301324
29,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,1048576,-1,0,2097152,0,0,32768,31,write,15617984,675429971,2008307,61440,675429971,246944741,251658240,3600006436855,22.363302
29,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,1048576,-1,0,2097152,0,0,32768,31,stack,15617984,0,0,0,0,0,0,3312,22.363389
29,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,1048576,-1,0,2097152,0,0,32768,31,ctx,15617984,0,0,0,0,0,0,608,22.363424
29,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,1048576,-1,0,2097152,0,0,32768,31,heap,15617984,0,0,0,0,0,0,784,22.363453
29,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,1048576,-1,0,2097152,0,0,32768,31,usage,15617984,0,0,0,0,0,0,11534336,22.363480
28,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,524288,-1,0,2097152,0,0,32768,31,write,15971328,677507850,2016656,61440,677507850,246843184,251658240,3603428291104,23.295470
28,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,524288,-1,0,2097152,0,0,32768,31,stack,15971328,0,0,0,0,0,0,3312,23.295543
28,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,524288,-1,0,2097152,0,0,32768,31,ctx,15971328,0,0,0,0,0,0,608,23.295574
28,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,524288,-1,0,2097152,0,0,32768,31,heap,15971328,0,0,0,0,0,0,784,23.295598
28,bench_p26_wt,bench_p26_wt_random,64,0,64,3600000000000,42,134217728,0,524288,-1,0,2097152,0,0,32768,31,usage,15971328,0,0,0,0,0,0,9961472,23.295621
