i,suite,case,SEED,DISK_SIZE,NO_FRUNCATE,SIM_TIME,DISK_GEOMETRY,FS,FILE_SIZE,CHUNK,READ_SIZE,NO_SET,FILE_COUNT,SKIP_WARMUP,SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
23,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,2048,0,32768,0,2097152,0,stack,19090374592,0,0,0,0,0,0,1856,162.288595
23,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,2048,0,32768,0,2097152,0,ctx,19090374592,0,0,0,0,0,0,400,162.288631
23,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,2048,0,32768,0,2097152,0,heap,19090374592,0,0,0,0,0,0,6160,162.288659
23,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,2048,0,32768,0,2097152,0,usage,19090374592,0,0,0,0,0,0,2490368,162.288694
24,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,4096,0,32768,0,2097152,0,write,19039965120,9601192,9305939,154342,19663241216,19044614656,20229914624,3600001570304,107.965311
24,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,4096,0,32768,0,2097152,0,stack,19039965120,0,0,0,0,0,0,1856,107.965454
24,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,4096,0,32768,0,2097152,0,ctx,19039965120,0,0,0,0,0,0,400,107.965488
24,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,4096,0,32768,0,2097152,0,heap,19039965120,0,0,0,0,0,0,12304,107.965523
24,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,4096,0,32768,0,2097152,0,usage,19039965120,0,0,0,0,0,0,2359296,107.965547
28,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,8,0,32768,0,2097152,0,write,317952,21586358,10700932,43005,10968233312,5478877184,5636751360,3601244769824,493.743335
28,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,8,0,32768,0,2097152,0,stack,317952,0,0,0,0,0,0,1840,493.743541
28,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,8,0,32768,0,2097152,0,ctx,317952,0,0,0,0,0,0,384,493.743601
28,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,8,0,32768,0,2097152,0,heap,317952,0,0,0,0,0,0,1552,493.743651
28,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,8,0,32768,0,2097152,0,usage,317952,0,0,0,0,0,0,2490368,493.743698
32,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,128,0,32768,0,2097152,0,write,317952,21581136,10700932,43005,10987300096,5478877184,5636751360,3601478702848,493.918688
32,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,128,0,32768,0,2097152,0,stack,317952,0,0,0,0,0,0,1840,493.918774
32,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,128,0,32768,0,2097152,0,ctx,317952,0,0,0,0,0,0,384,493.918829
32,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,128,0,32768,0,2097152,0,heap,317952,0,0,0,0,0,0,1552,493.918877
32,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,128,0,32768,0,2097152,0,usage,317952,0,0,0,0,0,0,2490368,493.918924
29,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,16,0,32768,0,2097152,0,write,317952,21584799,10700932,43005,10969528944,5478877184,5636751360,3601231072848,495.220904
29,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,16,0,32768,0,2097152,0,stack,317952,0,0,0,0,0,0,1840,495.221009
29,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,16,0,32768,0,2097152,0,ctx,317952,0,0,0,0,0,0,384,495.221065
29,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,16,0,32768,0,2097152,0,heap,317952,0,0,0,0,0,0,1552,495.221113
29,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,16,0,32768,0,2097152,0,usage,317952,0,0,0,0,0,0,2490368,495.221173
33,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,256,0,32768,0,2097152,0,write,317952,21580765,10700932,43005,11007860992,5478877184,5636751360,3601860242176,496.017195
33,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,256,0,32768,0,2097152,0,stack,317952,0,0,0,0,0,0,1840,496.017293
33,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,256,0,32768,0,2097152,0,ctx,317952,0,0,0,0,0,0,384,496.017349
33,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,256,0,32768,0,2097152,0,heap,317952,0,0,0,0,0,0,1552,496.017397
33,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,256,0,32768,0,2097152,0,usage,317952,0,0,0,0,0,0,2490368,496.017444
34,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,512,0,32768,0,2097152,0,write,317888,21574329,10698115,42993,11046056448,5477434880,5635178496,3601672943616,509.029492
34,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,512,0,32768,0,2097152,0,stack,317888,0,0,0,0,0,0,1840,509.029594
34,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,512,0,32768,0,2097152,0,ctx,317888,0,0,0,0,0,0,384,509.029648
34,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,512,0,32768,0,2097152,0,heap,317888,0,0,0,0,0,0,1552,509.029695
34,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,512,0,32768,0,2097152,0,usage,317888,0,0,0,0,0,0,2490368,509.029740
31,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,64,0,32768,0,2097152,0,write,317952,21581662,10700932,43005,10977045696,5478877184,5636751360,3601296796224,510.821730
31,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,64,0,32768,0,2097152,0,stack,317952,0,0,0,0,0,0,1840,510.821831
31,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,64,0,32768,0,2097152,0,ctx,317952,0,0,0,0,0,0,384,510.821883
31,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,64,0,32768,0,2097152,0,heap,317952,0,0,0,0,0,0,1552,510.821929
31,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,64,0,32768,0,2097152,0,usage,317952,0,0,0,0,0,0,2490368,510.821972
26,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,2,0,32768,0,2097152,0,write,318016,21571111,10701957,43010,10959341844,5479401984,5637406720,3600977025660,510.851036
26,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,2,0,32768,0,2097152,0,stack,318016,0,0,0,0,0,0,1840,510.851114
26,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,2,0,32768,0,2097152,0,ctx,318016,0,0,0,0,0,0,384,510.851166
26,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,2,0,32768,0,2097152,0,heap,318016,0,0,0,0,0,0,1552,510.851211
26,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,2,0,32768,0,2097152,0,usage,318016,0,0,0,0,0,0,2490368,510.851255
27,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,4,0,32768,0,2097152,0,write,318016,21571109,10701957,43010,10959350884,5479401984,5637406720,3600977148268,514.131465
27,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,4,0,32768,0,2097152,0,stack,318016,0,0,0,0,0,0,1840,514.131560
27,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,4,0,32768,0,2097152,0,ctx,318016,0,0,0,0,0,0,384,514.131608
27,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,4,0,32768,0,2097152,0,heap,318016,0,0,0,0,0,0,1552,514.131650
27,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,4,0,32768,0,2097152,0,usage,318016,0,0,0,0,0,0,2490368,514.131691
25,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,1,0,32768,0,2097152,0,write,318016,21571114,10701957,43010,10959339403,5479401984,5637406720,3600977053009,515.020342
25,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,1,0,32768,0,2097152,0,stack,318016,0,0,0,0,0,0,1840,515.020502
25,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,1,0,32768,0,2097152,0,ctx,318016,0,0,0,0,0,0,384,515.020544
25,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,1,0,32768,0,2097152,0,heap,318016,0,0,0,0,0,0,1552,515.020577
25,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,1,0,32768,0,2097152,0,usage,318016,0,0,0,0,0,0,2490368,515.020609
30,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,32,0,32768,0,2097152,0,write,317952,21582743,10700932,43005,10971923232,5478877184,5636751360,3601226036064,515.065394
30,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,32,0,32768,0,2097152,0,stack,317952,0,0,0,0,0,0,1840,515.065489
30,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,32,0,32768,0,2097152,0,ctx,317952,0,0,0,0,0,0,384,515.065532
30,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,32,0,32768,0,2097152,0,heap,317952,0,0,0,0,0,0,1552,515.065567
