i,suite,case,SEED,SIM_TIME,DISK_GEOMETRY,NO_FRUNCATE,DISK_SIZE,SIZE,FS,FILE_COUNT,FILE_SIZE,NO_SET,CHUNK,SKIP_WARMUP,PROG_SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
21,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,512,0,heap,209854016,0,0,0,0,0,0,1296,10.977264
21,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,512,0,usage,209854016,0,0,0,0,0,0,196608,10.977302
22,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1024,0,write,165176384,336769729,1035412,70387,336769729,265065472,288305152,3600124765736,11.698827
22,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1024,0,stack,165176384,0,0,0,0,0,0,3136,11.698915
22,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1024,0,ctx,165176384,0,0,0,0,0,0,624,11.698958
22,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1024,0,heap,165176384,0,0,0,0,0,0,2320,11.699013
22,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1024,0,usage,165176384,0,0,0,0,0,0,1769472,11.699052
23,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,2048,0,write,115923008,410364876,916440,71395,410364876,234608640,292433920,3600244508640,12.294212
23,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,2048,0,stack,115923008,0,0,0,0,0,0,3216,12.294292
23,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,2048,0,ctx,115923008,0,0,0,0,0,0,624,12.294333
23,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,2048,0,heap,115923008,0,0,0,0,0,0,4368,12.294374
23,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,2048,0,usage,115923008,0,0,0,0,0,0,675840,12.294408
24,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,4096,0,write,95154240,298017297,1116800,69800,298017297,285900800,285900800,3605121946280,5.801059
24,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,4096,0,stack,95154240,0,0,0,0,0,0,3168,5.801130
24,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,4096,0,ctx,95154240,0,0,0,0,0,0,624,5.801163
24,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,4096,0,heap,95154240,0,0,0,0,0,0,8464,5.801190
