i,suite,case,SKIP_WARMUP,READ_SIZE,DISK_SIZE,FILE_SIZE,FS,DISK_GEOMETRY,NO_FRUNCATE,SIM_SIZE,SIZE,FILE_COUNT,NO_SET,SEED,SIM_TIME,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,0,2,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,261136704,0,0,0,0,0,0,784,10.371728
13,bench_p26_wt,bench_p26_wt_linear,0,2,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,261136704,0,0,0,0,0,0,1142784,10.371754
24,bench_p26_wt,bench_p26_wt_linear,0,4096,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,257540160,1503518720,1179578,68065,1503518720,272183979,278794240,3600127951025,3.717101
24,bench_p26_wt,bench_p26_wt_linear,0,4096,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,257540160,0,0,0,0,0,0,3168,3.717169
24,bench_p26_wt,bench_p26_wt_linear,0,4096,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,257540160,0,0,0,0,0,0,528,3.717199
24,bench_p26_wt,bench_p26_wt_linear,0,4096,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,257540160,0,0,0,0,0,0,8464,3.717222
24,bench_p26_wt,bench_p26_wt_linear,0,4096,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,257540160,0,0,0,0,0,0,1761280,3.717245
36,bench_p26_wt,bench_p26_wt_random,0,2048,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,6133760,20867913728,1567084,47450,20867913728,169214765,194355200,3600152043607,14.589441
36,bench_p26_wt,bench_p26_wt_random,0,2048,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,6133760,0,0,0,0,0,0,3152,14.589574
36,bench_p26_wt,bench_p26_wt_random,0,2048,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,6133760,0,0,0,0,0,0,512,14.589635
36,bench_p26_wt,bench_p26_wt_random,0,2048,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,6133760,0,0,0,0,0,0,4368,14.589687
36,bench_p26_wt,bench_p26_wt_random,0,2048,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,6133760,0,0,0,0,0,0,4513792,14.589737
35,bench_p26_wt,bench_p26_wt_random,0,1024,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,6509632,16496089088,1668371,50432,16496089088,180098172,206569472,3600199599668,15.421911
35,bench_p26_wt,bench_p26_wt_random,0,1024,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,6509632,0,0,0,0,0,0,3152,15.422029
35,bench_p26_wt,bench_p26_wt_random,0,1024,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,6509632,0,0,0,0,0,0,512,15.422088
35,bench_p26_wt,bench_p26_wt_random,0,1024,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,6509632,0,0,0,0,0,0,2320,15.422138
35,bench_p26_wt,bench_p26_wt_random,0,1024,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,6509632,0,0,0,0,0,0,4505600,15.422187
34,bench_p26_wt,bench_p26_wt_random,0,512,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,6945792,11577228288,1781751,53788,11577228288,192216489,220315648,3600057417867,16.766290
34,bench_p26_wt,bench_p26_wt_random,0,512,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,6945792,0,0,0,0,0,0,3152,16.766395
34,bench_p26_wt,bench_p26_wt_random,0,512,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,6945792,0,0,0,0,0,0,512,16.766453
34,bench_p26_wt,bench_p26_wt_random,0,512,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,6945792,0,0,0,0,0,0,1296,16.766501
34,bench_p26_wt,bench_p26_wt_random,0,512,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,6945792,0,0,0,0,0,0,4505600,16.766563
33,bench_p26_wt,bench_p26_wt_random,0,256,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,7294848,7619266304,1873658,56487,7619266304,202031288,231370752,3600151356328,18.197828
33,bench_p26_wt,bench_p26_wt_random,0,256,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,7294848,0,0,0,0,0,0,3152,18.197934
33,bench_p26_wt,bench_p26_wt_random,0,256,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,7294848,0,0,0,0,0,0,512,18.197989
33,bench_p26_wt,bench_p26_wt_random,0,256,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,7294848,0,0,0,0,0,0,784,18.198038
33,bench_p26_wt,bench_p26_wt_random,0,256,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,7294848,0,0,0,0,0,0,4567040,18.198085
30,bench_p26_wt,bench_p26_wt_random,0,32,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,7776128,2020365664,2001664,60319,2020365664,215867382,247066624,3600111851074,18.623359
30,bench_p26_wt,bench_p26_wt_random,0,32,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,7776128,0,0,0,0,0,0,3152,18.623461
30,bench_p26_wt,bench_p26_wt_random,0,32,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,7776128,0,0,0,0,0,0,512,18.623513
30,bench_p26_wt,bench_p26_wt_random,0,32,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,7776128,0,0,0,0,0,0,784,18.623559
30,bench_p26_wt,bench_p26_wt_random,0,32,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,7776128,0,0,0,0,0,0,4558848,18.623602
32,bench_p26_wt,bench_p26_wt_random,0,128,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,7544576,4666533248,1941129,58510,4666533248,209310811,239656960,3600209662401,18.709254
32,bench_p26_wt,bench_p26_wt_random,0,128,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,7544576,0,0,0,0,0,0,3152,18.709353
32,bench_p26_wt,bench_p26_wt_random,0,128,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,7544576,0,0,0,0,0,0,512,18.709404
32,bench_p26_wt,bench_p26_wt_random,0,128,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,7544576,0,0,0,0,0,0,784,18.709451
32,bench_p26_wt,bench_p26_wt_random,0,128,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,7544576,0,0,0,0,0,0,4509696,18.709497
31,bench_p26_wt,bench_p26_wt_random,0,64,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,7684032,3014133184,1978785,59640,3014133184,213398541,244285440,3600107027959,18.898384
31,bench_p26_wt,bench_p26_wt_random,0,64,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,7684032,0,0,0,0,0,0,3152,18.898487
31,bench_p26_wt,bench_p26_wt_random,0,64,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,7684032,0,0,0,0,0,0,512,18.898537
31,bench_p26_wt,bench_p26_wt_random,0,64,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,7684032,0,0,0,0,0,0,784,18.898581
