i,suite,case,SKIP_WARMUP,FILE_COUNT,NO_FRUNCATE,SIM_TIME,FILE_SIZE,FS,SIM_SIZE,SIZE,DISK_GEOMETRY,SEED,CHUNK,PROG_SIZE,DISK_SIZE,NO_SET,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
33,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,256,134217728,0,write,3989248,961856127,1007817,70316,961856127,258001152,288014336,3610757562840,17.948770
33,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,256,134217728,0,stack,3989248,0,0,0,0,0,0,3296,17.948868
33,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,256,134217728,0,ctx,3989248,0,0,0,0,0,0,608,17.948920
33,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,256,134217728,0,heap,3989248,0,0,0,0,0,0,784,17.948966
33,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,256,134217728,0,usage,3989248,0,0,0,0,0,0,4890624,17.949009
26,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2,134217728,0,write,7430272,863325475,2048860,60926,863325475,220427534,249552896,3600115511682,17.991112
26,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2,134217728,0,stack,7430272,0,0,0,0,0,0,3296,17.991188
26,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2,134217728,0,ctx,7430272,0,0,0,0,0,0,608,17.991234
26,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2,134217728,0,heap,7430272,0,0,0,0,0,0,784,17.991265
26,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2,134217728,0,usage,7430272,0,0,0,0,0,0,4878336,17.991294
27,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4,134217728,0,write,7203584,878914414,2046249,60934,878914414,221570444,249585664,3600076039572,18.152497
27,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4,134217728,0,stack,7203584,0,0,0,0,0,0,3296,18.152583
27,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4,134217728,0,ctx,7203584,0,0,0,0,0,0,608,18.152616
27,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4,134217728,0,heap,7203584,0,0,0,0,0,0,784,18.152642
27,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4,134217728,0,usage,7203584,0,0,0,0,0,0,4907008,18.152665
31,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,64,134217728,0,write,6208448,874155411,1716869,63863,874155411,233528384,261582848,3600119783096,18.261509
31,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,64,134217728,0,stack,6208448,0,0,0,0,0,0,3296,18.261594
31,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,64,134217728,0,ctx,6208448,0,0,0,0,0,0,608,18.261634
31,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,64,134217728,0,heap,6208448,0,0,0,0,0,0,784,18.261670
31,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,64,134217728,0,usage,6208448,0,0,0,0,0,0,4751360,18.261705
32,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,128,134217728,0,write,5919296,927947548,1472708,65984,927947548,243081472,270270464,3600199474016,18.427463
32,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,128,134217728,0,stack,5919296,0,0,0,0,0,0,3296,18.427531
32,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,128,134217728,0,ctx,5919296,0,0,0,0,0,0,608,18.427564
32,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,128,134217728,0,heap,5919296,0,0,0,0,0,0,784,18.427591
32,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,128,134217728,0,usage,5919296,0,0,0,0,0,0,4866048,18.427611
37,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4096,134217728,0,write,623744,404818608,1114512,69657,404818608,285315072,285315072,3602032569216,5.434325
37,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4096,134217728,0,stack,623744,0,0,0,0,0,0,3200,5.434393
37,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4096,134217728,0,ctx,623744,0,0,0,0,0,0,608,5.434424
37,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4096,134217728,0,heap,623744,0,0,0,0,0,0,8464,5.434449
37,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4096,134217728,0,usage,623744,0,0,0,0,0,0,4116480,5.434473
49,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2048,134217728,0,write,3546496,748740936,630528,73668,748740936,161415168,301744128,3600269423424,16.927490
49,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2048,134217728,0,stack,3546496,0,0,0,0,0,0,3296,16.927616
49,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2048,134217728,0,ctx,3546496,0,0,0,0,0,0,848,16.927674
49,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2048,134217728,0,heap,3546496,0,0,0,0,0,0,4368,16.927723
49,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2048,134217728,0,usage,3546496,0,0,0,0,0,0,26222592,16.927782
48,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1024,134217728,0,write,8632448,1185373810,856400,71242,1185373810,219238400,291807232,3600044351952,19.667240
48,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1024,134217728,0,stack,8632448,0,0,0,0,0,0,3312,19.667350
48,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1024,134217728,0,ctx,8632448,0,0,0,0,0,0,848,19.667409
48,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1024,134217728,0,heap,8632448,0,0,0,0,0,0,2320,19.667463
48,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1024,134217728,0,usage,8632448,0,0,0,0,0,0,32129024,19.667518
47,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,512,134217728,0,write,20594432,2119431774,958890,69489,2119431774,245475840,284626944,3600031656624,31.108270
47,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,512,134217728,0,stack,20594432,0,0,0,0,0,0,3248,31.108498
47,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,512,134217728,0,ctx,20594432,0,0,0,0,0,0,848,31.108559
47,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,512,134217728,0,heap,20594432,0,0,0,0,0,0,1296,31.108610
47,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,512,134217728,0,usage,20594432,0,0,0,0,0,0,32583680,31.108658
43,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,32,134217728,0,write,61728256,5870191190,1732990,59278,5870191190,229996448,242802688,3600025733200,54.410297
43,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,32,134217728,0,stack,61728256,0,0,0,0,0,0,3488,54.410402
43,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,32,134217728,0,ctx,61728256,0,0,0,0,0,0,848,54.410457
43,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,32,134217728,0,heap,61728256,0,0,0,0,0,0,784,54.410504
43,bench_p26_wt,bench_p26_wt_many,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,32,134217728,0,usage,61728256,0,0,0,0,0,0,32002048,54.410550
