i,suite,case,NO_SET,PROG_SIZE,DISK_GEOMETRY,SEED,CHUNK,DISK_SIZE,FS,SKIP_WARMUP,SIM_TIME,FILE_COUNT,FILE_SIZE,SIZE,SIM_SIZE,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,0,2,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,284971520,0,0,0,0,0,0,2000,6.919309
13,bench_p26_wt,bench_p26_wt_linear,0,2,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,284971520,0,0,0,0,0,0,400,6.919354
13,bench_p26_wt,bench_p26_wt_linear,0,2,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,284971520,0,0,0,0,0,0,784,6.919403
13,bench_p26_wt,bench_p26_wt_linear,0,2,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,284971520,0,0,0,0,0,0,1880064,6.919438
23,bench_p26_wt,bench_p26_wt_linear,0,2048,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,284951104,293095230,1115288,69706,293095230,285513728,285515776,3600082842032,7.043853
23,bench_p26_wt,bench_p26_wt_linear,0,2048,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,284951104,0,0,0,0,0,0,2000,7.043941
23,bench_p26_wt,bench_p26_wt_linear,0,2048,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,284951104,0,0,0,0,0,0,400,7.043984
23,bench_p26_wt,bench_p26_wt_linear,0,2048,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,284951104,0,0,0,0,0,0,6160,7.044023
23,bench_p26_wt,bench_p26_wt_linear,0,2048,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,284951104,0,0,0,0,0,0,1867776,7.044058
24,bench_p26_wt,bench_p26_wt_linear,0,4096,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,284947008,292905962,1115296,69706,292905962,285515776,285515776,3600078511248,2.376751
24,bench_p26_wt,bench_p26_wt_linear,0,4096,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,284947008,0,0,0,0,0,0,2000,2.376821
24,bench_p26_wt,bench_p26_wt_linear,0,4096,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,284947008,0,0,0,0,0,0,400,2.376853
24,bench_p26_wt,bench_p26_wt_linear,0,4096,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,284947008,0,0,0,0,0,0,12304,2.376880
24,bench_p26_wt,bench_p26_wt_linear,0,4096,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,284947008,0,0,0,0,0,0,1863680,2.376905
25,bench_p26_wt,bench_p26_wt_random,0,1,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,18368,574935784,1117250,69998,574935784,285977229,286711808,3625289929399,29.616482
25,bench_p26_wt,bench_p26_wt_random,0,1,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,18368,0,0,0,0,0,0,1984,29.616621
25,bench_p26_wt,bench_p26_wt_random,0,1,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,18368,0,0,0,0,0,0,384,29.616688
25,bench_p26_wt,bench_p26_wt_random,0,1,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,18368,0,0,0,0,0,0,784,29.616741
25,bench_p26_wt,bench_p26_wt_random,0,1,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,18368,0,0,0,0,0,0,2101248,29.616790
28,bench_p26_wt,bench_p26_wt_random,0,8,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,18368,574935455,1117250,69998,574935455,285978312,286711808,3625289936816,29.678247
28,bench_p26_wt,bench_p26_wt_random,0,8,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,18368,0,0,0,0,0,0,1984,29.678393
28,bench_p26_wt,bench_p26_wt_random,0,8,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,18368,0,0,0,0,0,0,384,29.678459
28,bench_p26_wt,bench_p26_wt_random,0,8,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,18368,0,0,0,0,0,0,784,29.678513
28,bench_p26_wt,bench_p26_wt_random,0,8,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,18368,0,0,0,0,0,0,2101248,29.678566
27,bench_p26_wt,bench_p26_wt_random,0,4,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,18368,574937175,1117250,69998,574937175,285978000,286711808,3625289999688,29.681130
27,bench_p26_wt,bench_p26_wt_random,0,4,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,18368,0,0,0,0,0,0,1984,29.681212
27,bench_p26_wt,bench_p26_wt_random,0,4,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,18368,0,0,0,0,0,0,384,29.681272
27,bench_p26_wt,bench_p26_wt_random,0,4,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,18368,0,0,0,0,0,0,784,29.681322
27,bench_p26_wt,bench_p26_wt_random,0,4,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,18368,0,0,0,0,0,0,2101248,29.681372
35,bench_p26_wt,bench_p26_wt_random,0,1024,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,18368,578934765,1117588,69999,578934765,286102528,286715904,3625632511240,29.709505
35,bench_p26_wt,bench_p26_wt_random,0,1024,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,18368,0,0,0,0,0,0,1984,29.709606
35,bench_p26_wt,bench_p26_wt_random,0,1024,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,18368,0,0,0,0,0,0,384,29.709664
35,bench_p26_wt,bench_p26_wt_random,0,1024,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,18368,0,0,0,0,0,0,3088,29.709714
35,bench_p26_wt,bench_p26_wt_random,0,1024,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,18368,0,0,0,0,0,0,2101248,29.709763
34,bench_p26_wt,bench_p26_wt_random,0,512,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,18368,576644190,1117532,69998,576644190,286088192,286711808,3625473210032,29.713793
34,bench_p26_wt,bench_p26_wt_random,0,512,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,18368,0,0,0,0,0,0,1984,29.713876
34,bench_p26_wt,bench_p26_wt_random,0,512,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,18368,0,0,0,0,0,0,384,29.713944
34,bench_p26_wt,bench_p26_wt_random,0,512,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,18368,0,0,0,0,0,0,1552,29.713997
34,bench_p26_wt,bench_p26_wt_random,0,512,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,18368,0,0,0,0,0,0,2101248,29.714049
30,bench_p26_wt,bench_p26_wt_random,0,32,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,18368,574937979,1117250,69998,574937979,285979520,286711808,3625290060728,29.734740
30,bench_p26_wt,bench_p26_wt_random,0,32,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,18368,0,0,0,0,0,0,1984,29.734837
30,bench_p26_wt,bench_p26_wt_random,0,32,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,18368,0,0,0,0,0,0,384,29.734893
30,bench_p26_wt,bench_p26_wt_random,0,32,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,18368,0,0,0,0,0,0,784,29.734943
30,bench_p26_wt,bench_p26_wt_random,0,32,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,18368,0,0,0,0,0,0,2101248,29.734991
26,bench_p26_wt,bench_p26_wt_random,0,2,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,18368,574935627,1117250,69998,574935627,285977440,286711808,3625289927128,29.885657
26,bench_p26_wt,bench_p26_wt_random,0,2,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,18368,0,0,0,0,0,0,1984,29.885754
26,bench_p26_wt,bench_p26_wt_random,0,2,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,18368,0,0,0,0,0,0,384,29.885807
26,bench_p26_wt,bench_p26_wt_random,0,2,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,18368,0,0,0,0,0,0,784,29.885852
26,bench_p26_wt,bench_p26_wt_random,0,2,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,18368,0,0,0,0,0,0,2101248,29.885896
32,bench_p26_wt,bench_p26_wt_random,0,128,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,18368,576420519,1117250,69998,576420519,285983232,286711808,3625349432856,29.914443
32,bench_p26_wt,bench_p26_wt_random,0,128,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,18368,0,0,0,0,0,0,1984,29.914523
32,bench_p26_wt,bench_p26_wt_random,0,128,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,18368,0,0,0,0,0,0,384,29.914572
32,bench_p26_wt,bench_p26_wt_random,0,128,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,18368,0,0,0,0,0,0,784,29.914618
32,bench_p26_wt,bench_p26_wt_random,0,128,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,18368,0,0,0,0,0,0,2101248,29.914662
31,bench_p26_wt,bench_p26_wt_random,0,64,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,18368,575736875,1117250,69998,575736875,285981184,286711808,3625322048184,29.929168
31,bench_p26_wt,bench_p26_wt_random,0,64,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,18368,0,0,0,0,0,0,1984,29.929234
31,bench_p26_wt,bench_p26_wt_random,0,64,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,18368,0,0,0,0,0,0,384,29.929272
31,bench_p26_wt,bench_p26_wt_random,0,64,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,18368,0,0,0,0,0,0,784,29.929313
31,bench_p26_wt,bench_p26_wt_random,0,64,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,18368,0,0,0,0,0,0,2101248,29.929344
29,bench_p26_wt,bench_p26_wt_random,0,16,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,18368,574933583,1117250,69998,574933583,285978336,286711808,3625289862392,29.930741
29,bench_p26_wt,bench_p26_wt_random,0,16,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,18368,0,0,0,0,0,0,1984,29.930809
29,bench_p26_wt,bench_p26_wt_random,0,16,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,18368,0,0,0,0,0,0,384,29.930857
29,bench_p26_wt,bench_p26_wt_random,0,16,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,18368,0,0,0,0,0,0,784,29.930900
29,bench_p26_wt,bench_p26_wt_random,0,16,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,18368,0,0,0,0,0,0,2101248,29.930941
33,bench_p26_wt,bench_p26_wt_random,0,256,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,18368,576374227,1117250,69998,576374227,286016000,286711808,3625348203768,29.962078
33,bench_p26_wt,bench_p26_wt_random,0,256,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,18368,0,0,0,0,0,0,1984,29.962161
33,bench_p26_wt,bench_p26_wt_random,0,256,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,18368,0,0,0,0,0,0,384,29.962204
33,bench_p26_wt,bench_p26_wt_random,0,256,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,18368,0,0,0,0,0,0,784,29.962243
33,bench_p26_wt,bench_p26_wt_random,0,256,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,18368,0,0,0,0,0,0,2101248,29.962281
36,bench_p26_wt,bench_p26_wt_random,0,2048,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,18368,582373626,1117712,69999,582373626,286134272,286715904,3625820284688,30.323859
36,bench_p26_wt,bench_p26_wt_random,0,2048,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,18368,0,0,0,0,0,0,1984,30.323941
36,bench_p26_wt,bench_p26_wt_random,0,2048,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,18368,0,0,0,0,0,0,384,30.323976
36,bench_p26_wt,bench_p26_wt_random,0,2048,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,18368,0,0,0,0,0,0,6160,30.324005
36,bench_p26_wt,bench_p26_wt_random,0,2048,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,18368,0,0,0,0,0,0,2109440,30.324032
37,bench_p26_wt,bench_p26_wt_random,0,4096,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,18368,583902043,1120000,70000,583902043,286720000,286720000,3626853041720,10.561631
37,bench_p26_wt,bench_p26_wt_random,0,4096,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,18368,0,0,0,0,0,0,1984,10.561705
37,bench_p26_wt,bench_p26_wt_random,0,4096,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,18368,0,0,0,0,0,0,384,10.561738
37,bench_p26_wt,bench_p26_wt_random,0,4096,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,18368,0,0,0,0,0,0,12304,10.561765
37,bench_p26_wt,bench_p26_wt_random,0,4096,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,18368,0,0,0,0,0,0,2109440,10.561790
48,bench_p26_wt,bench_p26_wt_many,0,1024,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,2398976,56893196144,348952,26291,56893196144,89331712,107687936,3600110279040,526.473932
48,bench_p26_wt,bench_p26_wt_many,0,1024,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,2398976,0,0,0,0,0,0,2288,526.474053
48,bench_p26_wt,bench_p26_wt_many,0,1024,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,2398976,0,0,0,0,0,0,640,526.474115
