i,suite,case,NO_FRUNCATE,DISK_SIZE,FS,SEED,SIM_SIZE,CHUNK,BLOCK_SIZE,SKIP_WARMUP,NO_SET,FILE_COUNT,SIZE,SIM_TIME,DISK_GEOMETRY,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,262144,0,0,32768,2097152,3600000000000,1,64,ctx,4633406016,0,0,0,0,0,0,528,84.296692
18,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,262144,0,0,32768,2097152,3600000000000,1,64,heap,4633406016,0,0,0,0,0,0,1296,84.296717
18,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,262144,0,0,32768,2097152,3600000000000,1,64,usage,4633406016,0,0,0,0,0,0,1835008,84.296740
22,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,8192,0,0,32768,2097152,3600000000000,1,64,write,5832192,133149026,1069163,73988,2180058779,547411456,606109696,3600320833409,20.178843
22,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,8192,0,0,32768,2097152,3600000000000,1,64,stack,5832192,0,0,0,0,0,0,3088,20.178962
22,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,8192,0,0,32768,2097152,3600000000000,1,64,ctx,5832192,0,0,0,0,0,0,512,20.187273
22,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,8192,0,0,32768,2097152,3600000000000,1,64,heap,5832192,0,0,0,0,0,0,1296,20.187341
22,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,8192,0,0,32768,2097152,3600000000000,1,64,usage,5832192,0,0,0,0,0,0,4300800,20.187429
21,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,4096,0,0,32768,2097152,3600000000000,1,64,write,5719552,131547902,1202508,172560,2344746768,615684096,706805760,3600225351216,24.020075
21,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,4096,0,0,32768,2097152,3600000000000,1,64,stack,5719552,0,0,0,0,0,0,3072,24.020187
21,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,4096,0,0,32768,2097152,3600000000000,1,64,ctx,5719552,0,0,0,0,0,0,512,24.020238
21,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,4096,0,0,32768,2097152,3600000000000,1,64,heap,5719552,0,0,0,0,0,0,1296,24.020285
21,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,4096,0,0,32768,2097152,3600000000000,1,64,usage,5719552,0,0,0,0,0,0,4800512,24.020328
24,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,32768,0,0,32768,2097152,3600000000000,1,64,write,13704832,116180491,2562777,43924,3050363859,1312141824,1439301632,3600054089385,27.571978
24,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,32768,0,0,32768,2097152,3600000000000,1,64,stack,13704832,0,0,0,0,0,0,3152,27.572084
24,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,32768,0,0,32768,2097152,3600000000000,1,64,ctx,13704832,0,0,0,0,0,0,512,27.572139
24,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,32768,0,0,32768,2097152,3600000000000,1,64,heap,13704832,0,0,0,0,0,0,1296,27.572186
24,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,32768,0,0,32768,2097152,3600000000000,1,64,usage,13704832,0,0,0,0,0,0,4423680,27.572232
26,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,131072,0,0,32768,2097152,3600000000000,1,64,write,13064768,111909112,2945778,13343,3109638662,1508238336,1748893696,3600271712882,34.727379
26,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,131072,0,0,32768,2097152,3600000000000,1,64,stack,13064768,0,0,0,0,0,0,3008,34.727486
26,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,131072,0,0,32768,2097152,3600000000000,1,64,ctx,13064768,0,0,0,0,0,0,512,34.727539
26,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,131072,0,0,32768,2097152,3600000000000,1,64,heap,13064768,0,0,0,0,0,0,1296,34.727586
26,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,131072,0,0,32768,2097152,3600000000000,1,64,usage,13064768,0,0,0,0,0,0,5242880,34.727631
23,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,16384,0,0,32768,2097152,3600000000000,1,64,write,11841408,121845758,2062468,71038,2776436793,1055983616,1163886592,3600075639867,36.244656
23,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,16384,0,0,32768,2097152,3600000000000,1,64,stack,11841408,0,0,0,0,0,0,3152,36.244753
23,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,16384,0,0,32768,2097152,3600000000000,1,64,ctx,11841408,0,0,0,0,0,0,512,36.244798
23,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,16384,0,0,32768,2097152,3600000000000,1,64,heap,11841408,0,0,0,0,0,0,1296,36.244834
23,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,16384,0,0,32768,2097152,3600000000000,1,64,usage,11841408,0,0,0,0,0,0,4308992,36.244869
25,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,65536,0,0,32768,2097152,3600000000000,1,64,write,13279360,114075352,2750602,23750,3114876843,1408308224,1556480000,3600057980337,36.934136
25,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,65536,0,0,32768,2097152,3600000000000,1,64,stack,13279360,0,0,0,0,0,0,3008,36.934221
25,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,65536,0,0,32768,2097152,3600000000000,1,64,ctx,13279360,0,0,0,0,0,0,512,36.934263
25,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,65536,0,0,32768,2097152,3600000000000,1,64,heap,13279360,0,0,0,0,0,0,1296,36.934296
25,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,65536,0,0,32768,2097152,3600000000000,1,64,usage,13279360,0,0,0,0,0,0,4915200,36.934328
27,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,262144,0,0,32768,2097152,3600000000000,1,64,write,17934976,103167492,3734204,19882,3021494512,1911912448,2605973504,3601281892816,38.572917
27,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,262144,0,0,32768,2097152,3600000000000,1,64,stack,17934976,0,0,0,0,0,0,3152,38.572993
27,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,262144,0,0,32768,2097152,3600000000000,1,64,ctx,17934976,0,0,0,0,0,0,512,38.573045
27,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,262144,0,0,32768,2097152,3600000000000,1,64,heap,17934976,0,0,0,0,0,0,1296,38.573079
27,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,262144,0,0,32768,2097152,3600000000000,1,64,usage,17934976,0,0,0,0,0,0,4718592,38.573109
29,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,1048576,0,0,32768,2097152,3600000000000,1,64,write,22271104,81946497,5399060,59912,3575773274,2764318720,7852785664,3601158178478,39.985995
29,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,1048576,0,0,32768,2097152,3600000000000,1,64,stack,22271104,0,0,0,0,0,0,3168,39.986070
29,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,1048576,0,0,32768,2097152,3600000000000,1,64,ctx,22271104,0,0,0,0,0,0,512,39.986111
29,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,1048576,0,0,32768,2097152,3600000000000,1,64,heap,22271104,0,0,0,0,0,0,1296,39.986152
29,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,1048576,0,0,32768,2097152,3600000000000,1,64,usage,22271104,0,0,0,0,0,0,10485760,39.986186
28,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,524288,0,0,32768,2097152,3600000000000,1,64,write,22121664,87721437,5036403,36108,3483098892,2578638336,4732747776,3600381767652,40.237360
28,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,524288,0,0,32768,2097152,3600000000000,1,64,stack,22121664,0,0,0,0,0,0,3152,40.237419
28,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,524288,0,0,32768,2097152,3600000000000,1,64,ctx,22121664,0,0,0,0,0,0,512,40.237450
28,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,524288,0,0,32768,2097152,3600000000000,1,64,heap,22121664,0,0,0,0,0,0,1296,40.237476
28,bench_p26_wt,bench_p26_wt_random,0,134217728,30,42,0,64,524288,0,0,32768,2097152,3600000000000,1,64,usage,22121664,0,0,0,0,0,0,6291456,40.237499
30,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,4096,0,0,32768,2097152,3600000000000,1,64,write,21336832,138784049,479739,69635,3181118078,245626368,285224960,3600008974682,45.970212
30,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,4096,0,0,32768,2097152,3600000000000,1,64,stack,21336832,0,0,0,0,0,0,3312,45.970325
30,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,4096,0,0,32768,2097152,3600000000000,1,64,ctx,21336832,0,0,0,0,0,0,752,45.970393
