i,suite,case,DISK_SIZE,SEED,FILE_COUNT,NO_SET,SKIP_WARMUP,DISK_GEOMETRY,FS,READ_SIZE,SIM_SIZE,CHUNK,FILE_SIZE,SIZE,NO_FRUNCATE,SIM_TIME,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
15,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,8,0,64,64,2097152,0,3600000000000,write,258617664,119713736,1199656,69114,119713736,276365352,283090944,3600092557880,9.631901
15,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,8,0,64,64,2097152,0,3600000000000,stack,258617664,0,0,0,0,0,0,3312,9.631988
15,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,8,0,64,64,2097152,0,3600000000000,ctx,258617664,0,0,0,0,0,0,624,9.632097
15,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,8,0,64,64,2097152,0,3600000000000,heap,258617664,0,0,0,0,0,0,784,9.632145
15,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,8,0,64,64,2097152,0,3600000000000,usage,258617664,0,0,0,0,0,0,720896,9.632177
14,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,4,0,64,64,2097152,0,3600000000000,write,258654528,106412512,1199826,69123,106412512,276404100,283127808,3600034254796,9.638893
14,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,4,0,64,64,2097152,0,3600000000000,stack,258654528,0,0,0,0,0,0,3312,9.638953
14,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,4,0,64,64,2097152,0,3600000000000,ctx,258654528,0,0,0,0,0,0,624,9.638998
14,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,4,0,64,64,2097152,0,3600000000000,heap,258654528,0,0,0,0,0,0,784,9.639054
14,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,4,0,64,64,2097152,0,3600000000000,usage,258654528,0,0,0,0,0,0,757760,9.639093
13,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,2,0,64,64,2097152,0,3600000000000,write,258679104,98677360,1199938,69129,98677360,276429934,283152384,3600040145834,9.747863
13,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,2,0,64,64,2097152,0,3600000000000,stack,258679104,0,0,0,0,0,0,3312,9.747934
13,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,2,0,64,64,2097152,0,3600000000000,ctx,258679104,0,0,0,0,0,0,624,9.747967
13,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,2,0,64,64,2097152,0,3600000000000,heap,258679104,0,0,0,0,0,0,784,9.747993
13,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,2,0,64,64,2097152,0,3600000000000,usage,258679104,0,0,0,0,0,0,782336,9.748018
24,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,4096,0,64,64,2097152,0,3600000000000,write,255320128,1481367552,1180817,68073,1481367552,272216678,278827008,3600098273426,3.609041
24,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,4096,0,64,64,2097152,0,3600000000000,stack,255320128,0,0,0,0,0,0,3312,3.609109
24,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,4096,0,64,64,2097152,0,3600000000000,ctx,255320128,0,0,0,0,0,0,624,3.609139
24,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,4096,0,64,64,2097152,0,3600000000000,heap,255320128,0,0,0,0,0,0,8464,3.609164
24,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,4096,0,64,64,2097152,0,3600000000000,usage,255320128,0,0,0,0,0,0,1634304,3.609187
36,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,2048,0,64,64,2097152,0,3600000000000,write,6217664,19154352128,1602939,48651,19154352128,173574690,199274496,3600082393478,13.528999
36,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,2048,0,64,64,2097152,0,3600000000000,stack,6217664,0,0,0,0,0,0,3296,13.529130
36,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,2048,0,64,64,2097152,0,3600000000000,ctx,6217664,0,0,0,0,0,0,608,13.529189
36,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,2048,0,64,64,2097152,0,3600000000000,heap,6217664,0,0,0,0,0,0,4368,13.529241
36,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,2048,0,64,64,2097152,0,3600000000000,usage,6217664,0,0,0,0,0,0,4780032,13.529291
35,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,1024,0,64,64,2097152,0,3600000000000,write,6631232,14427185152,1711901,51878,14427185152,185310241,212492288,3600028099955,14.725077
35,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,1024,0,64,64,2097152,0,3600000000000,stack,6631232,0,0,0,0,0,0,3296,14.725187
35,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,1024,0,64,64,2097152,0,3600000000000,ctx,6631232,0,0,0,0,0,0,608,14.725257
35,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,1024,0,64,64,2097152,0,3600000000000,heap,6631232,0,0,0,0,0,0,2320,14.725311
35,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,1024,0,64,64,2097152,0,3600000000000,usage,6631232,0,0,0,0,0,0,4759552,14.725360
