i,suite,case,FILE_SIZE,NO_FRUNCATE,FS,PROG_SIZE,FILE_COUNT,DISK_GEOMETRY,SIM_TIME,NO_SET,CHUNK,SEED,SIM_SIZE,DISK_SIZE,SIZE,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,64,0,33,1,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,2323101504,0,0,0,0,0,0,624,58.460667
12,bench_p26_wt,bench_p26_wt_linear,64,0,33,1,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,2323101504,0,0,0,0,0,0,784,58.460705
12,bench_p26_wt,bench_p26_wt_linear,64,0,33,1,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,2323101504,0,0,0,0,0,0,2228224,58.460740
21,bench_p26_wt,bench_p26_wt_linear,64,0,33,512,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,4630589504,28918859,10728232,41919,1158180569,5492854784,5494407168,3600008792603,81.760238
21,bench_p26_wt,bench_p26_wt_linear,64,0,33,512,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,4630589504,0,0,0,0,0,0,3312,81.760333
21,bench_p26_wt,bench_p26_wt_linear,64,0,33,512,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,4630589504,0,0,0,0,0,0,624,81.760375
21,bench_p26_wt,bench_p26_wt_linear,64,0,33,512,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,4630589504,0,0,0,0,0,0,1296,81.760410
21,bench_p26_wt,bench_p26_wt_linear,64,0,33,512,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,4630589504,0,0,0,0,0,0,786432,81.760442
22,bench_p26_wt,bench_p26_wt_linear,64,0,33,1024,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,7687713856,37173046,9266142,72420,2556746999,9488529408,9492234240,3600009719381,116.680291
22,bench_p26_wt,bench_p26_wt_linear,64,0,33,1024,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,7687713856,0,0,0,0,0,0,3232,116.680376
22,bench_p26_wt,bench_p26_wt_linear,64,0,33,1024,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,7687713856,0,0,0,0,0,0,624,116.680425
22,bench_p26_wt,bench_p26_wt_linear,64,0,33,1024,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,7687713856,0,0,0,0,0,0,2320,116.680459
22,bench_p26_wt,bench_p26_wt_linear,64,0,33,1024,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,7687713856,0,0,0,0,0,0,2359296,116.680489
23,bench_p26_wt,bench_p26_wt_linear,64,0,33,2048,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,10254938176,51533182,7008966,109591,4952701769,14354362368,14364311552,3600010581611,148.098543
23,bench_p26_wt,bench_p26_wt_linear,64,0,33,2048,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,10254938176,0,0,0,0,0,0,3232,148.098625
23,bench_p26_wt,bench_p26_wt_linear,64,0,33,2048,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,10254938176,0,0,0,0,0,0,624,148.098662
23,bench_p26_wt,bench_p26_wt_linear,64,0,33,2048,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,10254938176,0,0,0,0,0,0,4368,148.098692
23,bench_p26_wt,bench_p26_wt_linear,64,0,33,2048,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,10254938176,0,0,0,0,0,0,2621440,148.098721
24,bench_p26_wt,bench_p26_wt_linear,64,0,33,4096,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,9766309952,47035493,7309170,114351,5715647230,14969180160,14988214272,3600019189978,111.421884
24,bench_p26_wt,bench_p26_wt_linear,64,0,33,4096,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,9766309952,0,0,0,0,0,0,3232,111.421957
24,bench_p26_wt,bench_p26_wt_linear,64,0,33,4096,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,9766309952,0,0,0,0,0,0,624,111.421988
24,bench_p26_wt,bench_p26_wt_linear,64,0,33,4096,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,9766309952,0,0,0,0,0,0,8464,111.422015
24,bench_p26_wt,bench_p26_wt_linear,64,0,33,4096,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,9766309952,0,0,0,0,0,0,2621440,111.422040
27,bench_p26_wt,bench_p26_wt_random,64,0,33,4,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,14676544,86929325,5538787,10537,1995556160,1127459128,1381105664,3600328131304,35.779554
27,bench_p26_wt,bench_p26_wt_random,64,0,33,4,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,14676544,0,0,0,0,0,0,3248,35.779693
27,bench_p26_wt,bench_p26_wt_random,64,0,33,4,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,14676544,0,0,0,0,0,0,608,35.779754
27,bench_p26_wt,bench_p26_wt_random,64,0,33,4,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,14676544,0,0,0,0,0,0,784,35.779804
27,bench_p26_wt,bench_p26_wt_random,64,0,33,4,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,14676544,0,0,0,0,0,0,5767168,35.779853
26,bench_p26_wt,bench_p26_wt_random,64,0,33,2,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,14775808,86704891,5559522,10588,1995743382,1131116404,1387790336,3600166521022,35.931139
26,bench_p26_wt,bench_p26_wt_random,64,0,33,2,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,14775808,0,0,0,0,0,0,3248,35.931247
26,bench_p26_wt,bench_p26_wt_random,64,0,33,2,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,14775808,0,0,0,0,0,0,608,35.931304
26,bench_p26_wt,bench_p26_wt_random,64,0,33,2,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,14775808,0,0,0,0,0,0,784,35.931351
26,bench_p26_wt,bench_p26_wt_random,64,0,33,2,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,14775808,0,0,0,0,0,0,5767168,35.931401
25,bench_p26_wt,bench_p26_wt_random,64,0,33,1,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,14904256,86592648,5571198,10646,1988998804,1134514581,1395392512,3600375806731,35.950724
25,bench_p26_wt,bench_p26_wt_random,64,0,33,1,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,14904256,0,0,0,0,0,0,3248,35.950814
25,bench_p26_wt,bench_p26_wt_random,64,0,33,1,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,14904256,0,0,0,0,0,0,608,35.950873
25,bench_p26_wt,bench_p26_wt_random,64,0,33,1,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,14904256,0,0,0,0,0,0,784,35.950938
25,bench_p26_wt,bench_p26_wt_random,64,0,33,1,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,14904256,0,0,0,0,0,0,4849664,35.950985
28,bench_p26_wt,bench_p26_wt_random,64,0,33,8,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,14552704,87164921,5515603,10487,1998801215,1124337328,1374552064,3600229514941,36.421458
28,bench_p26_wt,bench_p26_wt_random,64,0,33,8,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,14552704,0,0,0,0,0,0,3248,36.421561
28,bench_p26_wt,bench_p26_wt_random,64,0,33,8,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,14552704,0,0,0,0,0,0,608,36.421616
28,bench_p26_wt,bench_p26_wt_random,64,0,33,8,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,14552704,0,0,0,0,0,0,784,36.421661
28,bench_p26_wt,bench_p26_wt_random,64,0,33,8,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,14552704,0,0,0,0,0,0,4980736,36.421705
31,bench_p26_wt,bench_p26_wt_random,64,0,33,64,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,14213120,89097537,5316703,10626,2072578056,1148140864,1392771072,3600156439640,36.686652
31,bench_p26_wt,bench_p26_wt_random,64,0,33,64,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,14213120,0,0,0,0,0,0,3200,36.686763
31,bench_p26_wt,bench_p26_wt_random,64,0,33,64,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,14213120,0,0,0,0,0,0,608,36.686819
31,bench_p26_wt,bench_p26_wt_random,64,0,33,64,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,14213120,0,0,0,0,0,0,784,36.686869
31,bench_p26_wt,bench_p26_wt_random,64,0,33,64,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,14213120,0,0,0,0,0,0,5767168,36.686916
29,bench_p26_wt,bench_p26_wt_random,64,0,33,16,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,14514368,87535225,5478024,10522,2006962561,1128325280,1379139584,3600240416883,36.728913
29,bench_p26_wt,bench_p26_wt_random,64,0,33,16,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,14514368,0,0,0,0,0,0,3248,36.729011
29,bench_p26_wt,bench_p26_wt_random,64,0,33,16,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,14514368,0,0,0,0,0,0,608,36.729065
29,bench_p26_wt,bench_p26_wt_random,64,0,33,16,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,14514368,0,0,0,0,0,0,784,36.729113
29,bench_p26_wt,bench_p26_wt_random,64,0,33,16,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,14514368,0,0,0,0,0,0,5898240,36.729155
32,bench_p26_wt,bench_p26_wt_random,64,0,33,128,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,13177664,93251685,4905568,10368,2161516187,1128477312,1358954496,3600333202689,36.826811
32,bench_p26_wt,bench_p26_wt_random,64,0,33,128,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,13177664,0,0,0,0,0,0,3200,36.826907
32,bench_p26_wt,bench_p26_wt_random,64,0,33,128,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,13177664,0,0,0,0,0,0,608,36.826957
32,bench_p26_wt,bench_p26_wt_random,64,0,33,128,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,13177664,0,0,0,0,0,0,784,36.826999
32,bench_p26_wt,bench_p26_wt_random,64,0,33,128,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,13177664,0,0,0,0,0,0,5242880,36.827038
30,bench_p26_wt,bench_p26_wt_random,64,0,33,32,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,14427968,88031585,5427461,10535,2029544778,1133643456,1380843520,3600361157822,36.857422
30,bench_p26_wt,bench_p26_wt_random,64,0,33,32,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,14427968,0,0,0,0,0,0,3248,36.857510
30,bench_p26_wt,bench_p26_wt_random,64,0,33,32,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,14427968,0,0,0,0,0,0,608,36.857562
30,bench_p26_wt,bench_p26_wt_random,64,0,33,32,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,14427968,0,0,0,0,0,0,784,36.857607
30,bench_p26_wt,bench_p26_wt_random,64,0,33,32,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,14427968,0,0,0,0,0,0,5242880,36.857651
33,bench_p26_wt,bench_p26_wt_random,64,0,33,256,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,13253440,94341995,4766164,11119,2411808886,1220137984,1457389568,3600271375554,38.556302
33,bench_p26_wt,bench_p26_wt_random,64,0,33,256,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,13253440,0,0,0,0,0,0,3248,38.556401
33,bench_p26_wt,bench_p26_wt_random,64,0,33,256,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,13253440,0,0,0,0,0,0,608,38.556451
33,bench_p26_wt,bench_p26_wt_random,64,0,33,256,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,13253440,0,0,0,0,0,0,784,38.556495
33,bench_p26_wt,bench_p26_wt_random,64,0,33,256,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,13253440,0,0,0,0,0,0,6029312,38.556538
34,bench_p26_wt,bench_p26_wt_random,64,0,33,512,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,13076096,111871247,2948980,13361,3107402239,1509877760,1751252992,3600165228013,41.728317
34,bench_p26_wt,bench_p26_wt_random,64,0,33,512,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,13076096,0,0,0,0,0,0,3120,41.728413
34,bench_p26_wt,bench_p26_wt_random,64,0,33,512,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,13076096,0,0,0,0,0,0,608,41.736738
34,bench_p26_wt,bench_p26_wt_random,64,0,33,512,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,13076096,0,0,0,0,0,0,1296,41.736796
34,bench_p26_wt,bench_p26_wt_random,64,0,33,512,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,13076096,0,0,0,0,0,0,5373952,41.736836
36,bench_p26_wt,bench_p26_wt_random,64,0,33,2048,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,5707712,133998599,749332,12680,3514036156,1534631936,1661992960,3601229253364,42.256270
36,bench_p26_wt,bench_p26_wt_random,64,0,33,2048,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,5707712,0,0,0,0,0,0,3200,42.256352
36,bench_p26_wt,bench_p26_wt_random,64,0,33,2048,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,5707712,0,0,0,0,0,0,608,42.256391
36,bench_p26_wt,bench_p26_wt_random,64,0,33,2048,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,5707712,0,0,0,0,0,0,4368,42.256424
36,bench_p26_wt,bench_p26_wt_random,64,0,33,2048,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,5707712,0,0,0,0,0,0,5373952,42.256455
35,bench_p26_wt,bench_p26_wt_random,64,0,33,1024,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,9562816,125877230,1544713,13476,3445926191,1581786112,1766326272,3601536043645,42.571816
35,bench_p26_wt,bench_p26_wt_random,64,0,33,1024,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,9562816,0,0,0,0,0,0,3200,42.571892
35,bench_p26_wt,bench_p26_wt_random,64,0,33,1024,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,9562816,0,0,0,0,0,0,608,42.571927
35,bench_p26_wt,bench_p26_wt_random,64,0,33,1024,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,9562816,0,0,0,0,0,0,2320,42.571956
35,bench_p26_wt,bench_p26_wt_random,64,0,33,1024,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,9562816,0,0,0,0,0,0,5373952,42.571985
37,bench_p26_wt,bench_p26_wt_random,64,0,33,4096,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,3046016,134790370,700540,11598,3387068339,1434705920,1520173056,3602058562121,18.549978
37,bench_p26_wt,bench_p26_wt_random,64,0,33,4096,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,3046016,0,0,0,0,0,0,3200,18.550049
37,bench_p26_wt,bench_p26_wt_random,64,0,33,4096,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,3046016,0,0,0,0,0,0,608,18.550081
37,bench_p26_wt,bench_p26_wt_random,64,0,33,4096,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,3046016,0,0,0,0,0,0,8464,18.550107
37,bench_p26_wt,bench_p26_wt_random,64,0,33,4096,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,3046016,0,0,0,0,0,0,5767168,18.550132
49,bench_p26_wt,bench_p26_wt_many,64,0,33,2048,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,9182464,136471096,232392,3729,9051783130,475938816,488767488,3600336420142,116.925658
49,bench_p26_wt,bench_p26_wt_many,64,0,33,2048,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,9182464,0,0,0,0,0,0,3312,116.925776
49,bench_p26_wt,bench_p26_wt_many,64,0,33,2048,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,9182464,0,0,0,0,0,0,848,116.925848
49,bench_p26_wt,bench_p26_wt_many,64,0,33,2048,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,9182464,0,0,0,0,0,0,4368,116.925910
49,bench_p26_wt,bench_p26_wt_many,64,0,33,2048,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,9182464,0,0,0,0,0,0,34340864,116.925958
48,bench_p26_wt,bench_p26_wt_many,64,0,33,1024,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,12067968,133656973,293638,2360,12186096659,300685312,309329920,3600009790825,154.352999
48,bench_p26_wt,bench_p26_wt_many,64,0,33,1024,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,12067968,0,0,0,0,0,0,3312,154.353112
48,bench_p26_wt,bench_p26_wt_many,64,0,33,1024,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,12067968,0,0,0,0,0,0,848,154.353170
48,bench_p26_wt,bench_p26_wt_many,64,0,33,1024,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,12067968,0,0,0,0,0,0,2320,154.353220
48,bench_p26_wt,bench_p26_wt_many,64,0,33,1024,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,12067968,0,0,0,0,0,0,34340864,154.353268
47,bench_p26_wt,bench_p26_wt_many,64,0,33,512,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,13003072,131124368,313669,1278,15475130734,160598528,167510016,3600476055850,179.178428
47,bench_p26_wt,bench_p26_wt_many,64,0,33,512,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,13003072,0,0,0,0,0,0,3312,179.178547
47,bench_p26_wt,bench_p26_wt_many,64,0,33,512,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,13003072,0,0,0,0,0,0,848,179.178606
47,bench_p26_wt,bench_p26_wt_many,64,0,33,512,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,13003072,0,0,0,0,0,0,1296,179.178660
47,bench_p26_wt,bench_p26_wt_many,64,0,33,512,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,13003072,0,0,0,0,0,0,34078720,179.178713
40,bench_p26_wt,bench_p26_wt_many,64,0,33,4,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,9536768,129823121,286059,460,17690759765,52109656,60293120,3600025494999,183.599953
40,bench_p26_wt,bench_p26_wt_many,64,0,33,4,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,9536768,0,0,0,0,0,0,3488,183.600056
40,bench_p26_wt,bench_p26_wt_many,64,0,33,4,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,9536768,0,0,0,0,0,0,848,183.600112
40,bench_p26_wt,bench_p26_wt_many,64,0,33,4,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,9536768,0,0,0,0,0,0,784,183.600162
