i,suite,case,SIM_TIME,READ_SIZE,DISK_GEOMETRY,SIM_SIZE,FILE_SIZE,DISK_SIZE,SIZE,SKIP_WARMUP,FILE_COUNT,CHUNK,NO_FRUNCATE,FS,NO_SET,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,256,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,5064490048,0,0,0,0,0,0,2490368,118.214398
22,bench_p26_wt,bench_p26_wt_linear,3600000000000,1024,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,7571375168,16272170,10333700,67694,16662702080,8867663360,8872787968,3600010560000,137.792148
22,bench_p26_wt,bench_p26_wt_linear,3600000000000,1024,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,7571375168,0,0,0,0,0,0,3120,137.792248
22,bench_p26_wt,bench_p26_wt_linear,3600000000000,1024,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,7571375168,0,0,0,0,0,0,528,137.792287
22,bench_p26_wt,bench_p26_wt_linear,3600000000000,1024,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,7571375168,0,0,0,0,0,0,2576,137.792320
22,bench_p26_wt,bench_p26_wt_linear,3600000000000,1024,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,7571375168,0,0,0,0,0,0,1179648,137.792349
23,bench_p26_wt,bench_p26_wt_linear,3600000000000,2048,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,10337839168,15990461,8731607,90514,32748464128,11852948992,11863851008,3600010582528,165.063154
23,bench_p26_wt,bench_p26_wt_linear,3600000000000,2048,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,10337839168,0,0,0,0,0,0,3168,165.063230
23,bench_p26_wt,bench_p26_wt_linear,3600000000000,2048,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,10337839168,0,0,0,0,0,0,528,165.063266
23,bench_p26_wt,bench_p26_wt_linear,3600000000000,2048,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,10337839168,0,0,0,0,0,0,4624,165.063295
23,bench_p26_wt,bench_p26_wt_linear,3600000000000,2048,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,10337839168,0,0,0,0,0,0,1572864,165.063322
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,4096,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,11049635904,18533594,8046702,92733,37956800512,12131976192,12154699776,3600005635072,96.614687
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,4096,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,11049635904,0,0,0,0,0,0,3104,96.614755
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,4096,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,11049635904,0,0,0,0,0,0,528,96.614786
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,4096,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,11049635904,0,0,0,0,0,0,8720,96.614811
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,4096,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,11049635904,0,0,0,0,0,0,2359296,96.614834
26,bench_p26_wt,bench_p26_wt_random,3600000000000,2,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,8025024,125321944,1800388,8160,1971252498,921798656,1069547520,3600761024598,35.517620
26,bench_p26_wt,bench_p26_wt_random,3600000000000,2,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,8025024,0,0,0,0,0,0,3008,35.517736
26,bench_p26_wt,bench_p26_wt_random,3600000000000,2,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,8025024,0,0,0,0,0,0,512,35.517792
26,bench_p26_wt,bench_p26_wt_random,3600000000000,2,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,8025024,0,0,0,0,0,0,1296,35.517851
26,bench_p26_wt,bench_p26_wt_random,3600000000000,2,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,8025024,0,0,0,0,0,0,5505024,35.517899
27,bench_p26_wt,bench_p26_wt_random,3600000000000,4,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,8195584,124833634,1838165,8332,2093909672,941140480,1092091904,3601235274872,35.836619
27,bench_p26_wt,bench_p26_wt_random,3600000000000,4,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,8195584,0,0,0,0,0,0,3008,35.836723
27,bench_p26_wt,bench_p26_wt_random,3600000000000,4,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,8195584,0,0,0,0,0,0,512,35.836778
27,bench_p26_wt,bench_p26_wt_random,3600000000000,4,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,8195584,0,0,0,0,0,0,1296,35.836827
27,bench_p26_wt,bench_p26_wt_random,3600000000000,4,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,8195584,0,0,0,0,0,0,5373952,35.836874
28,bench_p26_wt,bench_p26_wt_random,3600000000000,8,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,10182336,119332433,2290169,10369,2808045680,1172566528,1359085568,3600944254544,40.994859
28,bench_p26_wt,bench_p26_wt_random,3600000000000,8,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,10182336,0,0,0,0,0,0,3008,40.994975
28,bench_p26_wt,bench_p26_wt_random,3600000000000,8,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,10182336,0,0,0,0,0,0,512,41.003293
28,bench_p26_wt,bench_p26_wt_random,3600000000000,8,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,10182336,0,0,0,0,0,0,1296,41.003372
28,bench_p26_wt,bench_p26_wt_random,3600000000000,8,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,10182336,0,0,0,0,0,0,5242880,41.003424
36,bench_p26_wt,bench_p26_wt_random,3600000000000,2048,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,12893120,44421926,2905664,13161,90976104448,1487699968,1725038592,3600398700544,41.784156
36,bench_p26_wt,bench_p26_wt_random,3600000000000,2048,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,12893120,0,0,0,0,0,0,2960,41.784267
36,bench_p26_wt,bench_p26_wt_random,3600000000000,2048,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,12893120,0,0,0,0,0,0,512,41.784328
36,bench_p26_wt,bench_p26_wt_random,3600000000000,2048,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,12893120,0,0,0,0,0,0,4624,41.784379
36,bench_p26_wt,bench_p26_wt_random,3600000000000,2048,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,12893120,0,0,0,0,0,0,5373952,41.784428
35,bench_p26_wt,bench_p26_wt_random,3600000000000,1024,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,15668480,60184570,3538522,16015,61628999680,1811723264,2099118080,3600077452288,44.928712
35,bench_p26_wt,bench_p26_wt_random,3600000000000,1024,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,15668480,0,0,0,0,0,0,2960,44.928813
35,bench_p26_wt,bench_p26_wt_random,3600000000000,1024,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,15668480,0,0,0,0,0,0,512,44.928865
35,bench_p26_wt,bench_p26_wt_random,3600000000000,1024,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,15668480,0,0,0,0,0,0,2576,44.928910
35,bench_p26_wt,bench_p26_wt_random,3600000000000,1024,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,15668480,0,0,0,0,0,0,5111808,44.928952
25,bench_p26_wt,bench_p26_wt_random,3600000000000,1,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,13064768,111904658,2945779,13343,3109518700,1508238848,1748893696,3600160231684,45.064306
25,bench_p26_wt,bench_p26_wt_random,3600000000000,1,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,13064768,0,0,0,0,0,0,3008,45.064407
25,bench_p26_wt,bench_p26_wt_random,3600000000000,1,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,13064768,0,0,0,0,0,0,512,45.064458
25,bench_p26_wt,bench_p26_wt_random,3600000000000,1,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,13064768,0,0,0,0,0,0,1296,45.064502
