i,suite,case,PROG_SIZE,DISK_GEOMETRY,NO_FRUNCATE,SIM_TIME,SEED,FILE_SIZE,FS,SIZE,CHUNK,SIM_SIZE,NO_SET,DISK_SIZE,SKIP_WARMUP,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
24,bench_p26_wt,bench_p26_wt_linear,4096,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,9766309952,0,0,0,0,0,0,624,108.940117
24,bench_p26_wt,bench_p26_wt_linear,4096,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,9766309952,0,0,0,0,0,0,8464,108.940141
24,bench_p26_wt,bench_p26_wt_linear,4096,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,9766309952,0,0,0,0,0,0,2621440,108.940164
25,bench_p26_wt,bench_p26_wt_random,1,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,14904256,86592648,5571198,10646,1988998804,1134514581,1395392512,3600375806731,32.192743
25,bench_p26_wt,bench_p26_wt_random,1,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,14904256,0,0,0,0,0,0,3248,32.192868
25,bench_p26_wt,bench_p26_wt_random,1,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,14904256,0,0,0,0,0,0,608,32.192922
25,bench_p26_wt,bench_p26_wt_random,1,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,14904256,0,0,0,0,0,0,784,32.192981
25,bench_p26_wt,bench_p26_wt_random,1,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,14904256,0,0,0,0,0,0,4849664,32.193027
26,bench_p26_wt,bench_p26_wt_random,2,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,14775808,86704891,5559522,10588,1995743382,1131116404,1387790336,3600166521022,32.464442
26,bench_p26_wt,bench_p26_wt_random,2,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,14775808,0,0,0,0,0,0,3248,32.464549
26,bench_p26_wt,bench_p26_wt_random,2,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,14775808,0,0,0,0,0,0,608,32.464602
26,bench_p26_wt,bench_p26_wt_random,2,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,14775808,0,0,0,0,0,0,784,32.464646
26,bench_p26_wt,bench_p26_wt_random,2,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,14775808,0,0,0,0,0,0,5767168,32.464690
29,bench_p26_wt,bench_p26_wt_random,16,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,14514368,87535225,5478024,10522,2006962561,1128325280,1379139584,3600240416883,32.462200
29,bench_p26_wt,bench_p26_wt_random,16,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,14514368,0,0,0,0,0,0,3248,32.462271
29,bench_p26_wt,bench_p26_wt_random,16,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,14514368,0,0,0,0,0,0,608,32.462322
29,bench_p26_wt,bench_p26_wt_random,16,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,14514368,0,0,0,0,0,0,784,32.462366
29,bench_p26_wt,bench_p26_wt_random,16,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,14514368,0,0,0,0,0,0,5898240,32.462421
28,bench_p26_wt,bench_p26_wt_random,8,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,14552704,87164921,5515603,10487,1998801215,1124337328,1374552064,3600229514941,32.457970
28,bench_p26_wt,bench_p26_wt_random,8,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,14552704,0,0,0,0,0,0,3248,32.458041
