i,suite,case,SEED,SIM_TIME,CHUNK,FILE_SIZE,FS,SKIP_WARMUP,NO_SET,FILE_COUNT,DISK_GEOMETRY,SIM_SIZE,SIZE,NO_FRUNCATE,DISK_SIZE,READ_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2,ctx,284971520,0,0,0,0,0,0,400,5.312598
13,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2,heap,284971520,0,0,0,0,0,0,784,5.312627
13,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2,usage,284971520,0,0,0,0,0,0,1880064,5.312653
15,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,8,write,284967424,287560592,1115331,69709,287560592,285523524,285528064,3600013844108,5.368572
15,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,8,stack,284967424,0,0,0,0,0,0,2000,5.368637
15,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,8,ctx,284967424,0,0,0,0,0,0,400,5.368673
15,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,8,heap,284967424,0,0,0,0,0,0,784,5.368714
15,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,8,usage,284967424,0,0,0,0,0,0,1875968,5.368744
12,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1,write,284971520,287042694,1115347,69710,287042694,285527628,285532160,3600044606868,5.451078
12,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1,stack,284971520,0,0,0,0,0,0,2000,5.451136
