i,suite,case,FS,CHUNK,FILE_SIZE,FILE_COUNT,SKIP_WARMUP,SEED,NO_FRUNCATE,SIM_SIZE,NO_SET,SIM_TIME,SIZE,DISK_SIZE,DISK_GEOMETRY,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
25,bench_p26_wt,bench_p26_wt_linear,33,64,64,131072,0,42,0,0,1,3600000000000,8388608,134217728,0,heap,253567296,0,0,0,0,0,0,784,6.108655
25,bench_p26_wt,bench_p26_wt_linear,33,64,64,131072,0,42,0,0,1,3600000000000,8388608,134217728,0,usage,253567296,0,0,0,0,0,0,2035712,6.108682
26,bench_p26_wt,bench_p26_wt_linear,33,64,64,262144,0,42,0,0,1,3600000000000,16777216,134217728,0,write,247013696,144253122,1251506,68631,144253122,274239552,281112576,3600046029072,5.026416
26,bench_p26_wt,bench_p26_wt_linear,33,64,64,262144,0,42,0,0,1,3600000000000,16777216,134217728,0,stack,247013696,0,0,0,0,0,0,3264,5.026492
26,bench_p26_wt,bench_p26_wt_linear,33,64,64,262144,0,42,0,0,1,3600000000000,16777216,134217728,0,ctx,247013696,0,0,0,0,0,0,624,5.026525
26,bench_p26_wt,bench_p26_wt_linear,33,64,64,262144,0,42,0,0,1,3600000000000,16777216,134217728,0,heap,247013696,0,0,0,0,0,0,784,5.026551
26,bench_p26_wt,bench_p26_wt_linear,33,64,64,262144,0,42,0,0,1,3600000000000,16777216,134217728,0,usage,247013696,0,0,0,0,0,0,12607488,5.026576
27,bench_p26_wt,bench_p26_wt_linear,33,64,64,524288,0,42,0,0,1,3600000000000,33554432,134217728,0,write,239378752,181903676,1280161,68343,181903676,272900144,279932928,3600032657392,5.289122
27,bench_p26_wt,bench_p26_wt_linear,33,64,64,524288,0,42,0,0,1,3600000000000,33554432,134217728,0,stack,239378752,0,0,0,0,0,0,3312,5.289190
27,bench_p26_wt,bench_p26_wt_linear,33,64,64,524288,0,42,0,0,1,3600000000000,33554432,134217728,0,ctx,239378752,0,0,0,0,0,0,624,5.289222
27,bench_p26_wt,bench_p26_wt_linear,33,64,64,524288,0,42,0,0,1,3600000000000,33554432,134217728,0,heap,239378752,0,0,0,0,0,0,784,5.289247
27,bench_p26_wt,bench_p26_wt_linear,33,64,64,524288,0,42,0,0,1,3600000000000,33554432,134217728,0,usage,239378752,0,0,0,0,0,0,4780032,5.289269
28,bench_p26_wt,bench_p26_wt_random,33,64,64,16,0,42,0,0,1,3600000000000,1024,134217728,0,write,12744448,108020768,850642,72304,108020768,94833936,296157184,3600071181104,6.463515
28,bench_p26_wt,bench_p26_wt_random,33,64,64,16,0,42,0,0,1,3600000000000,1024,134217728,0,stack,12744448,0,0,0,0,0,0,3248,6.463667
28,bench_p26_wt,bench_p26_wt_random,33,64,64,16,0,42,0,0,1,3600000000000,1024,134217728,0,ctx,12744448,0,0,0,0,0,0,608,6.463729
28,bench_p26_wt,bench_p26_wt_random,33,64,64,16,0,42,0,0,1,3600000000000,1024,134217728,0,heap,12744448,0,0,0,0,0,0,784,6.463792
28,bench_p26_wt,bench_p26_wt_random,33,64,64,16,0,42,0,0,1,3600000000000,1024,134217728,0,usage,12744448,0,0,0,0,0,0,32768,6.463843
29,bench_p26_wt,bench_p26_wt_random,33,64,64,32,0,42,0,0,1,3600000000000,2048,134217728,0,write,13801280,176093921,1126931,69772,176093921,129098167,285786112,3600059495613,8.065845
29,bench_p26_wt,bench_p26_wt_random,33,64,64,32,0,42,0,0,1,3600000000000,2048,134217728,0,stack,13801280,0,0,0,0,0,0,3280,8.065974
29,bench_p26_wt,bench_p26_wt_random,33,64,64,32,0,42,0,0,1,3600000000000,2048,134217728,0,ctx,13801280,0,0,0,0,0,0,608,8.066031
29,bench_p26_wt,bench_p26_wt_random,33,64,64,32,0,42,0,0,1,3600000000000,2048,134217728,0,heap,13801280,0,0,0,0,0,0,784,8.066080
29,bench_p26_wt,bench_p26_wt_random,33,64,64,32,0,42,0,0,1,3600000000000,2048,134217728,0,usage,13801280,0,0,0,0,0,0,28672,8.066126
30,bench_p26_wt,bench_p26_wt_random,33,64,64,64,0,42,0,0,1,3600000000000,4096,134217728,0,write,14376128,281119926,1470183,66607,281119926,175940786,272822272,3600074535590,9.946340
30,bench_p26_wt,bench_p26_wt_random,33,64,64,64,0,42,0,0,1,3600000000000,4096,134217728,0,stack,14376128,0,0,0,0,0,0,3248,9.946466
30,bench_p26_wt,bench_p26_wt_random,33,64,64,64,0,42,0,0,1,3600000000000,4096,134217728,0,ctx,14376128,0,0,0,0,0,0,608,9.946521
30,bench_p26_wt,bench_p26_wt_random,33,64,64,64,0,42,0,0,1,3600000000000,4096,134217728,0,heap,14376128,0,0,0,0,0,0,784,9.946573
