i,suite,case,SIZE,FS,DISK_GEOMETRY,SEED,DISK_SIZE,SIM_SIZE,SIM_TIME,FILE_SIZE,NO_FRUNCATE,FILE_COUNT,CHUNK,NO_SET,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
20,bench_p26_wt,bench_p26_wt_linear,262144,32,1,42,134217728,0,3600000000000,64,1,4096,64,0,0,ctx,4966286400,0,0,0,0,0,0,624,98.162677
20,bench_p26_wt,bench_p26_wt_linear,262144,32,1,42,134217728,0,3600000000000,64,1,4096,64,0,0,heap,4966286400,0,0,0,0,0,0,1296,98.162717
20,bench_p26_wt,bench_p26_wt_linear,262144,32,1,42,134217728,0,3600000000000,64,1,4096,64,0,0,usage,4966286400,0,0,0,0,0,0,917504,98.162767
19,bench_p26_wt,bench_p26_wt_linear,131072,32,1,42,134217728,0,3600000000000,64,1,2048,64,0,0,write,5002764352,20017910,11548047,45273,1124050871,5912600064,5934022656,3600015694997,98.576699
19,bench_p26_wt,bench_p26_wt_linear,131072,32,1,42,134217728,0,3600000000000,64,1,2048,64,0,0,stack,5002764352,0,0,0,0,0,0,3200,98.576792
19,bench_p26_wt,bench_p26_wt_linear,131072,32,1,42,134217728,0,3600000000000,64,1,2048,64,0,0,ctx,5002764352,0,0,0,0,0,0,624,98.576832
19,bench_p26_wt,bench_p26_wt_linear,131072,32,1,42,134217728,0,3600000000000,64,1,2048,64,0,0,heap,5002764352,0,0,0,0,0,0,1296,98.576865
19,bench_p26_wt,bench_p26_wt_linear,131072,32,1,42,134217728,0,3600000000000,64,1,2048,64,0,0,usage,5002764352,0,0,0,0,0,0,786432,98.576895
27,bench_p26_wt,bench_p26_wt_linear,33554432,32,1,42,134217728,0,3600000000000,64,1,524288,64,0,0,write,2885291584,72007525,6752492,26383,1353144344,3457275904,3458072576,3600076648904,46.880600
27,bench_p26_wt,bench_p26_wt_linear,33554432,32,1,42,134217728,0,3600000000000,64,1,524288,64,0,0,stack,2885291584,0,0,0,0,0,0,3312,46.880690
27,bench_p26_wt,bench_p26_wt_linear,33554432,32,1,42,134217728,0,3600000000000,64,1,524288,64,0,0,ctx,2885291584,0,0,0,0,0,0,624,46.880729
27,bench_p26_wt,bench_p26_wt_linear,33554432,32,1,42,134217728,0,3600000000000,64,1,524288,64,0,0,heap,2885291584,0,0,0,0,0,0,1296,46.880762
27,bench_p26_wt,bench_p26_wt_linear,33554432,32,1,42,134217728,0,3600000000000,64,1,524288,64,0,0,usage,2885291584,0,0,0,0,0,0,33816576,46.880791
26,bench_p26_wt,bench_p26_wt_linear,16777216,32,1,42,134217728,0,3600000000000,64,1,262144,64,0,0,write,3784838208,49749771,8806038,34406,1252642197,4508691456,4509663232,3600002090511,45.468677
26,bench_p26_wt,bench_p26_wt_linear,16777216,32,1,42,134217728,0,3600000000000,64,1,262144,64,0,0,stack,3784838208,0,0,0,0,0,0,3312,45.468760
26,bench_p26_wt,bench_p26_wt_linear,16777216,32,1,42,134217728,0,3600000000000,64,1,262144,64,0,0,ctx,3784838208,0,0,0,0,0,0,624,45.468797
26,bench_p26_wt,bench_p26_wt_linear,16777216,32,1,42,134217728,0,3600000000000,64,1,262144,64,0,0,heap,3784838208,0,0,0,0,0,0,1296,45.468827
26,bench_p26_wt,bench_p26_wt_linear,16777216,32,1,42,134217728,0,3600000000000,64,1,262144,64,0,0,usage,3784838208,0,0,0,0,0,0,10616832,45.468855
25,bench_p26_wt,bench_p26_wt_linear,8388608,32,1,42,134217728,0,3600000000000,64,1,131072,64,0,0,write,4216166464,39168602,9782660,38222,1201683074,5008721920,5009833984,3600009064358,47.600141
