i,suite,case,FS,SIM_SIZE,SIM_TIME,SEED,SIZE,DISK_SIZE,SKIP_WARMUP,FILE_COUNT,NO_FRUNCATE,FILE_SIZE,DISK_GEOMETRY,CHUNK,NO_SET,CRYSTAL_THRESH,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
22,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,1048576,134217728,0,16384,0,64,0,64,0,-1,ctx,47554880,0,0,0,0,0,0,624,28.667141
22,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,1048576,134217728,0,16384,0,64,0,64,0,-1,heap,47554880,0,0,0,0,0,0,784,28.667185
22,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,1048576,134217728,0,16384,0,64,0,64,0,-1,usage,47554880,0,0,0,0,0,0,1011712,28.667239
23,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,2097152,134217728,0,32768,0,64,0,64,0,-1,write,46531648,615899986,1492711,66096,615899986,203571502,270729216,3600010491962,28.937390
23,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,2097152,134217728,0,32768,0,64,0,64,0,-1,stack,46531648,0,0,0,0,0,0,3328,28.937475
23,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,2097152,134217728,0,32768,0,64,0,64,0,-1,ctx,46531648,0,0,0,0,0,0,624,28.937517
23,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,2097152,134217728,0,32768,0,64,0,64,0,-1,heap,46531648,0,0,0,0,0,0,784,28.937551
23,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,2097152,134217728,0,32768,0,64,0,64,0,-1,usage,46531648,0,0,0,0,0,0,1200128,28.937582
25,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,8388608,134217728,0,131072,0,64,0,64,0,-1,write,43136576,672065335,1562843,65422,672065335,204753430,267968512,3600012245306,16.631088
25,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,8388608,134217728,0,131072,0,64,0,64,0,-1,stack,43136576,0,0,0,0,0,0,3328,16.631178
25,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,8388608,134217728,0,131072,0,64,0,64,0,-1,ctx,43136576,0,0,0,0,0,0,624,16.631218
25,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,8388608,134217728,0,131072,0,64,0,64,0,-1,heap,43136576,0,0,0,0,0,0,784,16.631251
25,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,8388608,134217728,0,131072,0,64,0,64,0,-1,usage,43136576,0,0,0,0,0,0,3543040,16.631280
