i,suite,case,FS,SIM_SIZE,SKIP_WARMUP,DISK_SIZE,FILE_SIZE,CHUNK,DISK_GEOMETRY,SIM_TIME,SIZE,SEED,NO_SET,NO_FRUNCATE,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
21,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,524288,42,0,0,8192,write,283528448,285168848,1109699,69762,285168848,284080116,285745152,3600022157468,6.366197
21,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,524288,42,0,0,8192,stack,283528448,0,0,0,0,0,0,2000,6.366295
21,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,524288,42,0,0,8192,ctx,283528448,0,0,0,0,0,0,400,6.366347
21,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,524288,42,0,0,8192,heap,283528448,0,0,0,0,0,0,784,6.366391
21,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,524288,42,0,0,8192,usage,283528448,0,0,0,0,0,0,434176,6.366433
20,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,262144,42,0,0,4096,write,281624448,283179360,1102247,69831,283179360,282170268,286027776,3600029444244,6.366419
20,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,262144,42,0,0,4096,stack,281624448,0,0,0,0,0,0,2000,6.366527
20,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,262144,42,0,0,4096,ctx,281624448,0,0,0,0,0,0,400,6.366564
20,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,262144,42,0,0,4096,heap,281624448,0,0,0,0,0,0,784,6.366593
20,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,262144,42,0,0,4096,usage,281624448,0,0,0,0,0,0,102400,6.366621
22,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,1048576,42,0,0,16384,write,284487104,286273286,1113451,69727,286273286,285041716,285601792,3600010932684,6.469513
22,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,1048576,42,0,0,16384,stack,284487104,0,0,0,0,0,0,2000,6.469639
