i,suite,case,NO_FRUNCATE,SKIP_WARMUP,FILE_COUNT,SIM_TIME,CHUNK,FS,SIM_SIZE,DISK_GEOMETRY,SEED,SIZE,DISK_SIZE,NO_SET,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
33,bench_p26_wt,bench_p26_wt_random,0,0,512,3600000000000,64,30,0,1,42,32768,134217728,0,64,ctx,46769664,0,0,0,0,0,0,512,50.811969
33,bench_p26_wt,bench_p26_wt_random,0,0,512,3600000000000,64,30,0,1,42,32768,134217728,0,64,heap,46769664,0,0,0,0,0,0,1296,50.812008
33,bench_p26_wt,bench_p26_wt_random,0,0,512,3600000000000,64,30,0,1,42,32768,134217728,0,64,usage,46769664,0,0,0,0,0,0,786432,50.812047
30,bench_p26_wt,bench_p26_wt_random,0,0,64,3600000000000,64,30,0,1,42,4096,134217728,0,64,write,136062592,96695153,4354826,17085,3136285022,2229670912,2239365120,3600003124730,51.275551
30,bench_p26_wt,bench_p26_wt_random,0,0,64,3600000000000,64,30,0,1,42,4096,134217728,0,64,stack,136062592,0,0,0,0,0,0,3152,51.275642
30,bench_p26_wt,bench_p26_wt_random,0,0,64,3600000000000,64,30,0,1,42,4096,134217728,0,64,ctx,136062592,0,0,0,0,0,0,512,51.275685
30,bench_p26_wt,bench_p26_wt_random,0,0,64,3600000000000,64,30,0,1,42,4096,134217728,0,64,heap,136062592,0,0,0,0,0,0,1296,51.275724
30,bench_p26_wt,bench_p26_wt_random,0,0,64,3600000000000,64,30,0,1,42,4096,134217728,0,64,usage,136062592,0,0,0,0,0,0,524288,51.275763
32,bench_p26_wt,bench_p26_wt_random,0,0,256,3600000000000,64,30,0,1,42,16384,134217728,0,64,write,56743488,86280570,4668203,104750,3255012486,2390119936,13729792000,3600014213106,51.443357
32,bench_p26_wt,bench_p26_wt_random,0,0,256,3600000000000,64,30,0,1,42,16384,134217728,0,64,stack,56743488,0,0,0,0,0,0,3168,51.443446
32,bench_p26_wt,bench_p26_wt_random,0,0,256,3600000000000,64,30,0,1,42,16384,134217728,0,64,ctx,56743488,0,0,0,0,0,0,512,51.443485
32,bench_p26_wt,bench_p26_wt_random,0,0,256,3600000000000,64,30,0,1,42,16384,134217728,0,64,heap,56743488,0,0,0,0,0,0,1296,51.443517
32,bench_p26_wt,bench_p26_wt_random,0,0,256,3600000000000,64,30,0,1,42,16384,134217728,0,64,usage,56743488,0,0,0,0,0,0,786432,51.443545
31,bench_p26_wt,bench_p26_wt_random,0,0,128,3600000000000,64,30,0,1,42,8192,134217728,0,64,write,87303040,93179831,4259605,73764,3119232547,2180917760,9668395008,3600004174489,51.969256
31,bench_p26_wt,bench_p26_wt_random,0,0,128,3600000000000,64,30,0,1,42,8192,134217728,0,64,stack,87303040,0,0,0,0,0,0,3168,51.969423
31,bench_p26_wt,bench_p26_wt_random,0,0,128,3600000000000,64,30,0,1,42,8192,134217728,0,64,ctx,87303040,0,0,0,0,0,0,512,51.969464
31,bench_p26_wt,bench_p26_wt_random,0,0,128,3600000000000,64,30,0,1,42,8192,134217728,0,64,heap,87303040,0,0,0,0,0,0,1296,51.969495
31,bench_p26_wt,bench_p26_wt_random,0,0,128,3600000000000,64,30,0,1,42,8192,134217728,0,64,usage,87303040,0,0,0,0,0,0,655360,51.969525
29,bench_p26_wt,bench_p26_wt_random,0,0,32,3600000000000,64,30,0,1,42,2048,134217728,0,64,write,174018752,87663891,5163431,20260,3442046951,2643676672,2655518720,3600003530789,52.357984
29,bench_p26_wt,bench_p26_wt_random,0,0,32,3600000000000,64,30,0,1,42,2048,134217728,0,64,stack,174018752,0,0,0,0,0,0,3152,52.358061
29,bench_p26_wt,bench_p26_wt_random,0,0,32,3600000000000,64,30,0,1,42,2048,134217728,0,64,ctx,174018752,0,0,0,0,0,0,512,52.358098
29,bench_p26_wt,bench_p26_wt_random,0,0,32,3600000000000,64,30,0,1,42,2048,134217728,0,64,heap,174018752,0,0,0,0,0,0,1296,52.358129
29,bench_p26_wt,bench_p26_wt_random,0,0,32,3600000000000,64,30,0,1,42,2048,134217728,0,64,usage,174018752,0,0,0,0,0,0,524288,52.358156
28,bench_p26_wt,bench_p26_wt_random,0,0,16,3600000000000,64,30,0,1,42,1024,134217728,0,64,write,214475264,77565248,6073753,23841,3696622470,3109761536,3124887552,3600001773810,54.591709
28,bench_p26_wt,bench_p26_wt_random,0,0,16,3600000000000,64,30,0,1,42,1024,134217728,0,64,stack,214475264,0,0,0,0,0,0,3152,54.591791
28,bench_p26_wt,bench_p26_wt_random,0,0,16,3600000000000,64,30,0,1,42,1024,134217728,0,64,ctx,214475264,0,0,0,0,0,0,512,54.591842
28,bench_p26_wt,bench_p26_wt_random,0,0,16,3600000000000,64,30,0,1,42,1024,134217728,0,64,heap,214475264,0,0,0,0,0,0,1296,54.591874
28,bench_p26_wt,bench_p26_wt_random,0,0,16,3600000000000,64,30,0,1,42,1024,134217728,0,64,usage,214475264,0,0,0,0,0,0,524288,54.591954
43,bench_p26_wt,bench_p26_wt_random,0,0,524288,3600000000000,64,30,0,1,42,33554432,134217728,0,64,write,10742912,117424652,2459658,10875,2864092363,1259344896,1425408000,3600114984721,20.564025
43,bench_p26_wt,bench_p26_wt_random,0,0,524288,3600000000000,64,30,0,1,42,33554432,134217728,0,64,stack,10742912,0,0,0,0,0,0,3152,20.564111
43,bench_p26_wt,bench_p26_wt_random,0,0,524288,3600000000000,64,30,0,1,42,33554432,134217728,0,64,ctx,10742912,0,0,0,0,0,0,512,20.564150
43,bench_p26_wt,bench_p26_wt_random,0,0,524288,3600000000000,64,30,0,1,42,33554432,134217728,0,64,heap,10742912,0,0,0,0,0,0,1296,20.564183
43,bench_p26_wt,bench_p26_wt_random,0,0,524288,3600000000000,64,30,0,1,42,33554432,134217728,0,64,usage,10742912,0,0,0,0,0,0,67764224,20.564214
42,bench_p26_wt,bench_p26_wt_random,0,0,262144,3600000000000,64,30,0,1,42,16777216,134217728,0,64,write,11317376,114874714,2686304,11573,2996546831,1375387648,1516896256,3600170342429,21.312024
42,bench_p26_wt,bench_p26_wt_random,0,0,262144,3600000000000,64,30,0,1,42,16777216,134217728,0,64,stack,11317376,0,0,0,0,0,0,3024,21.312101
42,bench_p26_wt,bench_p26_wt_random,0,0,262144,3600000000000,64,30,0,1,42,16777216,134217728,0,64,ctx,11317376,0,0,0,0,0,0,512,21.312142
42,bench_p26_wt,bench_p26_wt_random,0,0,262144,3600000000000,64,30,0,1,42,16777216,134217728,0,64,heap,11317376,0,0,0,0,0,0,1296,21.312176
42,bench_p26_wt,bench_p26_wt_random,0,0,262144,3600000000000,64,30,0,1,42,16777216,134217728,0,64,usage,11317376,0,0,0,0,0,0,33554432,21.312211
41,bench_p26_wt,bench_p26_wt_random,0,0,131072,3600000000000,64,30,0,1,42,8388608,134217728,0,64,write,11637504,113759380,2788338,11990,3060673220,1427629056,1571553280,3601284544652,21.430768
41,bench_p26_wt,bench_p26_wt_random,0,0,131072,3600000000000,64,30,0,1,42,8388608,134217728,0,64,stack,11637504,0,0,0,0,0,0,3024,21.430842
41,bench_p26_wt,bench_p26_wt_random,0,0,131072,3600000000000,64,30,0,1,42,8388608,134217728,0,64,ctx,11637504,0,0,0,0,0,0,512,21.430875
