i,suite,case,NO_SET,SIZE,FILE_COUNT,FS,DISK_SIZE,NO_FRUNCATE,DISK_GEOMETRY,SEED,SIM_SIZE,SKIP_WARMUP,SIM_TIME,CHUNK,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,0,65536,1024,2,134217728,0,1,42,0,0,3600000000000,64,64,write,5959391744,11659356,11639439,90934,5961281420,5959392768,11918901248,3600000332132,91.801840
18,bench_p26_wt,bench_p26_wt_linear,0,65536,1024,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,5959391744,0,0,0,0,0,0,1856,91.801921
18,bench_p26_wt,bench_p26_wt_linear,0,65536,1024,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,5959391744,0,0,0,0,0,0,400,91.801970
18,bench_p26_wt,bench_p26_wt_linear,0,65536,1024,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,5959391744,0,0,0,0,0,0,1552,91.802011
18,bench_p26_wt,bench_p26_wt_linear,0,65536,1024,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,5959391744,0,0,0,0,0,0,393216,91.802052
25,bench_p26_wt,bench_p26_wt_linear,0,8388608,131072,2,134217728,0,1,42,0,0,3600000000000,64,64,write,6106635840,11989802,11927754,47317,6108223692,6107010048,6201933824,3600000725796,50.983795
25,bench_p26_wt,bench_p26_wt_linear,0,8388608,131072,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,6106635840,0,0,0,0,0,0,1856,50.983899
25,bench_p26_wt,bench_p26_wt_linear,0,8388608,131072,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,6106635840,0,0,0,0,0,0,400,50.983948
25,bench_p26_wt,bench_p26_wt_linear,0,8388608,131072,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,6106635840,0,0,0,0,0,0,1552,50.983999
25,bench_p26_wt,bench_p26_wt_linear,0,8388608,131072,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,6106635840,0,0,0,0,0,0,8388608,50.984038
24,bench_p26_wt,bench_p26_wt_linear,0,4194304,65536,2,134217728,0,1,42,0,0,3600000000000,64,64,write,6103988672,11981866,11923310,48025,6105935504,6104734720,6294732800,3600000608432,54.264514
24,bench_p26_wt,bench_p26_wt_linear,0,4194304,65536,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,6103988672,0,0,0,0,0,0,1856,54.264597
24,bench_p26_wt,bench_p26_wt_linear,0,4194304,65536,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,6103988672,0,0,0,0,0,0,400,54.264637
24,bench_p26_wt,bench_p26_wt_linear,0,4194304,65536,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,6103988672,0,0,0,0,0,0,1552,54.264670
24,bench_p26_wt,bench_p26_wt_linear,0,4194304,65536,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,6103988672,0,0,0,0,0,0,1572864,54.264700
26,bench_p26_wt,bench_p26_wt_linear,0,16777216,262144,2,134217728,0,1,42,0,0,3600000000000,64,64,write,6107561984,11998348,11929563,46962,6109194968,6107936256,6155403264,3600000835592,48.482332
26,bench_p26_wt,bench_p26_wt_linear,0,16777216,262144,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,6107561984,0,0,0,0,0,0,1856,48.482417
26,bench_p26_wt,bench_p26_wt_linear,0,16777216,262144,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,6107561984,0,0,0,0,0,0,400,48.482454
26,bench_p26_wt,bench_p26_wt_linear,0,16777216,262144,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,6107561984,0,0,0,0,0,0,1552,48.482483
26,bench_p26_wt,bench_p26_wt_linear,0,16777216,262144,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,6107561984,0,0,0,0,0,0,1048576,48.482510
27,bench_p26_wt,bench_p26_wt_linear,0,33554432,524288,2,134217728,0,1,42,0,0,3600000000000,64,64,write,6107676160,12010393,11929786,46780,6109400564,6108050432,6131548160,3600000820508,44.231026
27,bench_p26_wt,bench_p26_wt_linear,0,33554432,524288,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,6107676160,0,0,0,0,0,0,1856,44.231094
27,bench_p26_wt,bench_p26_wt_linear,0,33554432,524288,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,6107676160,0,0,0,0,0,0,400,44.231126
27,bench_p26_wt,bench_p26_wt_linear,0,33554432,524288,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,6107676160,0,0,0,0,0,0,1552,44.231151
27,bench_p26_wt,bench_p26_wt_linear,0,33554432,524288,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,6107676160,0,0,0,0,0,0,1048576,44.231174
28,bench_p26_wt,bench_p26_wt_random,0,1024,16,2,134217728,0,1,42,0,0,3600000000000,64,64,write,77349184,8562106,3622353,1207451,3964803686,1854644736,158263017472,3600003730322,106.763695
28,bench_p26_wt,bench_p26_wt_random,0,1024,16,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,77349184,0,0,0,0,0,0,1840,106.763850
28,bench_p26_wt,bench_p26_wt_random,0,1024,16,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,77349184,0,0,0,0,0,0,384,106.763911
28,bench_p26_wt,bench_p26_wt_random,0,1024,16,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,77349184,0,0,0,0,0,0,1552,106.763963
28,bench_p26_wt,bench_p26_wt_random,0,1024,16,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,77349184,0,0,0,0,0,0,393216,106.764010
