i,suite,case,SEED,FILE_COUNT,FILE_SIZE,SIZE,DISK_SIZE,DISK_GEOMETRY,SIM_TIME,SIM_SIZE,NO_SET,SKIP_WARMUP,NO_FRUNCATE,FS,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
23,bench_p26_wt,bench_p26_wt_linear,42,32768,64,2097152,134217728,0,3600000000000,0,0,0,0,3,64,stack,258715968,0,0,0,0,0,0,3312,8.556257
23,bench_p26_wt,bench_p26_wt_linear,42,32768,64,2097152,134217728,0,3600000000000,0,0,0,0,3,64,ctx,258715968,0,0,0,0,0,0,624,8.556301
23,bench_p26_wt,bench_p26_wt_linear,42,32768,64,2097152,134217728,0,3600000000000,0,0,0,0,3,64,heap,258715968,0,0,0,0,0,0,784,8.556344
23,bench_p26_wt,bench_p26_wt_linear,42,32768,64,2097152,134217728,0,3600000000000,0,0,0,0,3,64,usage,258715968,0,0,0,0,0,0,823296,8.556388
24,bench_p26_wt,bench_p26_wt_linear,42,65536,64,4194304,134217728,0,3600000000000,0,0,0,0,3,64,write,258265408,90008376,1202719,69112,90008376,276344410,283082752,3600039540334,6.413378
24,bench_p26_wt,bench_p26_wt_linear,42,65536,64,4194304,134217728,0,3600000000000,0,0,0,0,3,64,stack,258265408,0,0,0,0,0,0,3264,6.413460
24,bench_p26_wt,bench_p26_wt_linear,42,65536,64,4194304,134217728,0,3600000000000,0,0,0,0,3,64,ctx,258265408,0,0,0,0,0,0,624,6.413498
24,bench_p26_wt,bench_p26_wt_linear,42,65536,64,4194304,134217728,0,3600000000000,0,0,0,0,3,64,heap,258265408,0,0,0,0,0,0,784,6.413528
24,bench_p26_wt,bench_p26_wt_linear,42,65536,64,4194304,134217728,0,3600000000000,0,0,0,0,3,64,usage,258265408,0,0,0,0,0,0,2523136,6.413555
25,bench_p26_wt,bench_p26_wt_linear,42,131072,64,8388608,134217728,0,3600000000000,0,0,0,0,3,64,write,253567296,115374958,1221702,68921,115374958,275539060,282300416,3600039788492,5.976864
25,bench_p26_wt,bench_p26_wt_linear,42,131072,64,8388608,134217728,0,3600000000000,0,0,0,0,3,64,stack,253567296,0,0,0,0,0,0,3264,5.976943
25,bench_p26_wt,bench_p26_wt_linear,42,131072,64,8388608,134217728,0,3600000000000,0,0,0,0,3,64,ctx,253567296,0,0,0,0,0,0,624,5.976984
25,bench_p26_wt,bench_p26_wt_linear,42,131072,64,8388608,134217728,0,3600000000000,0,0,0,0,3,64,heap,253567296,0,0,0,0,0,0,784,5.977018
25,bench_p26_wt,bench_p26_wt_linear,42,131072,64,8388608,134217728,0,3600000000000,0,0,0,0,3,64,usage,253567296,0,0,0,0,0,0,2035712,5.977050
26,bench_p26_wt,bench_p26_wt_linear,42,262144,64,16777216,134217728,0,3600000000000,0,0,0,0,3,64,write,247013696,144253122,1251506,68631,144253122,274239552,281112576,3600046029072,4.969203
26,bench_p26_wt,bench_p26_wt_linear,42,262144,64,16777216,134217728,0,3600000000000,0,0,0,0,3,64,stack,247013696,0,0,0,0,0,0,3264,4.969274
26,bench_p26_wt,bench_p26_wt_linear,42,262144,64,16777216,134217728,0,3600000000000,0,0,0,0,3,64,ctx,247013696,0,0,0,0,0,0,624,4.969307
26,bench_p26_wt,bench_p26_wt_linear,42,262144,64,16777216,134217728,0,3600000000000,0,0,0,0,3,64,heap,247013696,0,0,0,0,0,0,784,4.969333
26,bench_p26_wt,bench_p26_wt_linear,42,262144,64,16777216,134217728,0,3600000000000,0,0,0,0,3,64,usage,247013696,0,0,0,0,0,0,12607488,4.969358
27,bench_p26_wt,bench_p26_wt_linear,42,524288,64,33554432,134217728,0,3600000000000,0,0,0,0,3,64,write,239378752,181903676,1280161,68343,181903676,272900144,279932928,3600032657392,5.154326
27,bench_p26_wt,bench_p26_wt_linear,42,524288,64,33554432,134217728,0,3600000000000,0,0,0,0,3,64,stack,239378752,0,0,0,0,0,0,3312,5.154392
27,bench_p26_wt,bench_p26_wt_linear,42,524288,64,33554432,134217728,0,3600000000000,0,0,0,0,3,64,ctx,239378752,0,0,0,0,0,0,624,5.154424
27,bench_p26_wt,bench_p26_wt_linear,42,524288,64,33554432,134217728,0,3600000000000,0,0,0,0,3,64,heap,239378752,0,0,0,0,0,0,784,5.154447
27,bench_p26_wt,bench_p26_wt_linear,42,524288,64,33554432,134217728,0,3600000000000,0,0,0,0,3,64,usage,239378752,0,0,0,0,0,0,4780032,5.154469
28,bench_p26_wt,bench_p26_wt_random,42,16,64,1024,134217728,0,3600000000000,0,0,0,0,3,64,write,12744448,108020768,850642,72304,108020768,94833936,296157184,3600071181104,6.388253
28,bench_p26_wt,bench_p26_wt_random,42,16,64,1024,134217728,0,3600000000000,0,0,0,0,3,64,stack,12744448,0,0,0,0,0,0,3248,6.388376
28,bench_p26_wt,bench_p26_wt_random,42,16,64,1024,134217728,0,3600000000000,0,0,0,0,3,64,ctx,12744448,0,0,0,0,0,0,608,6.388438
28,bench_p26_wt,bench_p26_wt_random,42,16,64,1024,134217728,0,3600000000000,0,0,0,0,3,64,heap,12744448,0,0,0,0,0,0,784,6.388494
28,bench_p26_wt,bench_p26_wt_random,42,16,64,1024,134217728,0,3600000000000,0,0,0,0,3,64,usage,12744448,0,0,0,0,0,0,32768,6.388570
29,bench_p26_wt,bench_p26_wt_random,42,32,64,2048,134217728,0,3600000000000,0,0,0,0,3,64,write,13801280,176093921,1126931,69772,176093921,129098167,285786112,3600059495613,8.206409
29,bench_p26_wt,bench_p26_wt_random,42,32,64,2048,134217728,0,3600000000000,0,0,0,0,3,64,stack,13801280,0,0,0,0,0,0,3280,8.206535
29,bench_p26_wt,bench_p26_wt_random,42,32,64,2048,134217728,0,3600000000000,0,0,0,0,3,64,ctx,13801280,0,0,0,0,0,0,608,8.206591
29,bench_p26_wt,bench_p26_wt_random,42,32,64,2048,134217728,0,3600000000000,0,0,0,0,3,64,heap,13801280,0,0,0,0,0,0,784,8.206639
29,bench_p26_wt,bench_p26_wt_random,42,32,64,2048,134217728,0,3600000000000,0,0,0,0,3,64,usage,13801280,0,0,0,0,0,0,28672,8.206685
30,bench_p26_wt,bench_p26_wt_random,42,64,64,4096,134217728,0,3600000000000,0,0,0,0,3,64,write,14376128,281119926,1470183,66607,281119926,175940786,272822272,3600074535590,9.852452
30,bench_p26_wt,bench_p26_wt_random,42,64,64,4096,134217728,0,3600000000000,0,0,0,0,3,64,stack,14376128,0,0,0,0,0,0,3248,9.852604
30,bench_p26_wt,bench_p26_wt_random,42,64,64,4096,134217728,0,3600000000000,0,0,0,0,3,64,ctx,14376128,0,0,0,0,0,0,608,9.852660
30,bench_p26_wt,bench_p26_wt_random,42,64,64,4096,134217728,0,3600000000000,0,0,0,0,3,64,heap,14376128,0,0,0,0,0,0,784,9.852709
30,bench_p26_wt,bench_p26_wt_random,42,64,64,4096,134217728,0,3600000000000,0,0,0,0,3,64,usage,14376128,0,0,0,0,0,0,32768,9.852755
31,bench_p26_wt,bench_p26_wt_random,42,128,64,8192,134217728,0,3600000000000,0,0,0,0,3,64,write,12166272,426889892,1678395,64616,426889892,196641469,264667136,3600017774247,11.821967
31,bench_p26_wt,bench_p26_wt_random,42,128,64,8192,134217728,0,3600000000000,0,0,0,0,3,64,stack,12166272,0,0,0,0,0,0,3248,11.822080
31,bench_p26_wt,bench_p26_wt_random,42,128,64,8192,134217728,0,3600000000000,0,0,0,0,3,64,ctx,12166272,0,0,0,0,0,0,608,11.822136
31,bench_p26_wt,bench_p26_wt_random,42,128,64,8192,134217728,0,3600000000000,0,0,0,0,3,64,heap,12166272,0,0,0,0,0,0,784,11.822196
31,bench_p26_wt,bench_p26_wt_random,42,128,64,8192,134217728,0,3600000000000,0,0,0,0,3,64,usage,12166272,0,0,0,0,0,0,45056,11.822244
32,bench_p26_wt,bench_p26_wt_random,42,256,64,16384,134217728,0,3600000000000,0,0,0,0,3,64,write,10576960,550103759,1881526,62698,550103759,205692218,256811008,3600089271718,13.652987
