i,suite,case,SIM_SIZE,DISK_SIZE,DISK_GEOMETRY,FILE_SIZE,NO_SET,SKIP_WARMUP,SIM_TIME,CHUNK,FILE_COUNT,SIZE,SEED,NO_FRUNCATE,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
22,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,16384,1048576,42,0,3,heap,4744857152,0,0,0,0,0,0,1296,96.719119
22,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,16384,1048576,42,0,3,usage,4744857152,0,0,0,0,0,0,786432,96.719157
19,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,2048,131072,42,0,3,write,5002764352,20017910,11548047,45273,1124050871,5912600064,5934022656,3600015694997,98.542453
19,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,2048,131072,42,0,3,stack,5002764352,0,0,0,0,0,0,3200,98.542550
19,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,2048,131072,42,0,3,ctx,5002764352,0,0,0,0,0,0,624,98.542594
19,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,2048,131072,42,0,3,heap,5002764352,0,0,0,0,0,0,1296,98.542632
19,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,2048,131072,42,0,3,usage,5002764352,0,0,0,0,0,0,786432,98.542668
27,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,524288,33554432,42,0,3,write,2885291584,72007525,6752492,26383,1353144344,3457275904,3458072576,3600076648904,41.986307
27,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,524288,33554432,42,0,3,stack,2885291584,0,0,0,0,0,0,3312,41.986395
27,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,524288,33554432,42,0,3,ctx,2885291584,0,0,0,0,0,0,624,41.986433
27,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,524288,33554432,42,0,3,heap,2885291584,0,0,0,0,0,0,1296,41.986465
27,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,524288,33554432,42,0,3,usage,2885291584,0,0,0,0,0,0,33816576,41.986494
26,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,262144,16777216,42,0,3,write,3784838208,49749771,8806038,34406,1252642197,4508691456,4509663232,3600002090511,48.698242
26,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,262144,16777216,42,0,3,stack,3784838208,0,0,0,0,0,0,3312,48.698329
26,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,262144,16777216,42,0,3,ctx,3784838208,0,0,0,0,0,0,624,48.698366
26,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,262144,16777216,42,0,3,heap,3784838208,0,0,0,0,0,0,1296,48.698396
26,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,262144,16777216,42,0,3,usage,3784838208,0,0,0,0,0,0,10616832,48.698423
25,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,131072,8388608,42,0,3,write,4216166464,39168602,9782660,38222,1201683074,5008721920,5009833984,3600009064358,47.724187
25,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,131072,8388608,42,0,3,stack,4216166464,0,0,0,0,0,0,3312,47.724261
25,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,131072,8388608,42,0,3,ctx,4216166464,0,0,0,0,0,0,624,47.724293
25,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,131072,8388608,42,0,3,heap,4216166464,0,0,0,0,0,0,1296,47.724320
25,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,131072,8388608,42,0,3,usage,4216166464,0,0,0,0,0,0,5767168,47.724345
24,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,65536,4194304,42,0,3,write,4499331648,32111692,10433471,40776,1173730449,5341937152,5344591872,3600008835267,46.675960
24,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,65536,4194304,42,0,3,stack,4499331648,0,0,0,0,0,0,3312,46.676029
24,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,65536,4194304,42,0,3,ctx,4499331648,0,0,0,0,0,0,624,46.676059
24,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,65536,4194304,42,0,3,heap,4499331648,0,0,0,0,0,0,1296,46.676084
24,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,65536,4194304,42,0,3,usage,4499331648,0,0,0,0,0,0,3801088,46.676105
38,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,16384,1048576,42,0,3,write,16735744,111697230,2980261,14899,2770021903,1525893632,1952841728,3600622237981,38.970250
38,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,16384,1048576,42,0,3,stack,16735744,0,0,0,0,0,0,3280,38.970377
38,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,16384,1048576,42,0,3,ctx,16735744,0,0,0,0,0,0,608,38.970430
38,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,16384,1048576,42,0,3,heap,16735744,0,0,0,0,0,0,1296,38.970486
38,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,16384,1048576,42,0,3,usage,16735744,0,0,0,0,0,0,2883584,38.970533
39,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,32768,2097152,42,0,3,write,13076096,111871247,2948980,13361,3107402239,1509877760,1751252992,3600165228013,42.142244
39,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,32768,2097152,42,0,3,stack,13076096,0,0,0,0,0,0,3120,42.142356
39,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,32768,2097152,42,0,3,ctx,13076096,0,0,0,0,0,0,608,42.142409
39,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,32768,2097152,42,0,3,heap,13076096,0,0,0,0,0,0,1296,42.142453
39,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,32768,2097152,42,0,3,usage,13076096,0,0,0,0,0,0,5373952,42.142493
37,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,8192,524288,42,0,3,write,24002624,102786813,3753666,21600,3014491322,1921876992,2831155200,3600223014350,43.793336
37,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,8192,524288,42,0,3,stack,24002624,0,0,0,0,0,0,3280,43.793435
37,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,8192,524288,42,0,3,ctx,24002624,0,0,0,0,0,0,608,43.793485
37,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,8192,524288,42,0,3,heap,24002624,0,0,0,0,0,0,1296,43.793528
37,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,8192,524288,42,0,3,usage,24002624,0,0,0,0,0,0,1703936,43.793566
35,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,2048,131072,42,0,3,write,36625728,94548234,4372273,41212,3183109588,2238603776,5401739264,3600094684348,45.839038
35,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,2048,131072,42,0,3,stack,36625728,0,0,0,0,0,0,3312,45.839140
35,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,2048,131072,42,0,3,ctx,36625728,0,0,0,0,0,0,608,45.839190
35,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,2048,131072,42,0,3,heap,36625728,0,0,0,0,0,0,1296,45.839233
35,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,2048,131072,42,0,3,usage,36625728,0,0,0,0,0,0,786432,45.839273
36,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,4096,262144,42,0,3,write,30366656,97186633,4212092,29634,3152211277,2156591104,3884187648,3600005211319,48.036541
36,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,4096,262144,42,0,3,stack,30366656,0,0,0,0,0,0,3312,48.036640
36,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,4096,262144,42,0,3,ctx,30366656,0,0,0,0,0,0,608,48.036688
36,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,4096,262144,42,0,3,heap,30366656,0,0,0,0,0,0,1296,48.036731
36,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,4096,262144,42,0,3,usage,30366656,0,0,0,0,0,0,1310720,48.036771
33,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,512,32768,42,0,3,write,46592256,91938378,4329536,80104,3114089237,2216722432,10499391488,3600014418575,48.301938
33,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,512,32768,42,0,3,stack,46592256,0,0,0,0,0,0,3312,48.302033
33,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,512,32768,42,0,3,ctx,46592256,0,0,0,0,0,0,608,48.302085
33,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,512,32768,42,0,3,heap,46592256,0,0,0,0,0,0,1296,48.302138
33,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,512,32768,42,0,3,usage,46592256,0,0,0,0,0,0,1048576,48.302180
34,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,1024,65536,42,0,3,write,41926272,93580561,4317732,60938,3133925913,2210678784,7987265536,3600003586011,48.678816
34,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,1024,65536,42,0,3,stack,41926272,0,0,0,0,0,0,3312,48.678911
34,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,1024,65536,42,0,3,ctx,41926272,0,0,0,0,0,0,608,48.678958
34,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,1024,65536,42,0,3,heap,41926272,0,0,0,0,0,0,1296,48.678999
34,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,1024,65536,42,0,3,usage,41926272,0,0,0,0,0,0,1441792,48.679039
31,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,128,8192,42,0,3,write,86982464,93374220,4245397,73492,3090113702,2173643264,9632743424,3600005277266,49.967139
31,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,128,8192,42,0,3,stack,86982464,0,0,0,0,0,0,3312,49.967228
31,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,128,8192,42,0,3,ctx,86982464,0,0,0,0,0,0,608,49.967273
31,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,128,8192,42,0,3,heap,86982464,0,0,0,0,0,0,1296,49.967313
31,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,128,8192,42,0,3,usage,86982464,0,0,0,0,0,0,786432,49.967350
32,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,256,16384,42,0,3,write,56452672,86580210,4647005,104229,3212260869,2379266560,13661503488,3600038895711,50.145624
32,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,256,16384,42,0,3,stack,56452672,0,0,0,0,0,0,3312,50.145717
32,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,256,16384,42,0,3,ctx,56452672,0,0,0,0,0,0,608,50.145759
32,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,256,16384,42,0,3,heap,56452672,0,0,0,0,0,0,1296,50.145796
32,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,256,16384,42,0,3,usage,56452672,0,0,0,0,0,0,1179648,50.145831
30,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,64,4096,42,0,3,write,135706688,96805886,4344964,17046,3131800999,2224621568,2234253312,3600002607973,50.987446
30,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,64,4096,42,0,3,stack,135706688,0,0,0,0,0,0,3280,50.987535
30,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,64,4096,42,0,3,ctx,135706688,0,0,0,0,0,0,608,50.995907
30,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,64,4096,42,0,3,heap,135706688,0,0,0,0,0,0,1296,50.995992
30,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,64,4096,42,0,3,usage,135706688,0,0,0,0,0,0,655360,50.996037
29,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,32,2048,42,0,3,write,173574464,87811372,5150230,20208,3437003964,2636917760,2648702976,3600003202548,53.232476
29,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,32,2048,42,0,3,stack,173574464,0,0,0,0,0,0,3280,53.232555
29,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,32,2048,42,0,3,ctx,173574464,0,0,0,0,0,0,608,53.232593
29,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,32,2048,42,0,3,heap,173574464,0,0,0,0,0,0,1296,53.232625
29,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,32,2048,42,0,3,usage,173574464,0,0,0,0,0,0,655360,53.232655
28,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,16,1024,42,0,3,write,213834752,77763013,6056037,23771,3690170339,3100690944,3115712512,3600003040217,55.149069
28,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,16,1024,42,0,3,stack,213834752,0,0,0,0,0,0,3280,55.149152
28,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,16,1024,42,0,3,ctx,213834752,0,0,0,0,0,0,608,55.149192
28,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,16,1024,42,0,3,heap,213834752,0,0,0,0,0,0,1296,55.149235
28,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,16,1024,42,0,3,usage,213834752,0,0,0,0,0,0,655360,55.149265
43,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,524288,33554432,42,0,3,write,11173504,115857821,2598836,11445,2929180640,1330604032,1500119040,3600094270880,21.038657
43,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,524288,33554432,42,0,3,stack,11173504,0,0,0,0,0,0,3296,21.038743
43,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,524288,33554432,42,0,3,ctx,11173504,0,0,0,0,0,0,608,21.038783
43,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,524288,33554432,42,0,3,heap,11173504,0,0,0,0,0,0,1296,21.038817
43,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,524288,33554432,42,0,3,usage,11173504,0,0,0,0,0,0,68812800,21.038848
42,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,262144,16777216,42,0,3,write,11501248,114244163,2744932,11813,3023220685,1405405184,1548353536,3600871474231,21.298406
42,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,262144,16777216,42,0,3,stack,11501248,0,0,0,0,0,0,3200,21.298483
42,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,262144,16777216,42,0,3,ctx,11501248,0,0,0,0,0,0,608,21.298520
42,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,262144,16777216,42,0,3,heap,11501248,0,0,0,0,0,0,1296,21.298549
42,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,262144,16777216,42,0,3,usage,11501248,0,0,0,0,0,0,34078720,21.298580
41,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,131072,8388608,42,0,3,write,11792576,113335752,2824227,12137,3074829167,1446004224,1590820864,3600747649853,21.231814
41,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,131072,8388608,42,0,3,stack,11792576,0,0,0,0,0,0,3296,21.231884
41,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,131072,8388608,42,0,3,ctx,11792576,0,0,0,0,0,0,608,21.231916
41,bench_p26_wt,bench_p26_wt_random,0,134217728,1,64,0,0,3600000000000,64,131072,8388608,42,0,3,heap,11792576,0,0,0,0,0,0,1296,21.231942
