i,suite,case,NO_FRUNCATE,SEED,DISK_GEOMETRY,SIM_TIME,CHUNK,NO_SET,FILE_SIZE,SKIP_WARMUP,SIM_SIZE,SIZE,FS,CRYSTAL_THRESH,DISK_SIZE,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
14,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,4096,31,-1,134217728,64,write,2610654272,45752302,9065071,35411,2780277573,4641316352,4641390592,3600002097183,88.637564
14,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,4096,31,-1,134217728,64,stack,2610654272,0,0,0,0,0,0,3328,88.637650
14,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,4096,31,-1,134217728,64,ctx,2610654272,0,0,0,0,0,0,624,88.637689
14,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,4096,31,-1,134217728,64,heap,2610654272,0,0,0,0,0,0,1296,88.637720
14,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,4096,31,-1,134217728,64,usage,2610654272,0,0,0,0,0,0,655360,88.637748
13,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,2048,31,-1,134217728,32,write,3328414272,37840712,9789772,38242,2819622290,5012363264,5012455424,3600001167830,92.352118
13,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,2048,31,-1,134217728,32,stack,3328414272,0,0,0,0,0,0,3328,92.352202
13,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,2048,31,-1,134217728,32,ctx,3328414272,0,0,0,0,0,0,624,92.352240
13,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,2048,31,-1,134217728,32,heap,3328414272,0,0,0,0,0,0,1296,92.352283
13,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,2048,31,-1,134217728,32,usage,3328414272,0,0,0,0,0,0,655360,92.352314
12,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,1024,31,-1,134217728,16,write,4609112640,46491138,9002466,35166,2705266413,4609262592,4609277952,3600001572759,94.345446
12,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,1024,31,-1,134217728,16,stack,4609112640,0,0,0,0,0,0,3328,94.345530
12,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,1024,31,-1,134217728,16,ctx,4609112640,0,0,0,0,0,0,624,94.345568
12,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,1024,31,-1,134217728,16,heap,4609112640,0,0,0,0,0,0,1296,94.345599
12,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,1024,31,-1,134217728,16,usage,4609112640,0,0,0,0,0,0,655360,94.345628
27,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,33554432,31,-1,134217728,524288,write,256251456,115234477,2628842,14204,3035241374,1345967104,1861746688,3600003614906,30.829343
27,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,33554432,31,-1,134217728,524288,stack,256251456,0,0,0,0,0,0,3328,30.829423
27,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,33554432,31,-1,134217728,524288,ctx,256251456,0,0,0,0,0,0,624,30.829462
