i,suite,case,SIZE,FS,SEED,SKIP_WARMUP,FILE_SIZE,NO_SET,DISK_SIZE,FILE_COUNT,SIM_TIME,NO_FRUNCATE,SIM_SIZE,DISK_GEOMETRY,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
19,bench_p26_wt,bench_p26_wt_linear,131072,33,42,0,64,1,134217728,2048,3600000000000,0,0,1,64,write,5002764352,20017910,11548047,45273,1124050871,5912600064,5934022656,3600015694997,97.124930
19,bench_p26_wt,bench_p26_wt_linear,131072,33,42,0,64,1,134217728,2048,3600000000000,0,0,1,64,stack,5002764352,0,0,0,0,0,0,3200,97.125028
19,bench_p26_wt,bench_p26_wt_linear,131072,33,42,0,64,1,134217728,2048,3600000000000,0,0,1,64,ctx,5002764352,0,0,0,0,0,0,624,97.125075
19,bench_p26_wt,bench_p26_wt_linear,131072,33,42,0,64,1,134217728,2048,3600000000000,0,0,1,64,heap,5002764352,0,0,0,0,0,0,1296,97.125118
19,bench_p26_wt,bench_p26_wt_linear,131072,33,42,0,64,1,134217728,2048,3600000000000,0,0,1,64,usage,5002764352,0,0,0,0,0,0,786432,97.125160
23,bench_p26_wt,bench_p26_wt_linear,2097152,33,42,0,64,1,134217728,32768,3600000000000,0,0,1,64,write,4630589504,28918859,10728232,41919,1158180569,5492854784,5494407168,3600008792603,97.202636
23,bench_p26_wt,bench_p26_wt_linear,2097152,33,42,0,64,1,134217728,32768,3600000000000,0,0,1,64,stack,4630589504,0,0,0,0,0,0,3312,97.202714
23,bench_p26_wt,bench_p26_wt_linear,2097152,33,42,0,64,1,134217728,32768,3600000000000,0,0,1,64,ctx,4630589504,0,0,0,0,0,0,624,97.202780
23,bench_p26_wt,bench_p26_wt_linear,2097152,33,42,0,64,1,134217728,32768,3600000000000,0,0,1,64,heap,4630589504,0,0,0,0,0,0,1296,97.202809
23,bench_p26_wt,bench_p26_wt_linear,2097152,33,42,0,64,1,134217728,32768,3600000000000,0,0,1,64,usage,4630589504,0,0,0,0,0,0,786432,97.202847
22,bench_p26_wt,bench_p26_wt_linear,1048576,33,42,0,64,1,134217728,16384,3600000000000,0,0,1,64,write,4744857152,26103707,10987850,42945,1146354268,5625779200,5628887040,3600008794324,97.397827
22,bench_p26_wt,bench_p26_wt_linear,1048576,33,42,0,64,1,134217728,16384,3600000000000,0,0,1,64,stack,4744857152,0,0,0,0,0,0,3280,97.397921
