FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
31,1,bench_p26_wt_random,ps,,2048,,7273.258643262477
31,1,bench_p26_wt_random,ps,,256,,11788.012995587522
31,1,bench_p26_wt_random,ps,,32,,12371.053896113834
31,1,bench_p26_wt_random,ps,,4,,12429.93176641325
31,1,bench_p26_wt_random,ps,,4096,,3567.539803268528
31,1,bench_p26_wt_random,ps,,512,,11527.427161873129
31,1,bench_p26_wt_random,ps,,64,,12302.21310853769
31,1,bench_p26_wt_random,ps,,8,,12386.571189917604
31,1,bench_p26_wt_random,rs,1,,,11527.427161873129
31,1,bench_p26_wt_random,rs,1024,,,13827.432820063055
31,1,bench_p26_wt_random,rs,128,,,16319.97519539553
31,1,bench_p26_wt_random,rs,16,,,13149.460114465975
31,1,bench_p26_wt_random,rs,2,,,7086.762217405233
31,1,bench_p26_wt_random,rs,2048,,,11319.784138462246
31,1,bench_p26_wt_random,rs,256,,,16459.231326828984
31,1,bench_p26_wt_random,rs,32,,,15207.148839611766
31,1,bench_p26_wt_random,rs,4,,,7399.664328218032
31,1,bench_p26_wt_random,rs,4096,,,6918.018632468649
31,1,bench_p26_wt_random,rs,512,,,15697.716889185689
31,1,bench_p26_wt_random,rs,64,,,16302.831192923593
31,1,bench_p26_wt_random,rs,8,,,9307.31797491746
