probe,ORDER,n,SEED,bench_simtime
create,0,1625,0,0.000183592
create,0,1626,0,0.000183592
create,0,1627,0,0.0001741
create,0,1628,0,0.000185174
create,0,1629,0,0.000183592
create,0,163,0,0.00013455
create,0,1630,0,0.000183592
create,0,1631,0,0.000183592
create,0,1632,0,0.000193084
create,0,1633,0,0.000191502
create,0,1634,0,0.000191502
create,0,1635,0,0.00018201
create,0,1636,0,0.000183592
create,0,1637,0,0.0001741
create,0,1638,0,0.000175682
create,0,1639,0,0.000175682
create,0,164,0,0.000136132
create,0,1640,0,0.000185174
create,0,1641,0,0.000183592
create,0,1642,0,0.000183592
create,0,1643,0,0.0001741
create,0,1644,0,0.000185174
create,0,1645,0,0.000183592
create,0,1646,0,0.000183592
create,0,1647,0,0.000183592
create,0,1648,0,0.000193084
create,0,1649,0,0.000191502
create,0,165,0,0.00012664
create,0,1650,0,0.000191502
create,0,1651,0,0.00018201
create,0,1652,0,0.000183592
create,0,1653,0,0.000183592
create,0,1654,0,0.000183592
create,0,1655,0,0.000183592
create,0,1656,0,0.000193084
create,0,1657,0,0.000191502
create,0,1658,0,0.000191502
create,0,1659,0,0.00018201
create,0,166,0,0.000128222
create,0,1660,0,0.000193084
create,0,1661,0,0.000191502
create,0,1662,0,0.000191502
create,0,1663,0,0.000191502
create,0,1664,0,0.000200994
create,0,1665,0,0.000200994
create,0,1666,0,0.000200994
create,0,1667,0,0.000191502
create,0,1668,0,0.000191502
create,0,1669,0,0.00018201
create,0,167,0,0.000128222
create,0,1670,0,0.0001741
create,0,1671,0,0.000167772
create,0,1672,0,0.000178846
create,0,1673,0,0.000177264
create,0,1674,0,0.000177264
create,0,1675,0,0.000167772
create,0,1676,0,0.000178846
create,0,1677,0,0.000177264
create,0,1678,0,0.000177264
create,0,1679,0,0.000177264
create,0,168,0,0.000137714
create,0,1680,0,0.000186756
create,0,1681,0,0.000185174
create,0,1682,0,0.000185174
create,0,1683,0,0.000177264
create,0,1684,0,0.000180428
create,0,1685,0,0.00018201
create,0,1686,0,0.00018201
create,0,1687,0,0.00018201
create,0,1688,0,0.000191502
create,0,1689,0,0.00018992
create,0,169,0,0.000136132
create,0,1690,0,0.00018992
create,0,1691,0,0.000180428
create,0,1692,0,0.000191502
create,0,1693,0,0.00018992
create,0,1694,0,0.00018992
create,0,1695,0,0.00018992
create,0,1696,0,0.000199412
create,0,1697,0,0.000199412
create,0,1698,0,0.000199412
create,0,1699,0,0.00018992
create,0,17,0,9.5e-05
create,0,170,0,0.000136132
create,0,1700,0,0.00018992
create,0,1701,0,0.000180428
create,0,1702,0,0.00018201
create,0,1703,0,0.00018201
create,0,1704,0,0.000191502
create,0,1705,0,0.00018992
create,0,1706,0,0.00018992
create,0,1707,0,0.000180428
create,0,1708,0,0.000191502
