probe,ORDER,n,bench_simtime_avg,bench_simtime_min,bench_simtime_max
create,0,1297,0.000177264,0.000177264,0.000177264
create,0,1298,0.000177264,0.000177264,0.000177264
create,0,1299,0.000167772,0.000167772,0.000167772
create,0,13,8.709e-05,8.709e-05,8.709e-05
create,0,130,0.000144042,0.000144042,0.000144042
create,0,1300,0.000169354,0.000169354,0.000169354
create,0,1301,0.000169354,0.000169354,0.000169354
create,0,1302,0.000169354,0.000169354,0.000169354
create,0,1303,0.000169354,0.000169354,0.000169354
create,0,1304,0.000178846,0.000178846,0.000178846
create,0,1305,0.000177264,0.000177264,0.000177264
create,0,1306,0.000177264,0.000177264,0.000177264
create,0,1307,0.000167772,0.000167772,0.000167772
create,0,1308,0.000178846,0.000178846,0.000178846
create,0,1309,0.000177264,0.000177264,0.000177264
create,0,131,0.00013455,0.00013455,0.00013455
create,0,1310,0.000177264,0.000177264,0.000177264
create,0,1311,0.000177264,0.000177264,0.000177264
create,0,1312,0.000186756,0.000186756,0.000186756
create,0,1313,0.000185174,0.000185174,0.000185174
create,0,1314,0.000185174,0.000185174,0.000185174
create,0,1315,0.000175682,0.000175682,0.000175682
create,0,1316,0.000177264,0.000177264,0.000177264
create,0,1317,0.000167772,0.000167772,0.000167772
create,0,1318,0.000169354,0.000169354,0.000169354
create,0,1319,0.000169354,0.000169354,0.000169354
create,0,132,0.000136132,0.000136132,0.000136132
create,0,1320,0.000178846,0.000178846,0.000178846
create,0,1321,0.000177264,0.000177264,0.000177264
create,0,1322,0.000177264,0.000177264,0.000177264
create,0,1323,0.000167772,0.000167772,0.000167772
create,0,1324,0.000178846,0.000178846,0.000178846
create,0,1325,0.000177264,0.000177264,0.000177264
create,0,1326,0.000177264,0.000177264,0.000177264
create,0,1327,0.000177264,0.000177264,0.000177264
create,0,1328,0.000186756,0.000186756,0.000186756
create,0,1329,0.000185174,0.000185174,0.000185174
create,0,133,0.00012664,0.00012664,0.00012664
create,0,1330,0.000185174,0.000185174,0.000185174
create,0,1331,0.000175682,0.000175682,0.000175682
create,0,1332,0.000177264,0.000177264,0.000177264
create,0,1333,0.000177264,0.000177264,0.000177264
create,0,1334,0.000177264,0.000177264,0.000177264
create,0,1335,0.000177264,0.000177264,0.000177264
create,0,1336,0.000186756,0.000186756,0.000186756
create,0,1337,0.000185174,0.000185174,0.000185174
create,0,1338,0.000185174,0.000185174,0.000185174
create,0,1339,0.000175682,0.000175682,0.000175682
create,0,134,0.00011873,0.00011873,0.00011873
create,0,1340,0.000186756,0.000186756,0.000186756
create,0,1341,0.000185174,0.000185174,0.000185174
create,0,1342,0.000185174,0.000185174,0.000185174
create,0,1343,0.000185174,0.000185174,0.000185174
create,0,1344,0.000194666,0.000194666,0.000194666
create,0,1345,0.000193084,0.000193084,0.000193084
create,0,1346,0.000193084,0.000193084,0.000193084
create,0,1347,0.000183592,0.000183592,0.000183592
create,0,1348,0.000185174,0.000185174,0.000185174
create,0,1349,0.000175682,0.000175682,0.000175682
create,0,135,0.000120312,0.000120312,0.000120312
create,0,1350,0.000167772,0.000167772,0.000167772
create,0,1351,0.000169354,0.000169354,0.000169354
create,0,1352,0.000178846,0.000178846,0.000178846
create,0,1353,0.000177264,0.000177264,0.000177264
create,0,1354,0.000177264,0.000177264,0.000177264
create,0,1355,0.000167772,0.000167772,0.000167772
create,0,1356,0.000178846,0.000178846,0.000178846
create,0,1357,0.000177264,0.000177264,0.000177264
create,0,1358,0.000177264,0.000177264,0.000177264
create,0,1359,0.000177264,0.000177264,0.000177264
create,0,136,0.000129804,0.000129804,0.000129804
create,0,1360,0.000186756,0.000186756,0.000186756
create,0,1361,0.000185174,0.000185174,0.000185174
create,0,1362,0.000185174,0.000185174,0.000185174
create,0,1363,0.000175682,0.000175682,0.000175682
create,0,1364,0.000177264,0.000177264,0.000177264
create,0,1365,0.000177264,0.000177264,0.000177264
create,0,1366,0.000177264,0.000177264,0.000177264
create,0,1367,0.000177264,0.000177264,0.000177264
create,0,1368,0.000186756,0.000186756,0.000186756
create,0,1369,0.000185174,0.000185174,0.000185174
create,0,137,0.000128222,0.000128222,0.000128222
create,0,1370,0.000185174,0.000185174,0.000185174
create,0,1371,0.000175682,0.000175682,0.000175682
create,0,1372,0.000186756,0.000186756,0.000186756
create,0,1373,0.000185174,0.000185174,0.000185174
create,0,1374,0.000185174,0.000185174,0.000185174
create,0,1375,0.000185174,0.000185174,0.000185174
create,0,1376,0.000194666,0.000194666,0.000194666
create,0,1377,0.000193084,0.000193084,0.000193084
create,0,1378,0.000193084,0.000193084,0.000193084
create,0,1379,0.000183592,0.000183592,0.000183592
