probe,BLOCK_SIZE,n,SEED,bench_simtime
commit,1048576,1255,0,0.000173408
commit,1048576,1256,0,0.000176048
commit,1048576,1257,0,0.000161454
commit,1048576,1258,0,0.000147656
commit,1048576,1259,0,0.000164094
commit,1048576,126,0,0.000137284
commit,1048576,1260,0,0.00016005
commit,1048576,1261,0,0.00017675
commit,1048576,1262,0,0.000177012
commit,1048576,1263,0,0.000156446
commit,1048576,1264,0,0.00015961
commit,1048576,1265,0,0.000154602
commit,1048576,1266,0,0.000149144
commit,1048576,1267,0,0.00017587
commit,1048576,1268,0,0.000163916
commit,1048576,1269,0,0.000173586
commit,1048576,127,0,0.000103444
commit,1048576,1270,0,0.000162858
commit,1048576,1271,0,0.000176488
commit,1048576,1272,0,0.00016664
commit,1048576,1273,0,0.000148358
commit,1048576,1274,0,0.000167782
commit,1048576,1275,0,0.000165938
commit,1048576,1276,0,0.000148976
commit,1048576,1277,0,0.000158908
commit,1048576,1278,0,0.000173408
commit,1048576,1279,0,0.000165676
commit,1048576,128,0,0.000128934
commit,1048576,1280,0,0.000163476
commit,1048576,1281,0,0.000171826
commit,1048576,1282,0,0.000168924
commit,1048576,1283,0,0.000161276
commit,1048576,1284,0,0.00018686
commit,1048576,1285,0,0.00016664
commit,1048576,1286,0,0.000165498
commit,1048576,1287,0,0.00016752
commit,1048576,1288,0,0.000171826
commit,1048576,1289,0,0.000164974
commit,1048576,129,0,0.000119264
commit,1048576,1290,0,0.00016093
commit,1048576,1291,0,0.000164094
commit,1048576,1292,0,0.000148798
commit,1048576,1293,0,0.00017851
commit,1048576,1294,0,0.000166378
commit,1048576,1295,0,0.000174466
commit,1048576,1296,0,0.000156006
commit,1048576,1297,0,0.000158028
commit,1048576,1298,0,0.00016884
commit,1048576,1299,0,0.000186242
commit,1048576,13,0,8.4544e-05
commit,1048576,130,0,0.000118384
commit,1048576,1300,0,0.000154686
commit,1048576,1301,0,0.000167258
commit,1048576,1302,0,0.000147656
commit,1048576,1303,0,0.000157588
commit,1048576,1304,0,0.000176048
commit,1048576,1305,0,0.000163738
commit,1048576,1306,0,0.000158468
commit,1048576,1307,0,0.000164974
commit,1048576,1308,0,0.000163916
commit,1048576,1309,0,0.000156006
commit,1048576,131,0,0.000127614
commit,1048576,1310,0,0.000166116
commit,1048576,1311,0,0.000180354
commit,1048576,1312,0,0.00017719
commit,1048576,1313,0,0.000154686
commit,1048576,1314,0,0.000156174
commit,1048576,1315,0,0.000148798
commit,1048576,1316,0,0.0001684
commit,1048576,1317,0,0.00016884
commit,1048576,1318,0,0.000162858
commit,1048576,1319,0,0.000197054
commit,1048576,132,0,0.000126734
commit,1048576,1320,0,0.000183518
commit,1048576,1321,0,0.000174466
commit,1048576,1322,0,0.000164796
commit,1048576,1323,0,0.00017675
commit,1048576,1324,0,0.000150998
commit,1048576,1325,0,0.000162334
commit,1048576,1326,0,0.00017675
commit,1048576,1327,0,0.000181056
commit,1048576,1328,0,0.000168484
commit,1048576,1329,0,0.000170422
commit,1048576,133,0,0.000120144
commit,1048576,1330,0,0.000154948
commit,1048576,1331,0,0.000156268
commit,1048576,1332,0,0.000167698
commit,1048576,1333,0,0.00016532
commit,1048576,1334,0,0.000167258
commit,1048576,1335,0,0.00017719
commit,1048576,1336,0,0.000153544
commit,1048576,1337,0,0.000158908
commit,1048576,1338,0,0.000185362
commit,1048576,1339,0,0.000150118
commit,1048576,134,0,0.000110474
commit,1048576,1340,0,0.000155828
commit,1048576,1341,0,0.00018378
commit,1048576,1342,0,0.000165058
commit,1048576,1343,0,0.000167258
commit,1048576,1344,0,0.000178332
commit,1048576,1345,0,0.000185362
commit,1048576,1346,0,0.000173586
commit,1048576,1347,0,0.00016796
commit,1048576,1348,0,0.000166378
commit,1048576,1349,0,0.00016708
commit,1048576,135,0,0.000119264
commit,1048576,1350,0,0.00015785
commit,1048576,1351,0,0.000163036
commit,1048576,1352,0,0.000148264
commit,1048576,1353,0,0.000154686
commit,1048576,1354,0,0.00016928
commit,1048576,1355,0,0.00015741
commit,1048576,1356,0,0.000163916
commit,1048576,1357,0,0.000165498
commit,1048576,1358,0,0.00018334
commit,1048576,1359,0,0.000155126
commit,1048576,136,0,0.000121024
commit,1048576,1360,0,0.00017807
commit,1048576,1361,0,0.000171564
commit,1048576,1362,0,0.00016049
commit,1048576,1363,0,0.000169804
commit,1048576,1364,0,0.000161632
commit,1048576,1365,0,0.000157588
commit,1048576,1366,0,0.00016796
commit,1048576,1367,0,0.000147918
commit,1048576,1368,0,0.000161632
commit,1048576,1369,0,0.000145896
commit,1048576,137,0,0.000128494
commit,1048576,1370,0,0.000167698
commit,1048576,1371,0,0.000169542
commit,1048576,1372,0,0.000186682
commit,1048576,1373,0,0.00017543
commit,1048576,1374,0,0.000158992
commit,1048576,1375,0,0.000145456
commit,1048576,1376,0,0.000157588
commit,1048576,1377,0,0.000177892
commit,1048576,1378,0,0.000170244
commit,1048576,1379,0,0.000182816
commit,1048576,138,0,0.000126294
commit,1048576,1380,0,0.00016752
commit,1048576,1381,0,0.000145634
commit,1048576,1382,0,0.000155126
commit,1048576,1383,0,0.000156268
commit,1048576,1384,0,0.000176834
commit,1048576,1385,0,0.000170422
commit,1048576,1386,0,0.000158028
commit,1048576,1387,0,0.000182114
commit,1048576,1388,0,0.000165058
commit,1048576,1389,0,0.000166556
commit,1048576,139,0,0.000112234
commit,1048576,1390,0,0.000172884
commit,1048576,1391,0,0.000164356
commit,1048576,1392,0,0.000156886
commit,1048576,1393,0,0.000164618
commit,1048576,1394,0,0.000170422
commit,1048576,1395,0,0.00017455
commit,1048576,1396,0,0.000155126
commit,1048576,1397,0,0.000179034
commit,1048576,1398,0,0.000165676
commit,1048576,1399,0,0.000165058
commit,1048576,14,0,8.9552e-05
commit,1048576,140,0,0.000129374
commit,1048576,1400,0,0.000176048
commit,1048576,1401,0,0.000182198
commit,1048576,1402,0,0.00016796
commit,1048576,1403,0,0.000182198
commit,1048576,1404,0,0.000167782
commit,1048576,1405,0,0.000178248
commit,1048576,1406,0,0.0001684
commit,1048576,1407,0,0.000165058
commit,1048576,1408,0,0.000182554
commit,1048576,1409,0,0.000163476
commit,1048576,141,0,0.000116802
commit,1048576,1410,0,0.00017631
commit,1048576,1411,0,0.000174906
commit,1048576,1412,0,0.000166818
commit,1048576,1413,0,0.000154068
commit,1048576,1414,0,0.000184838
commit,1048576,1415,0,0.00018554
commit,1048576,1416,0,0.000155828
commit,1048576,1417,0,0.000183696
commit,1048576,1418,0,0.000185184
commit,1048576,1419,0,0.000146954
commit,1048576,142,0,0.000126912
commit,1048576,1420,0,0.000177452
commit,1048576,1421,0,0.00016181
commit,1048576,1422,0,0.000164796
commit,1048576,1423,0,0.00017411
commit,1048576,1424,0,0.000181936
commit,1048576,1425,0,0.00016884
commit,1048576,1426,0,0.000164618
commit,1048576,1427,0,0.000166378
commit,1048576,1428,0,0.00016972
commit,1048576,1429,0,0.000169982
commit,1048576,143,0,0.000122344
commit,1048576,1430,0,0.000157148
commit,1048576,1431,0,0.00015829
commit,1048576,1432,0,0.000176572
commit,1048576,1433,0,0.000165676
commit,1048576,1434,0,0.000169982
commit,1048576,1435,0,0.000176572
commit,1048576,1436,0,0.00017675
commit,1048576,1437,0,0.000183958
commit,1048576,1438,0,0.00016884
commit,1048576,1439,0,0.000158028
commit,1048576,144,0,0.000120144
commit,1048576,1440,0,0.000168662
commit,1048576,1441,0,0.00017411
commit,1048576,1442,0,0.000165058
commit,1048576,1443,0,0.00017499
commit,1048576,1444,0,0.0001684
commit,1048576,1445,0,0.00018466
commit,1048576,1446,0,0.000165058
commit,1048576,1447,0,0.000174288
commit,1048576,1448,0,0.00018774
commit,1048576,1449,0,0.00016752
commit,1048576,145,0,0.000127174
commit,1048576,1450,0,0.00016796
commit,1048576,1451,0,0.000163476
commit,1048576,1452,0,0.000186242
commit,1048576,1453,0,0.000158814
commit,1048576,1454,0,0.00015082
commit,1048576,1455,0,0.000175168
