probe,BLOCK_SIZE,n,bench_simtime_avg,bench_simtime_min,bench_simtime_max
commit,1048576,1194,0.000162774,0.000162774,0.000162774
commit,1048576,1195,0.000162774,0.000162774,0.000162774
commit,1048576,1196,0.000162512,0.000162512,0.000162512
commit,1048576,1197,0.000173586,0.000173586,0.000173586
commit,1048576,1198,0.000164974,0.000164974,0.000164974
commit,1048576,1199,0.000172444,0.000172444,0.000172444
commit,1048576,12,8.006e-05,8.006e-05,8.006e-05
commit,1048576,120,0.000130254,0.000130254,0.000130254
commit,1048576,1200,0.000164974,0.000164974,0.000164974
commit,1048576,1201,0.000175168,0.000175168,0.000175168
commit,1048576,1202,0.00016796,0.00016796,0.00016796
commit,1048576,1203,0.000165236,0.000165236,0.000165236
commit,1048576,1204,0.00017323,0.00017323,0.00017323
commit,1048576,1205,0.000164178,0.000164178,0.000164178
commit,1048576,1206,0.000147478,0.000147478,0.000147478
commit,1048576,1207,0.000145278,0.000145278,0.000145278
commit,1048576,1208,0.000158028,0.000158028,0.000158028
commit,1048576,1209,0.000146336,0.000146336,0.000146336
commit,1048576,121,0.000121024,0.000121024,0.000121024
commit,1048576,1210,0.000158028,0.000158028,0.000158028
commit,1048576,1211,0.00016005,0.00016005,0.00016005
commit,1048576,1212,0.000165938,0.000165938,0.000165938
commit,1048576,1213,0.000174728,0.000174728,0.000174728
commit,1048576,1214,0.000148798,0.000148798,0.000148798
commit,1048576,1215,0.000141936,0.000141936,0.000141936
commit,1048576,1216,0.000159348,0.000159348,0.000159348
commit,1048576,1217,0.000172004,0.000172004,0.000172004
commit,1048576,1218,0.00015126,0.00015126,0.00015126
commit,1048576,1219,0.00016884,0.00016884,0.00016884
commit,1048576,122,0.000131574,0.000131574,0.000131574
commit,1048576,1220,0.000154864,0.000154864,0.000154864
commit,1048576,1221,0.000162512,0.000162512,0.000162512
commit,1048576,1222,0.000167698,0.000167698,0.000167698
commit,1048576,1223,0.000147918,0.000147918,0.000147918
commit,1048576,1224,0.000156006,0.000156006,0.000156006
commit,1048576,1225,0.00017675,0.00017675,0.00017675
commit,1048576,1226,0.000164796,0.000164796,0.000164796
commit,1048576,1227,0.000161192,0.000161192,0.000161192
commit,1048576,1228,0.000158028,0.000158028,0.000158028
commit,1048576,1229,0.000158468,0.000158468,0.000158468
commit,1048576,123,0.000130694,0.000130694,0.000130694
commit,1048576,1230,0.000174288,0.000174288,0.000174288
commit,1048576,1231,0.000166818,0.000166818,0.000166818
commit,1048576,1232,0.000171826,0.000171826,0.000171826
commit,1048576,1233,0.00016225,0.00016225,0.00016225
commit,1048576,1234,0.000171742,0.000171742,0.000171742
commit,1048576,1235,0.000156446,0.000156446,0.000156446
commit,1048576,1236,0.000156006,0.000156006,0.000156006
commit,1048576,1237,0.000154948,0.000154948,0.000154948
commit,1048576,1238,0.000167258,0.000167258,0.000167258
commit,1048576,1239,0.000163654,0.000163654,0.000163654
commit,1048576,124,0.000113114,0.000113114,0.000113114
commit,1048576,1240,0.000182198,0.000182198,0.000182198
commit,1048576,1241,0.000170328,0.000170328,0.000170328
commit,1048576,1242,0.000158468,0.000158468,0.000158468
commit,1048576,1243,0.000147216,0.000147216,0.000147216
commit,1048576,1244,0.000155744,0.000155744,0.000155744
commit,1048576,1245,0.000169542,0.000169542,0.000169542
commit,1048576,1246,0.000150118,0.000150118,0.000150118
commit,1048576,1247,0.000165676,0.000165676,0.000165676
commit,1048576,1248,0.000157326,0.000157326,0.000157326
commit,1048576,1249,0.000162774,0.000162774,0.000162774
commit,1048576,125,0.000118824,0.000118824,0.000118824
commit,1048576,1250,0.000172884,0.000172884,0.000172884
commit,1048576,1251,0.000173848,0.000173848,0.000173848
commit,1048576,1252,0.000145812,0.000145812,0.000145812
commit,1048576,1253,0.000157148,0.000157148,0.000157148
commit,1048576,1254,0.00018554,0.00018554,0.00018554
commit,1048576,1255,0.000173408,0.000173408,0.000173408
commit,1048576,1256,0.000176048,0.000176048,0.000176048
commit,1048576,1257,0.000161454,0.000161454,0.000161454
commit,1048576,1258,0.000147656,0.000147656,0.000147656
commit,1048576,1259,0.000164094,0.000164094,0.000164094
commit,1048576,126,0.000137284,0.000137284,0.000137284
commit,1048576,1260,0.00016005,0.00016005,0.00016005
commit,1048576,1261,0.00017675,0.00017675,0.00017675
commit,1048576,1262,0.000177012,0.000177012,0.000177012
commit,1048576,1263,0.000156446,0.000156446,0.000156446
commit,1048576,1264,0.00015961,0.00015961,0.00015961
commit,1048576,1265,0.000154602,0.000154602,0.000154602
commit,1048576,1266,0.000149144,0.000149144,0.000149144
commit,1048576,1267,0.00017587,0.00017587,0.00017587
commit,1048576,1268,0.000163916,0.000163916,0.000163916
commit,1048576,1269,0.000173586,0.000173586,0.000173586
commit,1048576,127,0.000103444,0.000103444,0.000103444
commit,1048576,1270,0.000162858,0.000162858,0.000162858
commit,1048576,1271,0.000176488,0.000176488,0.000176488
commit,1048576,1272,0.00016664,0.00016664,0.00016664
commit,1048576,1273,0.000148358,0.000148358,0.000148358
commit,1048576,1274,0.000167782,0.000167782,0.000167782
commit,1048576,1275,0.000165938,0.000165938,0.000165938
commit,1048576,1276,0.000148976,0.000148976,0.000148976
commit,1048576,1277,0.000158908,0.000158908,0.000158908
commit,1048576,1278,0.000173408,0.000173408,0.000173408
commit,1048576,1279,0.000165676,0.000165676,0.000165676
commit,1048576,128,0.000128934,0.000128934,0.000128934
commit,1048576,1280,0.000163476,0.000163476,0.000163476
commit,1048576,1281,0.000171826,0.000171826,0.000171826
commit,1048576,1282,0.000168924,0.000168924,0.000168924
commit,1048576,1283,0.000161276,0.000161276,0.000161276
commit,1048576,1284,0.00018686,0.00018686,0.00018686
commit,1048576,1285,0.00016664,0.00016664,0.00016664
commit,1048576,1286,0.000165498,0.000165498,0.000165498
commit,1048576,1287,0.00016752,0.00016752,0.00016752
commit,1048576,1288,0.000171826,0.000171826,0.000171826
commit,1048576,1289,0.000164974,0.000164974,0.000164974
commit,1048576,129,0.000119264,0.000119264,0.000119264
commit,1048576,1290,0.00016093,0.00016093,0.00016093
commit,1048576,1291,0.000164094,0.000164094,0.000164094
commit,1048576,1292,0.000148798,0.000148798,0.000148798
commit,1048576,1293,0.00017851,0.00017851,0.00017851
commit,1048576,1294,0.000166378,0.000166378,0.000166378
commit,1048576,1295,0.000174466,0.000174466,0.000174466
