i,suite,case,SIM_TIME,NO_FRUNCATE,BLOCK_SIZE,CHUNK,SEED,SKIP_WARMUP,FS,SIM_SIZE,DISK_SIZE,FILE_COUNT,SIZE,DISK_SIM,DISK_GEOMETRY,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
23,bench_p26_wt,bench_p26_wt_random,3600000000000,0,16384,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,18176,0,0,0,0,0,0,784,15.843218
23,bench_p26_wt,bench_p26_wt_random,3600000000000,0,16384,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,18176,0,0,0,0,0,0,2113536,15.843261
21,bench_p26_wt,bench_p26_wt_random,3600000000000,0,4096,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,18368,3077552,1117250,69998,574935784,285977229,286711808,3625229330326,16.106743
21,bench_p26_wt,bench_p26_wt_random,3600000000000,0,4096,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,18368,0,0,0,0,0,0,1984,16.106831
21,bench_p26_wt,bench_p26_wt_random,3600000000000,0,4096,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,18368,0,0,0,0,0,0,384,16.106881
21,bench_p26_wt,bench_p26_wt_random,3600000000000,0,4096,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,18368,0,0,0,0,0,0,784,16.106926
21,bench_p26_wt,bench_p26_wt_random,3600000000000,0,4096,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,18368,0,0,0,0,0,0,2101248,16.106970
29,bench_p26_wt,bench_p26_wt_random,3600000000000,0,1048576,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,12032,2171550,1088860,274,555433986,278721902,287309824,3619541134868,20.426546
29,bench_p26_wt,bench_p26_wt_random,3600000000000,0,1048576,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,12032,0,0,0,0,0,0,1520,20.426643
29,bench_p26_wt,bench_p26_wt_random,3600000000000,0,1048576,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,12032,0,0,0,0,0,0,384,20.426694
