i,suite,case,SIM_SIZE,DISK_SIM,DISK_GEOMETRY,CRYSTAL_DIV,NO_FRUNCATE,DISK_SIZE,FS,FILE_SIZE,BLOCK_SIZE,CHUNK,FILE_COUNT,SIZE,SKIP_WARMUP,SIM_TIME,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,8192,64,32768,2097152,0,3600000000000,42,heap,94933056,0,0,0,0,0,0,784,9.744085
13,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,8192,64,32768,2097152,0,3600000000000,42,usage,94933056,0,0,0,0,0,0,614400,9.744112
12,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,4096,64,32768,2097152,0,3600000000000,42,write,101405504,44952569,1520427,70311,696416275,258080721,287993856,3600040853638,10.055120
12,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,4096,64,32768,2097152,0,3600000000000,42,stack,101405504,0,0,0,0,0,0,3168,10.055194
12,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,4096,64,32768,2097152,0,3600000000000,42,ctx,101405504,0,0,0,0,0,0,528,10.055235
12,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,4096,64,32768,2097152,0,3600000000000,42,heap,101405504,0,0,0,0,0,0,784,10.055262
12,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,4096,64,32768,2097152,0,3600000000000,42,usage,101405504,0,0,0,0,0,0,778240,10.055288
29,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,1048576,64,32768,2097152,0,3600000000000,42,write,1261760,4433556,780390,286,217684549,195114043,299892736,3611999395682,4.312428
29,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,1048576,64,32768,2097152,0,3600000000000,42,stack,1261760,0,0,0,0,0,0,3168,4.312533
29,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,1048576,64,32768,2097152,0,3600000000000,42,ctx,1261760,0,0,0,0,0,0,512,4.312586
29,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,1048576,64,32768,2097152,0,3600000000000,42,heap,1261760,0,0,0,0,0,0,784,4.312633
29,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,1048576,64,32768,2097152,0,3600000000000,42,usage,1261760,0,0,0,0,0,0,8388608,4.312678
26,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,131072,64,32768,2097152,0,3600000000000,42,write,3131008,18069538,1081783,2226,421003464,239506770,291766272,3601084112892,5.123213
26,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,131072,64,32768,2097152,0,3600000000000,42,stack,3131008,0,0,0,0,0,0,3152,5.123320
26,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,131072,64,32768,2097152,0,3600000000000,42,ctx,3131008,0,0,0,0,0,0,512,5.123372
26,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,131072,64,32768,2097152,0,3600000000000,42,heap,3131008,0,0,0,0,0,0,784,5.123416
26,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,131072,64,32768,2097152,0,3600000000000,42,usage,3131008,0,0,0,0,0,0,5373952,5.123458
25,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,65536,64,32768,2097152,0,3600000000000,42,write,4036160,22306468,1183388,4424,480990289,250951344,289931264,3601429504072,5.766438
25,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,65536,64,32768,2097152,0,3600000000000,42,stack,4036160,0,0,0,0,0,0,3104,5.766537
25,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,65536,64,32768,2097152,0,3600000000000,42,ctx,4036160,0,0,0,0,0,0,512,5.766589
25,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,65536,64,32768,2097152,0,3600000000000,42,heap,4036160,0,0,0,0,0,0,784,5.766634
25,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,65536,64,32768,2097152,0,3600000000000,42,usage,4036160,0,0,0,0,0,0,4718592,5.766676
28,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,524288,64,32768,2097152,0,3600000000000,42,write,1715520,6126092,837262,567,245057895,207507592,297271296,3603901784200,6.254474
28,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,524288,64,32768,2097152,0,3600000000000,42,stack,1715520,0,0,0,0,0,0,3168,6.254571
28,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,524288,64,32768,2097152,0,3600000000000,42,ctx,1715520,0,0,0,0,0,0,512,6.254623
28,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,524288,64,32768,2097152,0,3600000000000,42,heap,1715520,0,0,0,0,0,0,784,6.254668
28,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,524288,64,32768,2097152,0,3600000000000,42,usage,1715520,0,0,0,0,0,0,7864320,6.254713
27,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,262144,64,32768,2097152,0,3600000000000,42,write,2382464,10296477,896642,1125,297077487,220116154,294912000,3600010087108,6.308219
27,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,262144,64,32768,2097152,0,3600000000000,42,stack,2382464,0,0,0,0,0,0,3152,6.308301
27,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,262144,64,32768,2097152,0,3600000000000,42,ctx,2382464,0,0,0,0,0,0,512,6.308345
27,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,262144,64,32768,2097152,0,3600000000000,42,heap,2382464,0,0,0,0,0,0,784,6.308382
27,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,262144,64,32768,2097152,0,3600000000000,42,usage,2382464,0,0,0,0,0,0,6815744,6.308413
24,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,32768,64,32768,2097152,0,3600000000000,42,write,5156352,26606585,1262175,8813,532382492,256969898,288784384,3600406920940,8.929461
24,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,32768,64,32768,2097152,0,3600000000000,42,stack,5156352,0,0,0,0,0,0,3152,8.929548
24,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,32768,64,32768,2097152,0,3600000000000,42,ctx,5156352,0,0,0,0,0,0,512,8.929590
24,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,32768,64,32768,2097152,0,3600000000000,42,heap,5156352,0,0,0,0,0,0,784,8.929624
24,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,32768,64,32768,2097152,0,3600000000000,42,usage,5156352,0,0,0,0,0,0,4456448,8.929655
23,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,16384,64,32768,2097152,0,3600000000000,42,write,6297216,35938261,1310009,17591,632081044,258253464,288210944,3600125652592,9.314503
23,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,16384,64,32768,2097152,0,3600000000000,42,stack,6297216,0,0,0,0,0,0,3152,9.314580
23,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,16384,64,32768,2097152,0,3600000000000,42,ctx,6297216,0,0,0,0,0,0,512,9.314632
23,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,16384,64,32768,2097152,0,3600000000000,42,heap,6297216,0,0,0,0,0,0,784,9.314667
23,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,16384,64,32768,2097152,0,3600000000000,42,usage,6297216,0,0,0,0,0,0,4276224,9.314698
22,bench_p26_wt,bench_p26_wt_random,0,1,0,2,0,134217728,38,64,8192,64,32768,2097152,0,3600000000000,42,write,7061312,51184768,1429985,35102,824626041,258080954,287555584,3600354756692,10.276044
