i,suite,case,DISK_GEOMETRY,BLOCK_SIZE,SIZE,FS,NO_FRUNCATE,DISK_SIM,CHUNK,CRYSTAL_DIV,SEED,FILE_SIZE,FILE_COUNT,SIM_TIME,SIM_SIZE,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
22,bench_p26_wt,bench_p26_wt_random,0,8192,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,2003712,0,0,0,0,0,0,784,7.405271
22,bench_p26_wt,bench_p26_wt_random,0,8192,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,2003712,0,0,0,0,0,0,2736128,7.405303
25,bench_p26_wt,bench_p26_wt_random,0,65536,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,3908736,22239244,1156754,4437,474902325,244865892,290783232,3600918520896,7.953720
25,bench_p26_wt,bench_p26_wt_random,0,65536,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,3908736,0,0,0,0,0,0,3104,7.953802
25,bench_p26_wt,bench_p26_wt_random,0,65536,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,3908736,0,0,0,0,0,0,512,7.953855
25,bench_p26_wt,bench_p26_wt_random,0,65536,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,3908736,0,0,0,0,0,0,784,7.953892
25,bench_p26_wt,bench_p26_wt_random,0,65536,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,3908736,0,0,0,0,0,0,4915200,7.953925
23,bench_p26_wt,bench_p26_wt_random,0,16384,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,6750464,43261849,1335342,17658,696632310,249048736,289308672,3600205463344,8.030095
23,bench_p26_wt,bench_p26_wt_random,0,16384,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,6750464,0,0,0,0,0,0,3152,8.030156
23,bench_p26_wt,bench_p26_wt_random,0,16384,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,6750464,0,0,0,0,0,0,512,8.030193
23,bench_p26_wt,bench_p26_wt_random,0,16384,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,6750464,0,0,0,0,0,0,784,8.030223
