i,suite,case,CRYSTAL_THRESH,DISK_SIM,SIM_TIME,SIZE,DISK_GEOMETRY,FS,FILE_COUNT,SKIP_WARMUP,NO_FRUNCATE,CHUNK,SEED,FILE_SIZE,DISK_SIZE,BLOCK_SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,262144,0,heap,43937856,0,0,0,0,0,0,784,18.157427
18,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,262144,0,usage,43937856,0,0,0,0,0,0,7340032,18.157453
12,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,4096,0,write,50661440,49397056,1235233,71503,860128868,220103636,292876288,3600148006840,21.705195
12,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,4096,0,stack,50661440,0,0,0,0,0,0,3232,21.705264
12,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,4096,0,ctx,50661440,0,0,0,0,0,0,528,21.713648
12,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,4096,0,heap,50661440,0,0,0,0,0,0,784,21.713721
12,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,4096,0,usage,50661440,0,0,0,0,0,0,794624,21.713786
25,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,65536,0,write,17946496,45767428,1470397,4342,818613855,279028135,284557312,3600313693402,15.826711
25,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,65536,0,stack,17946496,0,0,0,0,0,0,3184,15.826822
25,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,65536,0,ctx,17946496,0,0,0,0,0,0,512,15.826878
25,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,65536,0,heap,17946496,0,0,0,0,0,0,784,15.826952
25,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,65536,0,usage,17946496,0,0,0,0,0,0,7340032,15.827002
23,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,16384,0,write,16451328,62738631,1661055,17344,1066797649,275298821,284164096,3600021399438,16.839317
23,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,16384,0,stack,16451328,0,0,0,0,0,0,3184,16.839432
23,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,16384,0,ctx,16451328,0,0,0,0,0,0,512,16.839487
23,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,16384,0,heap,16451328,0,0,0,0,0,0,784,16.839535
23,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,16384,0,usage,16451328,0,0,0,0,0,0,6602752,16.839582
24,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,32768,0,write,17754112,51456266,1465923,8682,886343070,277649275,284491776,3600121526986,21.883209
24,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,32768,0,stack,17754112,0,0,0,0,0,0,3184,21.883375
24,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,32768,0,ctx,17754112,0,0,0,0,0,0,512,21.883431
24,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,32768,0,heap,17754112,0,0,0,0,0,0,784,21.883479
24,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,32768,0,usage,17754112,0,0,0,0,0,0,7143424,21.883526
22,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,8192,0,write,16540864,66771014,1650949,34732,1104886376,271864357,284524544,3600071508198,22.354351
22,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,8192,0,stack,16540864,0,0,0,0,0,0,3184,22.354526
22,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,8192,0,ctx,16540864,0,0,0,0,0,0,512,22.354596
22,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,8192,0,heap,16540864,0,0,0,0,0,0,784,22.354643
22,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,8192,0,usage,16540864,0,0,0,0,0,0,6709248,22.354687
29,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,1048576,0,write,17424832,40678857,1464602,272,749520046,278737732,285212672,3604290308456,23.168574
29,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,1048576,0,stack,17424832,0,0,0,0,0,0,3184,23.168670
29,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,1048576,0,ctx,17424832,0,0,0,0,0,0,512,23.168720
29,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,1048576,0,heap,17424832,0,0,0,0,0,0,784,23.168764
29,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,1048576,0,usage,17424832,0,0,0,0,0,0,10485760,23.168806
28,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,524288,0,write,17862464,41265123,1474836,543,760345332,279393863,284688384,3600001491170,23.213276
28,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,524288,0,stack,17862464,0,0,0,0,0,0,3184,23.213395
28,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,524288,0,ctx,17862464,0,0,0,0,0,0,512,23.213429
28,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,524288,0,heap,17862464,0,0,0,0,0,0,784,23.213457
28,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,524288,0,usage,17862464,0,0,0,0,0,0,9437184,23.213484
26,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,131072,0,write,17591552,42281387,1467229,2172,780575414,279382481,284688384,3600792688126,23.662845
26,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,131072,0,stack,17591552,0,0,0,0,0,0,3184,23.662941
26,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,131072,0,ctx,17591552,0,0,0,0,0,0,512,23.662986
26,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,131072,0,heap,17591552,0,0,0,0,0,0,784,23.663022
26,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,131072,0,usage,17591552,0,0,0,0,0,0,8257536,23.663056
27,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,262144,0,write,17730432,41718061,1469972,1086,768999783,279175610,284688384,3600002392964,24.202119
27,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,262144,0,stack,17730432,0,0,0,0,0,0,3184,24.202180
27,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,262144,0,ctx,17730432,0,0,0,0,0,0,512,24.202208
27,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,262144,0,heap,17730432,0,0,0,0,0,0,784,24.202231
