i,suite,case,BLOCK_SIZE,DISK_SIM,SIM_SIZE,NO_FRUNCATE,DISK_GEOMETRY,SIZE,SKIP_WARMUP,SIM_TIME,SEED,FILE_SIZE,FS,DISK_SIZE,FILE_COUNT,CRYSTAL_DIV,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
23,bench_p26_wt,bench_p26_wt_random,16384,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,6271232,0,0,0,0,0,0,784,8.864199
23,bench_p26_wt,bench_p26_wt_random,16384,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,6271232,0,0,0,0,0,0,4390912,8.864236
22,bench_p26_wt,bench_p26_wt_random,8192,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,7148096,53912023,1326727,35235,828531514,250336449,288645120,3600228811198,10.324819
22,bench_p26_wt,bench_p26_wt_random,8192,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,7148096,0,0,0,0,0,0,3152,10.324892
22,bench_p26_wt,bench_p26_wt_random,8192,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,7148096,0,0,0,0,0,0,512,10.324926
22,bench_p26_wt,bench_p26_wt_random,8192,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,7148096,0,0,0,0,0,0,784,10.324954
22,bench_p26_wt,bench_p26_wt_random,8192,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,7148096,0,0,0,0,0,0,4440064,10.324980
21,bench_p26_wt,bench_p26_wt_random,4096,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,8275840,63944554,1569588,70365,981946343,249337555,288215040,3600060295170,11.662293
21,bench_p26_wt,bench_p26_wt_random,4096,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,8275840,0,0,0,0,0,0,3152,11.662358
21,bench_p26_wt,bench_p26_wt_random,4096,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,8275840,0,0,0,0,0,0,512,11.662390
21,bench_p26_wt,bench_p26_wt_random,4096,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,8275840,0,0,0,0,0,0,784,11.662415
21,bench_p26_wt,bench_p26_wt_random,4096,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,8275840,0,0,0,0,0,0,4476928,11.662438
35,bench_p26_wt,bench_p26_wt_logging,131072,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,40779776,41302649,3178947,2184,404026188,278274434,286261248,3601257272636,9.087721
35,bench_p26_wt,bench_p26_wt_logging,131072,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,40779776,0,0,0,0,0,0,3168,9.087832
35,bench_p26_wt,bench_p26_wt_logging,131072,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,40779776,0,0,0,0,0,0,528,9.087889
35,bench_p26_wt,bench_p26_wt_logging,131072,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,40779776,0,0,0,0,0,0,784,9.087940
35,bench_p26_wt,bench_p26_wt_logging,131072,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,40779776,0,0,0,0,0,0,2883584,9.087988
30,bench_p26_wt,bench_p26_wt_logging,4096,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,18512000,80389330,2476337,69534,1104303768,269869463,284811264,3600042187490,13.014009
30,bench_p26_wt,bench_p26_wt_logging,4096,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,18512000,0,0,0,0,0,0,3168,13.014114
30,bench_p26_wt,bench_p26_wt_logging,4096,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,18512000,0,0,0,0,0,0,528,13.022424
30,bench_p26_wt,bench_p26_wt_logging,4096,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,18512000,0,0,0,0,0,0,784,13.022480
30,bench_p26_wt,bench_p26_wt_logging,4096,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,18512000,0,0,0,0,0,0,2203648,13.022519
32,bench_p26_wt,bench_p26_wt_logging,16384,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,26809856,99637770,2361917,17320,1120149118,276772287,283770880,3600166610434,13.023423
32,bench_p26_wt,bench_p26_wt_logging,16384,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,26809856,0,0,0,0,0,0,3168,13.023500
32,bench_p26_wt,bench_p26_wt_logging,16384,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,26809856,0,0,0,0,0,0,528,13.023556
32,bench_p26_wt,bench_p26_wt_logging,16384,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,26809856,0,0,0,0,0,0,784,13.023605
32,bench_p26_wt,bench_p26_wt_logging,16384,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,26809856,0,0,0,0,0,0,2195456,13.023676
37,bench_p26_wt,bench_p26_wt_logging,524288,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,45530368,37251318,3557536,547,356720901,277821593,286785536,3604408494662,13.189458
37,bench_p26_wt,bench_p26_wt_logging,524288,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,45530368,0,0,0,0,0,0,3168,13.189564
37,bench_p26_wt,bench_p26_wt_logging,524288,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,45530368,0,0,0,0,0,0,528,13.189619
37,bench_p26_wt,bench_p26_wt_logging,524288,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,45530368,0,0,0,0,0,0,784,13.189667
37,bench_p26_wt,bench_p26_wt_logging,524288,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,45530368,0,0,0,0,0,0,4194304,13.189713
33,bench_p26_wt,bench_p26_wt_logging,32768,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,34376384,52867682,2746816,8715,554448988,278538439,285573120,3600132066338,14.338284
33,bench_p26_wt,bench_p26_wt_logging,32768,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,34376384,0,0,0,0,0,0,3168,14.338380
33,bench_p26_wt,bench_p26_wt_logging,32768,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,34376384,0,0,0,0,0,0,528,14.338433
33,bench_p26_wt,bench_p26_wt_logging,32768,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,34376384,0,0,0,0,0,0,784,14.338480
33,bench_p26_wt,bench_p26_wt_logging,32768,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,34376384,0,0,0,0,0,0,2260992,14.338524
38,bench_p26_wt,bench_p26_wt_logging,1048576,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,47746560,34279269,3733140,274,319206953,277067344,287309824,3607474542792,14.536928
38,bench_p26_wt,bench_p26_wt_logging,1048576,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,47746560,0,0,0,0,0,0,3168,14.537015
38,bench_p26_wt,bench_p26_wt_logging,1048576,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,47746560,0,0,0,0,0,0,528,14.537064
38,bench_p26_wt,bench_p26_wt_logging,1048576,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,47746560,0,0,0,0,0,0,784,14.537107
38,bench_p26_wt,bench_p26_wt_logging,1048576,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,47746560,0,0,0,0,0,0,6291456,14.537149
36,bench_p26_wt,bench_p26_wt_logging,262144,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,42998272,39385825,3355263,1093,380554045,277914164,286523392,3602628353760,14.569308
36,bench_p26_wt,bench_p26_wt_logging,262144,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,42998272,0,0,0,0,0,0,3168,14.569362
36,bench_p26_wt,bench_p26_wt_logging,262144,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,42998272,0,0,0,0,0,0,528,14.569394
36,bench_p26_wt,bench_p26_wt_logging,262144,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,42998272,0,0,0,0,0,0,784,14.569421
36,bench_p26_wt,bench_p26_wt_logging,262144,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,42998272,0,0,0,0,0,0,3407872,14.569444
34,bench_p26_wt,bench_p26_wt_logging,65536,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,37887744,44365424,2968924,4364,444682612,278555186,285999104,3600447765276,14.992494
34,bench_p26_wt,bench_p26_wt_logging,65536,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,37887744,0,0,0,0,0,0,3168,14.992559
34,bench_p26_wt,bench_p26_wt_logging,65536,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,37887744,0,0,0,0,0,0,528,14.992594
34,bench_p26_wt,bench_p26_wt_logging,65536,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,37887744,0,0,0,0,0,0,784,14.992622
34,bench_p26_wt,bench_p26_wt_logging,65536,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,37887744,0,0,0,0,0,0,2424832,14.992651
31,bench_p26_wt,bench_p26_wt_logging,8192,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,19999488,78838516,2637366,34760,1107403468,270168125,284753920,3600008677590,17.521854
31,bench_p26_wt,bench_p26_wt_logging,8192,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,19999488,0,0,0,0,0,0,3168,17.521922
31,bench_p26_wt,bench_p26_wt_logging,8192,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,19999488,0,0,0,0,0,0,528,17.522004
31,bench_p26_wt,bench_p26_wt_logging,8192,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,19999488,0,0,0,0,0,0,784,17.522032
31,bench_p26_wt,bench_p26_wt_logging,8192,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,19999488,0,0,0,0,0,0,2170880,17.522058
