i,suite,case,SKIP_WARMUP,NO_FRUNCATE,CHUNK,SIM_SIZE,FILE_COUNT,SEED,DISK_SIZE,SIZE,SIM_TIME,DISK_SIM,DISK_GEOMETRY,BLOCK_SIZE,FS,FILE_SIZE,CRYSTAL_DIV,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
20,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,1048576,34,64,32,heap,268468288,0,0,0,0,0,0,784,7.050719
20,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,1048576,34,64,32,usage,268468288,0,0,0,0,0,0,3145728,7.050741
13,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,8192,34,64,32,write,277127488,2533758,1142955,35002,34657360,283561692,286736384,3600066805768,7.193235
13,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,8192,34,64,32,stack,277127488,0,0,0,0,0,0,3168,7.193298
13,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,8192,34,64,32,ctx,277127488,0,0,0,0,0,0,528,7.193329
13,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,8192,34,64,32,heap,277127488,0,0,0,0,0,0,784,7.193353
13,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,8192,34,64,32,usage,277127488,0,0,0,0,0,0,344064,7.193376
29,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,1048576,34,64,32,write,1052544,3616114,477556,296,138956053,118308842,310378496,3602540987220,5.038862
29,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,1048576,34,64,32,stack,1052544,0,0,0,0,0,0,3168,5.038972
29,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,1048576,34,64,32,ctx,1052544,0,0,0,0,0,0,512,5.039028
29,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,1048576,34,64,32,heap,1052544,0,0,0,0,0,0,784,5.039077
29,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,1048576,34,64,32,usage,1052544,0,0,0,0,0,0,11534336,5.039125
