i,suite,case,SIM_SIZE,BLOCK_SIZE,SEED,DISK_GEOMETRY,DISK_SIM,DISK_SIZE,FILE_SIZE,CHUNK,FS,CRYSTAL_DIV,SIZE,FILE_COUNT,SIM_TIME,NO_FRUNCATE,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
34,bench_p26_wt,bench_p26_wt_logging,0,65536,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,39010048,0,0,0,0,0,0,2424832,16.895687
32,bench_p26_wt,bench_p26_wt_logging,0,16384,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,29861632,102501684,2555913,17322,1117306123,276559586,283803648,3600076386900,17.769842
32,bench_p26_wt,bench_p26_wt_logging,0,16384,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,29861632,0,0,0,0,0,0,3072,17.769926
32,bench_p26_wt,bench_p26_wt_logging,0,16384,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,29861632,0,0,0,0,0,0,528,17.769962
32,bench_p26_wt,bench_p26_wt_logging,0,16384,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,29861632,0,0,0,0,0,0,784,17.769990
32,bench_p26_wt,bench_p26_wt_logging,0,16384,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,29861632,0,0,0,0,0,0,2195456,17.770030
31,bench_p26_wt,bench_p26_wt_logging,0,8192,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,22047232,78933760,2854827,34672,1102745015,275346048,284033024,3600094050200,17.901747
31,bench_p26_wt,bench_p26_wt_logging,0,8192,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,22047232,0,0,0,0,0,0,3008,17.901808
31,bench_p26_wt,bench_p26_wt_logging,0,8192,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,22047232,0,0,0,0,0,0,528,17.901841
31,bench_p26_wt,bench_p26_wt_logging,0,8192,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,22047232,0,0,0,0,0,0,784,17.901868
31,bench_p26_wt,bench_p26_wt_logging,0,8192,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,22047232,0,0,0,0,0,0,2170880,17.901893
