i,suite,case,CHUNK,BLOCK_SIZE,FILE_COUNT,SKIP_WARMUP,DISK_GEOMETRY,NO_FRUNCATE,SIM_SIZE,FS,SIM_TIME,DISK_SIZE,SEED,SIZE,NO_SET,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,268754432,66560,1119150,69936,66560,286502400,286457856,3600275465216,3.097597
16,bench_p26_wt,bench_p26_wt_linear,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,268754432,0,0,0,0,0,0,8704,3.097654
16,bench_p26_wt,bench_p26_wt_linear,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,268754432,0,0,0,0,0,0,7168,3.097683
16,bench_p26_wt,bench_p26_wt_linear,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,268754432,0,0,0,0,0,0,101196,3.097707
16,bench_p26_wt,bench_p26_wt_linear,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,268754432,0,0,0,0,0,0,7966880,3.097729
26,bench_p26_wt,bench_p26_wt_random,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,30852288,276044800,1117322,69728,276044800,286034432,285605888,3601214548992,1.254079
26,bench_p26_wt,bench_p26_wt_random,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,30852288,0,0,0,0,0,0,8688,1.254230
26,bench_p26_wt,bench_p26_wt_random,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,30852288,0,0,0,0,0,0,7152,1.254287
26,bench_p26_wt,bench_p26_wt_random,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,30852288,0,0,0,0,0,0,96260,1.254338
26,bench_p26_wt,bench_p26_wt_random,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,30852288,0,0,0,0,0,0,9749008,1.254387
23,bench_p26_wt,bench_p26_wt_random,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,30729088,274941440,1117368,69704,274941440,286046208,285507584,3600109076480,1.273181
23,bench_p26_wt,bench_p26_wt_random,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,30729088,0,0,0,0,0,0,8688,1.273281
23,bench_p26_wt,bench_p26_wt_random,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,30729088,0,0,0,0,0,0,7152,1.273338
23,bench_p26_wt,bench_p26_wt_random,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,30729088,0,0,0,0,0,0,189140,1.273372
