i,suite,case,SIZE,NO_SET,FS,CHUNK,DISK_SIZE,SKIP_WARMUP,FILE_SIZE,SIM_SIZE,BLOCK_SIZE,FILE_COUNT,NO_FRUNCATE,SEED,SIM_TIME,DISK_GEOMETRY,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,8192,32768,0,42,3600000000000,1,write,21857856,100976368,522180,5814,51699900416,267356160,47628288,3600157325312,51.508181
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,8192,32768,0,42,3600000000000,1,stack,21857856,0,0,0,0,0,0,1296,51.508284
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,8192,32768,0,42,3600000000000,1,ctx,21857856,0,0,0,0,0,0,336,51.508315
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,8192,32768,0,42,3600000000000,1,heap,21857856,0,0,0,0,0,0,2696,51.508339
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,8192,32768,0,42,3600000000000,1,usage,21857856,0,0,0,0,0,0,11509369,51.508362
22,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,8192,32768,0,42,3600000000000,1,write,596352,103170787,235572,1880,52823442944,120612864,15400960,3600552413696,35.501843
22,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,8192,32768,0,42,3600000000000,1,stack,596352,0,0,0,0,0,0,1312,35.501972
22,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,8192,32768,0,42,3600000000000,1,ctx,596352,0,0,0,0,0,0,352,35.502035
22,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,8192,32768,0,42,3600000000000,1,heap,596352,0,0,0,0,0,0,2696,35.502086
22,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,8192,32768,0,42,3600000000000,1,usage,596352,0,0,0,0,0,0,12729647,35.502132
23,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,16384,32768,0,42,3600000000000,1,write,1421120,101150519,500662,1794,51789065728,256338944,29392896,3600272141824,39.782935
23,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,16384,32768,0,42,3600000000000,1,stack,1421120,0,0,0,0,0,0,1312,39.783046
23,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,16384,32768,0,42,3600000000000,1,ctx,1421120,0,0,0,0,0,0,352,39.783112
23,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,16384,32768,0,42,3600000000000,1,heap,1421120,0,0,0,0,0,0,2696,39.783162
23,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,16384,32768,0,42,3600000000000,1,usage,1421120,0,0,0,0,0,0,8625167,39.783207
21,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,4096,32768,0,42,3600000000000,1,write,163584,104258290,95806,1966,53380244480,49052672,8052736,3601466875904,49.176990
21,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,4096,32768,0,42,3600000000000,1,stack,163584,0,0,0,0,0,0,1312,49.177099
