i,suite,case,SKIP_WARMUP,CHUNK,SIM_SIZE,FS,SIZE,FILE_COUNT,DISK_GEOMETRY,NO_SET,FILE_SIZE,SEED,DISK_SIZE,SIM_TIME,NO_FRUNCATE,BLOCK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,4096,heap,284971520,0,0,0,0,0,0,784,4.798212
12,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,4096,usage,284971520,0,0,0,0,0,0,1880064,4.798244
26,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,131072,write,16832,555622197,1086128,70080,555622197,277996741,287047680,3615602862823,15.321142
26,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,131072,stack,16832,0,0,0,0,0,0,1520,15.321249
26,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,131072,ctx,16832,0,0,0,0,0,0,384,15.321306
26,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,131072,heap,16832,0,0,0,0,0,0,784,15.321357
26,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,131072,usage,16832,0,0,0,0,0,0,2359296,15.321414
24,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,32768,write,17920,563152359,1103360,70200,563152359,282436502,287539200,3628283269178,15.592106
24,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,32768,stack,17920,0,0,0,0,0,0,1840,15.592206
24,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,32768,ctx,17920,0,0,0,0,0,0,384,15.592271
24,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,32768,heap,17920,0,0,0,0,0,0,784,15.592318
24,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,32768,usage,17920,0,0,0,0,0,0,2162688,15.592368
21,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,4096,write,18368,574935784,1117250,69998,574935784,285977229,286711808,3625289929399,16.188326
21,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,4096,stack,18368,0,0,0,0,0,0,1984,16.188424
21,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,4096,ctx,18368,0,0,0,0,0,0,384,16.188475
21,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,4096,heap,18368,0,0,0,0,0,0,784,16.188519
21,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,4096,usage,18368,0,0,0,0,0,0,2101248,16.188560
29,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,write,12032,555433986,1088860,70144,555433986,278721902,287309824,3619582176122,20.391138
29,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,stack,12032,0,0,0,0,0,0,1520,20.391231
29,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,ctx,12032,0,0,0,0,0,0,384,20.391281
29,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,heap,12032,0,0,0,0,0,0,784,20.391325
29,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,usage,12032,0,0,0,0,0,0,4194304,20.391368
28,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,524288,write,14336,556267800,1090328,70400,556267800,279097962,288358400,3631729717662,20.544363
28,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,524288,stack,14336,0,0,0,0,0,0,1520,20.544444
28,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,524288,ctx,14336,0,0,0,0,0,0,384,20.544485
28,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,524288,heap,14336,0,0,0,0,0,0,784,20.544513
