i,suite,case,FILE_COUNT,DISK_GEOMETRY,NO_SET,SIZE,CHUNK,SIM_TIME,BLOCK_SIZE,DISK_SIZE,FILE_SIZE,SEED,FS,NO_FRUNCATE,SIM_SIZE,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
29,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,1048576,134217728,64,42,5,0,0,0,heap,653026688,0,0,0,0,0,0,85620,15.078163
29,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,1048576,134217728,64,42,5,0,0,0,usage,653026688,0,0,0,0,0,0,11634848,15.078210
25,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,65536,134217728,64,42,5,0,0,0,write,659377984,11602080,11980706,93591,5940264960,6134121472,6133579776,3600001035264,15.257205
25,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,65536,134217728,64,42,5,0,0,0,stack,659377984,0,0,0,0,0,0,8688,15.257356
25,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,65536,134217728,64,42,5,0,0,0,ctx,659377984,0,0,0,0,0,0,7152,15.257411
25,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,65536,134217728,64,42,5,0,0,0,heap,659377984,0,0,0,0,0,0,101196,15.257460
25,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,65536,134217728,64,42,5,0,0,0,usage,659377984,0,0,0,0,0,0,9822416,15.257505
26,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,131072,134217728,64,42,5,0,0,0,write,661735104,11643680,11975363,46775,5961564160,6131385856,6130892800,3600000819712,15.634481
26,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,131072,134217728,64,42,5,0,0,0,stack,661735104,0,0,0,0,0,0,8688,15.634607
26,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,131072,134217728,64,42,5,0,0,0,ctx,661735104,0,0,0,0,0,0,7152,15.634660
