i,suite,case,FS,CHUNK,FILE_COUNT,BLOCK_SIZE,SIM_SIZE,NO_FRUNCATE,FILE_SIZE,DISK_SIZE,NO_SET,SIM_TIME,DISK_GEOMETRY,SKIP_WARMUP,SEED,SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,2,64,32768,8192,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,6046363904,0,0,0,0,0,0,1552,71.435660
13,bench_p26_wt,bench_p26_wt_linear,2,64,32768,8192,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,6046363904,0,0,0,0,0,0,311296,71.435693
15,bench_p26_wt,bench_p26_wt_linear,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,6097075072,12172408,11911260,188975,6104961320,6098565120,6192332800,3600000871928,74.490978
15,bench_p26_wt,bench_p26_wt_linear,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,6097075072,0,0,0,0,0,0,2000,74.491059
15,bench_p26_wt,bench_p26_wt_linear,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,6097075072,0,0,0,0,0,0,400,74.491105
15,bench_p26_wt,bench_p26_wt_linear,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,6097075072,0,0,0,0,0,0,1552,74.491130
15,bench_p26_wt,bench_p26_wt_linear,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,6097075072,0,0,0,0,0,0,786432,74.491153
21,bench_p26_wt,bench_p26_wt_random,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,307712,32668903,9750181,1220532,10090539898,4992092672,4999299072,3600571688974,262.434407
21,bench_p26_wt,bench_p26_wt_random,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,307712,0,0,0,0,0,0,1984,262.434541
21,bench_p26_wt,bench_p26_wt_random,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,307712,0,0,0,0,0,0,384,262.434597
21,bench_p26_wt,bench_p26_wt_random,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,307712,0,0,0,0,0,0,1552,262.434644
