i,suite,case,SIZE,NO_SET,BLOCK_SIZE,SKIP_WARMUP,CHUNK,FS,SEED,FILE_COUNT,SIM_SIZE,FILE_SIZE,DISK_SIZE,SIM_TIME,DISK_GEOMETRY,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,2097152,0,65536,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,247074880,0,0,0,0,0,0,784,5.964960
16,bench_p26_wt,bench_p26_wt_linear,2097152,0,65536,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,247074880,0,0,0,0,0,0,2097152,5.964985
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,8192,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,251314496,130547658,1259361,68572,130547658,277667939,280870912,3600051034601,6.303451
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,8192,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,251314496,0,0,0,0,0,0,3264,6.303518
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,8192,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,251314496,0,0,0,0,0,0,624,6.303546
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,8192,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,251314496,0,0,0,0,0,0,784,6.303571
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,8192,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,251314496,0,0,0,0,0,0,1826816,6.303592
29,bench_p26_wt,bench_p26_wt_random,2097152,0,1048576,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,885760,112719720,661160,74240,112719720,93463119,304087040,3611533437981,4.605405
29,bench_p26_wt,bench_p26_wt_random,2097152,0,1048576,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,885760,0,0,0,0,0,0,3312,4.605513
29,bench_p26_wt,bench_p26_wt_random,2097152,0,1048576,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,885760,0,0,0,0,0,0,608,4.613811
29,bench_p26_wt,bench_p26_wt_random,2097152,0,1048576,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,885760,0,0,0,0,0,0,784,4.613873
29,bench_p26_wt,bench_p26_wt_random,2097152,0,1048576,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,885760,0,0,0,0,0,0,8388608,4.613922
26,bench_p26_wt,bench_p26_wt_random,2097152,0,131072,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,2860480,368889785,1647188,64960,368889785,212586221,266076160,3600993463423,4.653825
26,bench_p26_wt,bench_p26_wt_random,2097152,0,131072,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,2860480,0,0,0,0,0,0,3248,4.653899
26,bench_p26_wt,bench_p26_wt_random,2097152,0,131072,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,2860480,0,0,0,0,0,0,608,4.653963
26,bench_p26_wt,bench_p26_wt_random,2097152,0,131072,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,2860480,0,0,0,0,0,0,784,4.654009
26,bench_p26_wt,bench_p26_wt_random,2097152,0,131072,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,2860480,0,0,0,0,0,0,5767168,4.654049
28,bench_p26_wt,bench_p26_wt_random,2097152,0,524288,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,1482624,178572435,1075132,70400,178572435,146052334,288358400,3608013691042,5.088104
28,bench_p26_wt,bench_p26_wt_random,2097152,0,524288,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,1482624,0,0,0,0,0,0,3280,5.088233
28,bench_p26_wt,bench_p26_wt_random,2097152,0,524288,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,1482624,0,0,0,0,0,0,608,5.088285
28,bench_p26_wt,bench_p26_wt_random,2097152,0,524288,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,1482624,0,0,0,0,0,0,784,5.088331
28,bench_p26_wt,bench_p26_wt_random,2097152,0,524288,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,1482624,0,0,0,0,0,0,6815744,5.088373
25,bench_p26_wt,bench_p26_wt_random,2097152,0,65536,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,3617408,423093199,1749817,64016,423093199,221706529,262209536,3601920891083,5.262921
25,bench_p26_wt,bench_p26_wt_random,2097152,0,65536,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,3617408,0,0,0,0,0,0,3248,5.263017
25,bench_p26_wt,bench_p26_wt_random,2097152,0,65536,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,3617408,0,0,0,0,0,0,608,5.263066
25,bench_p26_wt,bench_p26_wt_random,2097152,0,65536,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,3617408,0,0,0,0,0,0,784,5.263111
25,bench_p26_wt,bench_p26_wt_random,2097152,0,65536,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,3617408,0,0,0,0,0,0,4849664,5.263153
27,bench_p26_wt,bench_p26_wt_random,2097152,0,262144,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,2206656,260719915,1395698,67392,260719915,188581132,276037632,3605019112604,5.833191
27,bench_p26_wt,bench_p26_wt_random,2097152,0,262144,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,2206656,0,0,0,0,0,0,3280,5.833282
27,bench_p26_wt,bench_p26_wt_random,2097152,0,262144,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,2206656,0,0,0,0,0,0,608,5.833325
27,bench_p26_wt,bench_p26_wt_random,2097152,0,262144,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,2206656,0,0,0,0,0,0,784,5.833360
27,bench_p26_wt,bench_p26_wt_random,2097152,0,262144,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,2206656,0,0,0,0,0,0,4456448,5.833392
23,bench_p26_wt,bench_p26_wt_random,2097152,0,16384,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,5581184,535471099,1785763,63560,535471099,223603599,260341760,3600315665365,6.507169
23,bench_p26_wt,bench_p26_wt_random,2097152,0,16384,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,5581184,0,0,0,0,0,0,3296,6.507280
23,bench_p26_wt,bench_p26_wt_random,2097152,0,16384,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,5581184,0,0,0,0,0,0,608,6.507336
23,bench_p26_wt,bench_p26_wt_random,2097152,0,16384,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,5581184,0,0,0,0,0,0,784,6.507385
23,bench_p26_wt,bench_p26_wt_random,2097152,0,16384,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,5581184,0,0,0,0,0,0,4456448,6.507430
24,bench_p26_wt,bench_p26_wt_random,2097152,0,32768,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,4567104,461601975,1779088,63704,461601975,223411307,260931584,3601166198921,7.608273
24,bench_p26_wt,bench_p26_wt_random,2097152,0,32768,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,4567104,0,0,0,0,0,0,3296,7.608354
24,bench_p26_wt,bench_p26_wt_random,2097152,0,32768,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,4567104,0,0,0,0,0,0,608,7.608393
24,bench_p26_wt,bench_p26_wt_random,2097152,0,32768,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,4567104,0,0,0,0,0,0,784,7.608424
24,bench_p26_wt,bench_p26_wt_random,2097152,0,32768,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,4567104,0,0,0,0,0,0,4620288,7.608464
22,bench_p26_wt,bench_p26_wt_random,2097152,0,8192,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,6621696,710336913,1754680,63678,710336913,224610735,260825088,3600202096293,9.217000
22,bench_p26_wt,bench_p26_wt_random,2097152,0,8192,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,6621696,0,0,0,0,0,0,3248,9.217072
22,bench_p26_wt,bench_p26_wt_random,2097152,0,8192,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,6621696,0,0,0,0,0,0,608,9.217106
22,bench_p26_wt,bench_p26_wt_random,2097152,0,8192,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,6621696,0,0,0,0,0,0,784,9.217134
