i,suite,case,NO_SET,BLOCK_SIZE,SIZE,FILE_COUNT,CHUNK,DISK_SIZE,FILE_SIZE,SEED,SIM_SIZE,FS,SIM_TIME,SKIP_WARMUP,DISK_GEOMETRY,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
19,bench_p26_wt,bench_p26_wt_linear,0,524288,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,4574292032,29589052,10663546,41664,1202616550,5459735552,5460983808,3600030938386,74.001367
19,bench_p26_wt,bench_p26_wt_linear,0,524288,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,4574292032,0,0,0,0,0,0,3312,74.001436
19,bench_p26_wt,bench_p26_wt_linear,0,524288,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,4574292032,0,0,0,0,0,0,624,74.001466
19,bench_p26_wt,bench_p26_wt_linear,0,524288,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,4574292032,0,0,0,0,0,0,1296,74.001491
19,bench_p26_wt,bench_p26_wt_linear,0,524288,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,4574292032,0,0,0,0,0,0,3145728,74.001517
21,bench_p26_wt,bench_p26_wt_random,0,4096,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,6404480,128756221,1447661,207419,2484405099,741202432,849588224,3600050040561,22.953745
21,bench_p26_wt,bench_p26_wt_random,0,4096,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,6404480,0,0,0,0,0,0,3296,22.953847
21,bench_p26_wt,bench_p26_wt_random,0,4096,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,6404480,0,0,0,0,0,0,608,22.953896
21,bench_p26_wt,bench_p26_wt_random,0,4096,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,6404480,0,0,0,0,0,0,1296,22.953938
21,bench_p26_wt,bench_p26_wt_random,0,4096,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,6404480,0,0,0,0,0,0,5234688,22.953977
26,bench_p26_wt,bench_p26_wt_random,0,131072,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,13076096,111871247,2948980,13361,3107402239,1509877760,1751252992,3600165228013,25.119268
26,bench_p26_wt,bench_p26_wt_random,0,131072,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,13076096,0,0,0,0,0,0,3120,25.119374
