i,suite,case,SIM_SIZE,SKIP_WARMUP,SIZE,FILE_COUNT,NO_FRUNCATE,FILE_SIZE,CHUNK,SEED,FS,DISK_SIZE,DISK_GEOMETRY,SIM_TIME,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
23,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,32768,0,64,64,42,5,134217728,0,3600000000000,stack,243071680,0,0,0,0,0,0,8704,5.177489
23,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,32768,0,64,64,42,5,134217728,0,3600000000000,ctx,243071680,0,0,0,0,0,0,7168,5.177550
23,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,32768,0,64,64,42,5,134217728,0,3600000000000,heap,243071680,0,0,0,0,0,0,587828,5.177604
23,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,32768,0,64,64,42,5,134217728,0,3600000000000,usage,243071680,0,0,0,0,0,0,19075792,5.177656
22,bench_p26_wt,bench_p26_wt_linear,0,0,1048576,16384,0,64,64,42,5,134217728,0,3600000000000,write,242668480,120320,1119322,69929,120320,286546432,286429184,3600032283648,5.318023
22,bench_p26_wt,bench_p26_wt_linear,0,0,1048576,16384,0,64,64,42,5,134217728,0,3600000000000,stack,242668480,0,0,0,0,0,0,8704,5.318170
22,bench_p26_wt,bench_p26_wt_linear,0,0,1048576,16384,0,64,64,42,5,134217728,0,3600000000000,ctx,242668480,0,0,0,0,0,0,7168,5.318233
22,bench_p26_wt,bench_p26_wt_linear,0,0,1048576,16384,0,64,64,42,5,134217728,0,3600000000000,heap,242668480,0,0,0,0,0,0,587828,5.318289
22,bench_p26_wt,bench_p26_wt_linear,0,0,1048576,16384,0,64,64,42,5,134217728,0,3600000000000,usage,242668480,0,0,0,0,0,0,17561008,5.318342
24,bench_p26_wt,bench_p26_wt_linear,0,0,4194304,65536,0,64,64,42,5,134217728,0,3600000000000,write,243319744,31744,1121532,69912,31744,287112192,286359552,3600158795776,2.735400
24,bench_p26_wt,bench_p26_wt_linear,0,0,4194304,65536,0,64,64,42,5,134217728,0,3600000000000,stack,243319744,0,0,0,0,0,0,8704,2.735504
24,bench_p26_wt,bench_p26_wt_linear,0,0,4194304,65536,0,64,64,42,5,134217728,0,3600000000000,ctx,243319744,0,0,0,0,0,0,7168,2.735560
24,bench_p26_wt,bench_p26_wt_linear,0,0,4194304,65536,0,64,64,42,5,134217728,0,3600000000000,heap,243319744,0,0,0,0,0,0,587828,2.735609
24,bench_p26_wt,bench_p26_wt_linear,0,0,4194304,65536,0,64,64,42,5,134217728,0,3600000000000,usage,243319744,0,0,0,0,0,0,17236624,2.735657
25,bench_p26_wt,bench_p26_wt_linear,0,0,8388608,131072,0,64,64,42,5,134217728,0,3600000000000,write,243457152,16896,1122034,69908,16896,287240704,286343168,3600181513216,2.290708
25,bench_p26_wt,bench_p26_wt_linear,0,0,8388608,131072,0,64,64,42,5,134217728,0,3600000000000,stack,243457152,0,0,0,0,0,0,8704,2.290815
25,bench_p26_wt,bench_p26_wt_linear,0,0,8388608,131072,0,64,64,42,5,134217728,0,3600000000000,ctx,243457152,0,0,0,0,0,0,7168,2.290870
25,bench_p26_wt,bench_p26_wt_linear,0,0,8388608,131072,0,64,64,42,5,134217728,0,3600000000000,heap,243457152,0,0,0,0,0,0,587828,2.290921
25,bench_p26_wt,bench_p26_wt_linear,0,0,8388608,131072,0,64,64,42,5,134217728,0,3600000000000,usage,243457152,0,0,0,0,0,0,17391872,2.290968
27,bench_p26_wt,bench_p26_wt_linear,0,0,33554432,524288,0,64,64,42,5,134217728,0,3600000000000,write,244741056,5632,1127882,69852,5632,288737792,286113792,3600029531136,2.288139
27,bench_p26_wt,bench_p26_wt_linear,0,0,33554432,524288,0,64,64,42,5,134217728,0,3600000000000,stack,244741056,0,0,0,0,0,0,8704,2.288241
27,bench_p26_wt,bench_p26_wt_linear,0,0,33554432,524288,0,64,64,42,5,134217728,0,3600000000000,ctx,244741056,0,0,0,0,0,0,7168,2.288295
27,bench_p26_wt,bench_p26_wt_linear,0,0,33554432,524288,0,64,64,42,5,134217728,0,3600000000000,heap,244741056,0,0,0,0,0,0,640068,2.288349
27,bench_p26_wt,bench_p26_wt_linear,0,0,33554432,524288,0,64,64,42,5,134217728,0,3600000000000,usage,244741056,0,0,0,0,0,0,27368416,2.288393
26,bench_p26_wt,bench_p26_wt_linear,0,0,16777216,262144,0,64,64,42,5,134217728,0,3600000000000,write,244734080,9216,1127882,69852,9216,288737792,286113792,3600029674496,2.915910
26,bench_p26_wt,bench_p26_wt_linear,0,0,16777216,262144,0,64,64,42,5,134217728,0,3600000000000,stack,244734080,0,0,0,0,0,0,8704,2.916005
26,bench_p26_wt,bench_p26_wt_linear,0,0,16777216,262144,0,64,64,42,5,134217728,0,3600000000000,ctx,244734080,0,0,0,0,0,0,7168,2.916058
26,bench_p26_wt,bench_p26_wt_linear,0,0,16777216,262144,0,64,64,42,5,134217728,0,3600000000000,heap,244734080,0,0,0,0,0,0,587828,2.916106
