i,suite,case,SIM_SIZE,NO_FRUNCATE,FILE_COUNT,FS,SIM_TIME,SKIP_WARMUP,SIZE,CHUNK,FILE_SIZE,DISK_SIZE,DISK_GEOMETRY,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
20,bench_p26_wt,bench_p26_wt_linear,0,0,4096,4,3600000000000,0,262144,64,64,134217728,1,42,write,412614720,31414982,9670850,6484,16071295804,4951475200,849870848,3600555207028,69.940057
20,bench_p26_wt,bench_p26_wt_linear,0,0,4096,4,3600000000000,0,262144,64,64,134217728,1,42,stack,412614720,0,0,0,0,0,0,1296,69.940170
20,bench_p26_wt,bench_p26_wt_linear,0,0,4096,4,3600000000000,0,262144,64,64,134217728,1,42,ctx,412614720,0,0,0,0,0,0,336,69.940227
20,bench_p26_wt,bench_p26_wt_linear,0,0,4096,4,3600000000000,0,262144,64,64,134217728,1,42,heap,412614720,0,0,0,0,0,0,2696,69.940276
20,bench_p26_wt,bench_p26_wt_linear,0,0,4096,4,3600000000000,0,262144,64,64,134217728,1,42,usage,412614720,0,0,0,0,0,0,3645467,69.940322
21,bench_p26_wt,bench_p26_wt_linear,0,0,8192,4,3600000000000,0,524288,64,64,134217728,1,42,write,409015360,31406054,9670352,6424,16066846588,4951220224,842006528,3600004019764,70.297629
21,bench_p26_wt,bench_p26_wt_linear,0,0,8192,4,3600000000000,0,524288,64,64,134217728,1,42,stack,409015360,0,0,0,0,0,0,1296,70.297754
21,bench_p26_wt,bench_p26_wt_linear,0,0,8192,4,3600000000000,0,524288,64,64,134217728,1,42,ctx,409015360,0,0,0,0,0,0,336,70.297810
21,bench_p26_wt,bench_p26_wt_linear,0,0,8192,4,3600000000000,0,524288,64,64,134217728,1,42,heap,409015360,0,0,0,0,0,0,2696,70.297856
21,bench_p26_wt,bench_p26_wt_linear,0,0,8192,4,3600000000000,0,524288,64,64,134217728,1,42,usage,409015360,0,0,0,0,0,0,3716390,70.297899
27,bench_p26_wt,bench_p26_wt_linear,0,0,524288,4,3600000000000,0,33554432,64,64,134217728,1,42,write,402653248,33347880,9613906,6327,17060791467,4922319872,829292544,3651768100017,44.400080
27,bench_p26_wt,bench_p26_wt_linear,0,0,524288,4,3600000000000,0,33554432,64,64,134217728,1,42,stack,402653248,0,0,0,0,0,0,1472,44.400198
27,bench_p26_wt,bench_p26_wt_linear,0,0,524288,4,3600000000000,0,33554432,64,64,134217728,1,42,ctx,402653248,0,0,0,0,0,0,336,44.408502
27,bench_p26_wt,bench_p26_wt_linear,0,0,524288,4,3600000000000,0,33554432,64,64,134217728,1,42,heap,402653248,0,0,0,0,0,0,2696,44.408567
27,bench_p26_wt,bench_p26_wt_linear,0,0,524288,4,3600000000000,0,33554432,64,64,134217728,1,42,usage,402653248,0,0,0,0,0,0,3645467,44.408612
25,bench_p26_wt,bench_p26_wt_linear,0,0,131072,4,3600000000000,0,8388608,64,64,134217728,1,42,write,402653248,32056425,9602587,6325,16400037708,4916524544,829030400,3604532817060,36.321087
25,bench_p26_wt,bench_p26_wt_linear,0,0,131072,4,3600000000000,0,8388608,64,64,134217728,1,42,stack,402653248,0,0,0,0,0,0,1296,36.321196
25,bench_p26_wt,bench_p26_wt_linear,0,0,131072,4,3600000000000,0,8388608,64,64,134217728,1,42,ctx,402653248,0,0,0,0,0,0,336,36.321249
25,bench_p26_wt,bench_p26_wt_linear,0,0,131072,4,3600000000000,0,8388608,64,64,134217728,1,42,heap,402653248,0,0,0,0,0,0,2696,36.321295
25,bench_p26_wt,bench_p26_wt_linear,0,0,131072,4,3600000000000,0,8388608,64,64,134217728,1,42,usage,402653248,0,0,0,0,0,0,3645467,36.321338
24,bench_p26_wt,bench_p26_wt_linear,0,0,65536,4,3600000000000,0,4194304,64,64,134217728,1,42,write,403912768,31779976,9621526,6344,16258457212,4926221312,831520768,3600002393908,36.840689
24,bench_p26_wt,bench_p26_wt_linear,0,0,65536,4,3600000000000,0,4194304,64,64,134217728,1,42,stack,403912768,0,0,0,0,0,0,1296,36.840784
24,bench_p26_wt,bench_p26_wt_linear,0,0,65536,4,3600000000000,0,4194304,64,64,134217728,1,42,ctx,403912768,0,0,0,0,0,0,336,36.840830
24,bench_p26_wt,bench_p26_wt_linear,0,0,65536,4,3600000000000,0,4194304,64,64,134217728,1,42,heap,403912768,0,0,0,0,0,0,2696,36.840868
24,bench_p26_wt,bench_p26_wt_linear,0,0,65536,4,3600000000000,0,4194304,64,64,134217728,1,42,usage,403912768,0,0,0,0,0,0,4915039,36.840899
26,bench_p26_wt,bench_p26_wt_linear,0,0,262144,4,3600000000000,0,16777216,64,64,134217728,1,42,write,402653248,32488848,9605299,6325,16621444888,4917913088,829030400,3620070772936,34.678279
26,bench_p26_wt,bench_p26_wt_linear,0,0,262144,4,3600000000000,0,16777216,64,64,134217728,1,42,stack,402653248,0,0,0,0,0,0,1296,34.678368
26,bench_p26_wt,bench_p26_wt_linear,0,0,262144,4,3600000000000,0,16777216,64,64,134217728,1,42,ctx,402653248,0,0,0,0,0,0,336,34.678413
26,bench_p26_wt,bench_p26_wt_linear,0,0,262144,4,3600000000000,0,16777216,64,64,134217728,1,42,heap,402653248,0,0,0,0,0,0,2696,34.678447
26,bench_p26_wt,bench_p26_wt_linear,0,0,262144,4,3600000000000,0,16777216,64,64,134217728,1,42,usage,402653248,0,0,0,0,0,0,3645467,34.678477
34,bench_p26_wt,bench_p26_wt_random,0,0,1024,4,3600000000000,0,65536,64,64,134217728,1,42,write,37484480,13337014,12069465,4905,6818584716,6179566080,642908160,3600007190628,25.903629
34,bench_p26_wt,bench_p26_wt_random,0,0,1024,4,3600000000000,0,65536,64,64,134217728,1,42,stack,37484480,0,0,0,0,0,0,1312,25.903764
34,bench_p26_wt,bench_p26_wt_random,0,0,1024,4,3600000000000,0,65536,64,64,134217728,1,42,ctx,37484480,0,0,0,0,0,0,352,25.903825
34,bench_p26_wt,bench_p26_wt_random,0,0,1024,4,3600000000000,0,65536,64,64,134217728,1,42,heap,37484480,0,0,0,0,0,0,2696,25.903890
34,bench_p26_wt,bench_p26_wt_random,0,0,1024,4,3600000000000,0,65536,64,64,134217728,1,42,usage,37484480,0,0,0,0,0,0,3711360,25.903952
33,bench_p26_wt,bench_p26_wt_random,0,0,512,4,3600000000000,0,32768,64,64,134217728,1,42,write,37519552,13239766,12082401,4909,6768785612,6186189312,643432448,3600036883748,26.686776
33,bench_p26_wt,bench_p26_wt_random,0,0,512,4,3600000000000,0,32768,64,64,134217728,1,42,stack,37519552,0,0,0,0,0,0,1312,26.686896
33,bench_p26_wt,bench_p26_wt_random,0,0,512,4,3600000000000,0,32768,64,64,134217728,1,42,ctx,37519552,0,0,0,0,0,0,352,26.686956
33,bench_p26_wt,bench_p26_wt_random,0,0,512,4,3600000000000,0,32768,64,64,134217728,1,42,heap,37519552,0,0,0,0,0,0,2696,26.687008
33,bench_p26_wt,bench_p26_wt_random,0,0,512,4,3600000000000,0,32768,64,64,134217728,1,42,usage,37519552,0,0,0,0,0,0,3678162,26.687066
31,bench_p26_wt,bench_p26_wt_random,0,0,128,4,3600000000000,0,8192,64,64,134217728,1,42,write,37591168,13244615,12081631,4911,6771264236,6185795072,643694592,3600007199108,36.501629
31,bench_p26_wt,bench_p26_wt_random,0,0,128,4,3600000000000,0,8192,64,64,134217728,1,42,stack,37591168,0,0,0,0,0,0,1312,36.501777
