i,suite,case,CHUNK,FILE_SIZE,FILE_COUNT,SIM_TIME,SEED,NO_FRUNCATE,FS,SKIP_WARMUP,NO_SET,SIM_SIZE,DISK_GEOMETRY,SIZE,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
25,bench_p26_wt,bench_p26_wt_linear,64,64,131072,3600000000000,42,0,3,0,0,0,1,8388608,134217728,write,4216166464,39168602,9782660,38222,1201683074,5008721920,5009833984,3600009064358,47.510886
25,bench_p26_wt,bench_p26_wt_linear,64,64,131072,3600000000000,42,0,3,0,0,0,1,8388608,134217728,stack,4216166464,0,0,0,0,0,0,3312,47.510976
25,bench_p26_wt,bench_p26_wt_linear,64,64,131072,3600000000000,42,0,3,0,0,0,1,8388608,134217728,ctx,4216166464,0,0,0,0,0,0,624,47.511012
25,bench_p26_wt,bench_p26_wt_linear,64,64,131072,3600000000000,42,0,3,0,0,0,1,8388608,134217728,heap,4216166464,0,0,0,0,0,0,1296,47.511044
25,bench_p26_wt,bench_p26_wt_linear,64,64,131072,3600000000000,42,0,3,0,0,0,1,8388608,134217728,usage,4216166464,0,0,0,0,0,0,5767168,47.511074
24,bench_p26_wt,bench_p26_wt_linear,64,64,65536,3600000000000,42,0,3,0,0,0,1,4194304,134217728,write,4499331648,32111692,10433471,40776,1173730449,5341937152,5344591872,3600008835267,48.897597
24,bench_p26_wt,bench_p26_wt_linear,64,64,65536,3600000000000,42,0,3,0,0,0,1,4194304,134217728,stack,4499331648,0,0,0,0,0,0,3312,48.897667
24,bench_p26_wt,bench_p26_wt_linear,64,64,65536,3600000000000,42,0,3,0,0,0,1,4194304,134217728,ctx,4499331648,0,0,0,0,0,0,624,48.897696
24,bench_p26_wt,bench_p26_wt_linear,64,64,65536,3600000000000,42,0,3,0,0,0,1,4194304,134217728,heap,4499331648,0,0,0,0,0,0,1296,48.897720
24,bench_p26_wt,bench_p26_wt_linear,64,64,65536,3600000000000,42,0,3,0,0,0,1,4194304,134217728,usage,4499331648,0,0,0,0,0,0,3801088,48.897742
