i,suite,case,FS,SEED,SIM_SIZE,FILE_COUNT,SIZE,NO_FRUNCATE,SIM_TIME,CHUNK,DISK_GEOMETRY,FILE_SIZE,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,4,42,0,16,1024,0,3600000000000,64,0,64,0,134217728,stack,14833472,0,0,0,0,0,0,1296,170.068746
12,bench_p26_wt,bench_p26_wt_linear,4,42,0,16,1024,0,3600000000000,64,0,64,0,134217728,ctx,14833472,0,0,0,0,0,0,336,170.068803
12,bench_p26_wt,bench_p26_wt_linear,4,42,0,16,1024,0,3600000000000,64,0,64,0,134217728,heap,14833472,0,0,0,0,0,0,1160,170.068847
12,bench_p26_wt,bench_p26_wt_linear,4,42,0,16,1024,0,3600000000000,64,0,64,0,134217728,usage,14833472,0,0,0,0,0,0,12820686,170.068888
17,bench_p26_wt,bench_p26_wt_linear,4,42,0,512,32768,0,3600000000000,64,0,64,0,134217728,write,14597440,74113365504,694258,7932,74113365504,40583852,32489472,3600027117764,170.109547
17,bench_p26_wt,bench_p26_wt_linear,4,42,0,512,32768,0,3600000000000,64,0,64,0,134217728,stack,14597440,0,0,0,0,0,0,1296,170.109663
17,bench_p26_wt,bench_p26_wt_linear,4,42,0,512,32768,0,3600000000000,64,0,64,0,134217728,ctx,14597440,0,0,0,0,0,0,336,170.109728
17,bench_p26_wt,bench_p26_wt_linear,4,42,0,512,32768,0,3600000000000,64,0,64,0,134217728,heap,14597440,0,0,0,0,0,0,1160,170.109777
17,bench_p26_wt,bench_p26_wt_linear,4,42,0,512,32768,0,3600000000000,64,0,64,0,134217728,usage,14597440,0,0,0,0,0,0,12835753,170.109821
23,bench_p26_wt,bench_p26_wt_linear,4,42,0,32768,2097152,0,3600000000000,64,0,64,0,134217728,write,14680128,74975552512,720594,7981,74975552512,46412238,32690176,3647368042570,170.537835
23,bench_p26_wt,bench_p26_wt_linear,4,42,0,32768,2097152,0,3600000000000,64,0,64,0,134217728,stack,14680128,0,0,0,0,0,0,1296,170.537966
23,bench_p26_wt,bench_p26_wt_linear,4,42,0,32768,2097152,0,3600000000000,64,0,64,0,134217728,ctx,14680128,0,0,0,0,0,0,336,170.546292
23,bench_p26_wt,bench_p26_wt_linear,4,42,0,32768,2097152,0,3600000000000,64,0,64,0,134217728,heap,14680128,0,0,0,0,0,0,1160,170.546362
23,bench_p26_wt,bench_p26_wt_linear,4,42,0,32768,2097152,0,3600000000000,64,0,64,0,134217728,usage,14680128,0,0,0,0,0,0,12819945,170.546406
16,bench_p26_wt,bench_p26_wt_linear,4,42,0,256,16384,0,3600000000000,64,0,64,0,134217728,write,14586944,74298246400,673862,7956,74298246400,34984310,32587776,3600234919362,170.912325
16,bench_p26_wt,bench_p26_wt_linear,4,42,0,256,16384,0,3600000000000,64,0,64,0,134217728,stack,14586944,0,0,0,0,0,0,1296,170.912445
16,bench_p26_wt,bench_p26_wt_linear,4,42,0,256,16384,0,3600000000000,64,0,64,0,134217728,ctx,14586944,0,0,0,0,0,0,336,170.912500
16,bench_p26_wt,bench_p26_wt_linear,4,42,0,256,16384,0,3600000000000,64,0,64,0,134217728,heap,14586944,0,0,0,0,0,0,1160,170.912543
16,bench_p26_wt,bench_p26_wt_linear,4,42,0,256,16384,0,3600000000000,64,0,64,0,134217728,usage,14586944,0,0,0,0,0,0,12824885,170.912584
26,bench_p26_wt,bench_p26_wt_linear,4,42,0,262144,16777216,0,3600000000000,64,0,64,0,134217728,write,16231744,73550815232,658027,8754,73550815232,50780350,35856384,3600210698010,92.544663
26,bench_p26_wt,bench_p26_wt_linear,4,42,0,262144,16777216,0,3600000000000,64,0,64,0,134217728,stack,16231744,0,0,0,0,0,0,1296,92.544757
26,bench_p26_wt,bench_p26_wt_linear,4,42,0,262144,16777216,0,3600000000000,64,0,64,0,134217728,ctx,16231744,0,0,0,0,0,0,336,92.544798
26,bench_p26_wt,bench_p26_wt_linear,4,42,0,262144,16777216,0,3600000000000,64,0,64,0,134217728,heap,16231744,0,0,0,0,0,0,1160,92.544833
26,bench_p26_wt,bench_p26_wt_linear,4,42,0,262144,16777216,0,3600000000000,64,0,64,0,134217728,usage,16231744,0,0,0,0,0,0,29317569,92.544864
