i,suite,case,SIM_TIME,FS,SIZE,SKIP_WARMUP,NO_FRUNCATE,FILE_COUNT,FILE_SIZE,DISK_GEOMETRY,CHUNK,SEED,SIM_SIZE,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4096,0,0,64,64,0,64,42,0,134217728,ctx,285528384,0,0,0,0,0,0,400,7.049802
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4096,0,0,64,64,0,64,42,0,134217728,heap,285528384,0,0,0,0,0,0,784,7.049835
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4096,0,0,64,64,0,64,42,0,134217728,usage,285528384,0,0,0,0,0,0,20480,7.049865
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4194304,0,0,65536,64,0,64,42,0,134217728,write,284967424,287597542,1115331,69709,287597542,285524068,285528064,3600015332444,3.909945
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4194304,0,0,65536,64,0,64,42,0,134217728,stack,284967424,0,0,0,0,0,0,2000,3.910028
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4194304,0,0,65536,64,0,64,42,0,134217728,ctx,284967424,0,0,0,0,0,0,400,3.910068
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4194304,0,0,65536,64,0,64,42,0,134217728,heap,284967424,0,0,0,0,0,0,784,3.910099
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4194304,0,0,65536,64,0,64,42,0,134217728,usage,284967424,0,0,0,0,0,0,3977216,3.910128
27,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,33554432,0,0,524288,64,0,64,42,0,134217728,write,284914240,295105502,1115131,69704,295105502,285471768,285507584,3600009638264,3.482214
27,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,33554432,0,0,524288,64,0,64,42,0,134217728,stack,284914240,0,0,0,0,0,0,2000,3.482294
27,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,33554432,0,0,524288,64,0,64,42,0,134217728,ctx,284914240,0,0,0,0,0,0,400,3.482332
27,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,33554432,0,0,524288,64,0,64,42,0,134217728,heap,284914240,0,0,0,0,0,0,784,3.482366
27,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,33554432,0,0,524288,64,0,64,42,0,134217728,usage,284914240,0,0,0,0,0,0,16531456,3.482397
25,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,8388608,0,0,131072,64,0,64,42,0,134217728,write,284844800,288597366,1114884,69712,288597366,285402008,285540352,3600009145016,3.467850
25,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,8388608,0,0,131072,64,0,64,42,0,134217728,stack,284844800,0,0,0,0,0,0,2000,3.467903
25,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,8388608,0,0,131072,64,0,64,42,0,134217728,ctx,284844800,0,0,0,0,0,0,400,3.467936
25,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,8388608,0,0,131072,64,0,64,42,0,134217728,heap,284844800,0,0,0,0,0,0,784,3.467963
25,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,8388608,0,0,131072,64,0,64,42,0,134217728,usage,284844800,0,0,0,0,0,0,8056832,3.467989
26,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,16777216,0,0,262144,64,0,64,42,0,134217728,write,284899968,290879358,1115083,69708,290879358,285457404,285523968,3600001108068,2.816916
26,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,16777216,0,0,262144,64,0,64,42,0,134217728,stack,284899968,0,0,0,0,0,0,2000,2.816975
26,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,16777216,0,0,262144,64,0,64,42,0,134217728,ctx,284899968,0,0,0,0,0,0,400,2.817007
26,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,16777216,0,0,262144,64,0,64,42,0,134217728,heap,284899968,0,0,0,0,0,0,784,2.817030
26,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,16777216,0,0,262144,64,0,64,42,0,134217728,usage,284899968,0,0,0,0,0,0,16515072,2.817051
28,bench_p26_wt,bench_p26_wt_random,3600000000000,2,1024,0,0,16,64,0,64,42,0,134217728,write,4894080,186426710,382017,76405,186426710,83047335,312954880,3600012977621,8.312142
28,bench_p26_wt,bench_p26_wt_random,3600000000000,2,1024,0,0,16,64,0,64,42,0,134217728,stack,4894080,0,0,0,0,0,0,1984,8.312273
28,bench_p26_wt,bench_p26_wt_random,3600000000000,2,1024,0,0,16,64,0,64,42,0,134217728,ctx,4894080,0,0,0,0,0,0,384,8.312330
28,bench_p26_wt,bench_p26_wt_random,3600000000000,2,1024,0,0,16,64,0,64,42,0,134217728,heap,4894080,0,0,0,0,0,0,784,8.312378
28,bench_p26_wt,bench_p26_wt_random,3600000000000,2,1024,0,0,16,64,0,64,42,0,134217728,usage,4894080,0,0,0,0,0,0,20480,8.312425
29,bench_p26_wt,bench_p26_wt_random,3600000000000,2,2048,0,0,32,64,0,64,42,0,134217728,write,4721408,330935032,663648,73742,330935032,155651544,302047232,3600029818312,14.087220
29,bench_p26_wt,bench_p26_wt_random,3600000000000,2,2048,0,0,32,64,0,64,42,0,134217728,stack,4721408,0,0,0,0,0,0,1984,14.087340
29,bench_p26_wt,bench_p26_wt_random,3600000000000,2,2048,0,0,32,64,0,64,42,0,134217728,ctx,4721408,0,0,0,0,0,0,384,14.087394
29,bench_p26_wt,bench_p26_wt_random,3600000000000,2,2048,0,0,32,64,0,64,42,0,134217728,heap,4721408,0,0,0,0,0,0,784,14.087453
29,bench_p26_wt,bench_p26_wt_random,3600000000000,2,2048,0,0,32,64,0,64,42,0,134217728,usage,4721408,0,0,0,0,0,0,20480,14.087502
30,bench_p26_wt,bench_p26_wt_random,3600000000000,2,4096,0,0,64,64,0,64,42,0,134217728,write,2375360,318947967,630542,74050,318947967,154409686,303308800,3600139688890,15.744086
